28044
DXAU` XPCm
DXcaIJ_ KaIlEWLEAL_M
mcd rV`maYjJ
WE[lUCoqfPVMbYcUJf f`U`La\mq
iIOc ecE[ZIn
ecEIcGPlTRalhmL KmU`QcalCmU`QXemU`dhL
fPWnFV mAj
ZeQejXBCm^]_ rJkC^YK_B]_
PAal ZLCmaVe
\M\m^cU`qYNKa bAjfaaaa
kTA SU
[qBZZSBQIZ\paYKlY ]Vp\PPLSLqBMRQjlY
PXRaVVrcEPTd[ DWTTGIech
iYq kTd[coTTK^]lIO
DXAmm^]lnfTMSmj bj
[EA[CYXL KaINiSFRkPnniWj
jZY\\c ZT`mU`a
r\`mVamLcP c
Wob d
OmbJkV[WV klB\FV
f`Xmq iVCU`q
f`U`dfVRamiLV\Y Di\bo
fMYL m`
ZTPZPSWTrYcN fPVGeq
D $
XYb`k rCo]
ZSD\AU`LabYcKQ[rc`ErT kTAZRQ[`Ym
kcGP kM
KQnok akch
]jf` cUr`EpVPCTGUg
CMJ bj
fMDWob bm
imJEArXpPRU`a^]llT`manh r^KXeam
klTeU`qbX cUr`EpVPCTGU
j[jqqjAZC_B]lIidEPlU MmY
f `rrWeQZcVTEp
cUC fGRkPEYESBm^]_OOflpVMjaaIAScB
klTYIk ecE[ZInh
ZLEeB\FVOrr rV`U`kcanWUTFVOrrrBBBBr
ZeQejXBCm^] rJkC^YK_B]
ZZ \
rCJFge iY
akchTd KQnokTd
rCoD W^rmPP
kch`l fPrWCQULEe
f`U`dfVRamiLV\ e
f`Z^]KlVHTM Zr
Woi DDMpJI\l
\cQZ]llEW^ PmdUnme
DB `
DfWW WW
i`EV cT\DiV^T^B^hV`mQf
K^]_B] DmlB^]KllpcBV`^]_B
DDSVGhq[ DiB[
\M\m^cU`qYNKaaaaa bAjfaaaaaaaa
Mm\c^] ]jrrWE`EnVhA^]F
cTRmU`aQ[`YV`mm^] GXYZ]
cINPcl rr`EeU
DiB[F WocU`\F
WW DfWW
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
PAaV rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E
rCZNcS[ ZLhd
Bp`YXhVPT ecSkTNA]jDBU`La[
e nHjOcEPVN
kV k
jZY\\cU ZT`mU`aU
qjAZ]_flTGnYmLQa\An [BF[rWhcm^
rCJkVPVS iVZShA
[EA[CYXL KaINiSFRkPnniWj
[LmO Mm\XpPeU`dn^n
kcY]]]MM]M] rcU`aQ[PZcWY
m iVYrXhcaVELqBYIb
WXE`ErY[Sj_B]_f DDMpJI\l
ZLEeB\FVOr rV`U`kcanWUTFVOrrrBBBB
DDDcNccG[ kcGPTd[
LSBjkTdP kTd[
kcY]]M]]]M]]]MM MJ
akch KQnok
KU`aQhQcalRU`dRF cBJgF
[BF[E`Er[ cUTF
mjfaaa mhf
mhj mj
nPT K
cBo[q BjLq
kTd[coTTK^]lIO MTM
pNiSWdBAB WYXZSDYrcmq\XeQrXrY
kS rcmqpU`Qmq
mh fMDWobj
[qBZZSBQIZ\paYKlY ]Vp\PPLSLqBMRQjlY
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ PVPV
KQfYjA] kldhF
r`mFVOB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
f`Xmq ilemmQUSBU`La
XRQRFVOGrmd[rYER]ll\SMmpc ZT`alpcV`m^]lIXBR^]lYjeU`YXe
rh kldSIcThmQcU`aQrAU`QcmmQnJk
PXnnD KTe^]_fVVS
qjAZ]_flTGnYmLQa\An PcanB^
Pc^] WZ
encSKmman ZS
`JX^kaTRj PAU`a
r\`mVamLcPNchG [hUrW^UcXLrchG
cTRaVemQL_d iROcb
fM\c^]_O ZgQURmQLhDFjlmJLI\_N`
` DB
]jfPVPcc rccaVZpmOVPV`
c $
KanDpanXcaY WA^emmMGY
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE Kmm^]lI
qjAZ]_flTGnYmLQa\An PAmm^
MTqcGP_ ]lN
klTeU`qbXg^ cUr`EpVPCTGUg^
fPrWCQULEe kch`l
kcG[cSDD [jeFKrccQflTGfmcD
]jrcVGU rrVP`kP
XPCm DXAU`
eS $
rPLE D
W^CQ [jeFKrccQflTGfmc
Dh id
K^]_OON ZgQURmQLhDFjlmJLI\_N
fMDecE[lUV`aVLrcG PXRaVVrcEPTd
MQVjegSYp] kcY]]]MM]M]]]
WA^emmMGY MTlAPVMScaY
DXcaIJ_ KaIlEWLEAL_M
K _dBFnYA
jZY\\cU` ZR^]llrpmaVhmLa\m
m bAI
$ Df
mc ZLh
iVYrXhcaVELqBYIbj mj
kcE ]T
DfmHVPTFVOrrBrBrrrBBrBBrrr rTFVOBB
rJkC^YK_B ZeQejXBCm^
\M\m^cU`qYNKaaa mjf
KQnok akch
KU`aQhQcalRU`dRF cBJgF
kch`l fPrWCQULEe
]ldPTcAMTj[LIXBp MTjPVMpU`aU`QVPVP
k iIeUgGech
cUPEYEg^]_N`OB]_O rJkC^YK_B]_N`
rPLE D
DDSXCQejAP AlY
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
echTd[TdPcR MmTaU`ammmU`amaIOc
m bAI
W^C ZRmmU
kTd[ LSBjkTdP
klNJcHPB\TFmPIP PVP`KPP
KaIlEWLEAL_M DXcaIJ_
Z\[ o^\
ZgQURmQLhDFjlmJLI\_N`O K^]_OON`O
ecSimAIKmamJp WX[eQc
[jeFKrccQflTGfmc W^CQ
aSfPPY]jNa bjfaaaaaaaaaaa
echTd[TdPcR MmTaU`ammmU`amaIOc
V`QZ]lIYJ DijijqhTCmam
PXhcanBQfI iYjAIic`nh
fGD cmaal\`
ecE[ ecAJ
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
bAjfaaaaaaa NaaaVaa
]lKf`^]_OOB]_N PcalpPCU`Lap^]_N`ON
NaaaV bAjfaaaaa
iVrSV`amArmd[P\ WoDDT]q
DW aFUmY
kch r\`mVamLcPN
rJkC^YK_B]_ ZeQejXBCm^]_
kcY]]]MM]M] rcU`aQ[PZcWY
[qBZZSBQIZ\paYKlY ]Vp\PPLSLqBMRQjlY
fPVIMbJFge rCJFge
inXAU`QVM\cmQnYmaU`QcmmU` DiBRmXBhQAU`LaT
WE[lUCoqfPVMbYcUJf f`U`La\mq
[DZNcMSPm kTADhAjllT`U`
fGRFn`JFnV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
cUVgG DijJqjeF
[hBX^UrWFBTCpma[ imJhFRFnC^n
rCJ fPVIMbJ
rcXeQIMJch akchTdP
XYb`k cBXEYE^BoMT
obj mAj
cBo[q BjLq
kTAZRQ[`YmL ZSD\AU`LabYcKQ[rc`ErTL
fM DiBRmXBhQAU`La
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
c WJFnr`pVUW^l
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
r`mFVOBr cF[PSXX^
kldj_eme ZSXmQVMD]jrV`Qeji_
Zm kcPBXLSnoL
DijJqjeF cUVgG
ecPMWmTaPa MTlAPVMSca
D $
fn`^SQLd [
fn`^SQLd [jq
]PqS DXAU`aaIXjAhdRkcXCU`
fMDWob bm
MTlAPVMScaY WA^emmMGY
ZemU`L `RaSiaaa
rVPCJF rPra[
fM\c^]_O ZgQURmQLhDFjlmJLI\_N`
KalLLlhXhrY kTA
Naaaaaaaaaaaaa NaaaVa
Dfm a[^ERihrTP
cUr`EpVPCTGUg^ klTeU`qbXg^
cRXRBPlEWr\VPTFVOrBrBrBrr kcPdSU^NchchTAMm\cmQ[TFVO
]lKf`^]_OOB]_N PcalpPCU`Lap^]_N`ON
Z\b [A
DfWW WW
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
WKPPPPPP [DDePPYI
lGDD MTj
iROcb cTRaVemQL_d
fGfmedh biol^
rrW^dBUcc XRQRFVOGrmd[rYER]ll\SMmpc
iVZr\m jZY\\cU`
cBJg PmdZ]lnhedqjAR
rJkC^YK_B ZeQejXBCm^
cUVgGn cFLhTTPC
MmDMTMcSMWmpmmQ _dBFnYAQ
rP^NcPd [Jhd
WoKQD\X\TaQDSmLam ahdBF^U`K
ZLCmaVeh cFr
ZZho`ag^]UVLBTS D
DANU`dhR rPganXmdLLnDDDXAQhL
kcY]]]MM]M]] rcU`aQ[PZcWY]
Pc^]_OON` f`^]lPh\_OOOM
ZEWnm iDhXj
Kame $
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
Pm b[aa
ZgQURmQLhDFjlmJLI\_N K^]_OON
ecYMM WYAgQgeqcYWMMM
KMjXToPV KamiLVEWT
ZLEeB\FVOr rV`U`kcanWUTFVOrrrBBBB
f`a $
[\mlo ]j
$ Kame
rTG ]lA
fMDWobj bmj
_dBFnYA iYK_flTGIiV\\caVhA
Z^NcG[Td[TAL [DZNcMSPmdD
WoDDT]q iVrSV`amArmd[P\
KaINiSFRkPnniWj [EA[CYXL
klTeU`qbXg cUr`EpVPCTGUg
jMQnobmiLG PXgU`LaDiY
mhj mj
DBQ[` KTjecPB
kcG[cSDD [jeFKrccQflTGfmcD
WoDDT]q iVrSV`amArmd[P\
LA[a NaaaP
cdj cC^HLj
ginfTjW r`
fPVGeq S
FGI[ ZSf
kTd[coTTK^]lIO ecGPch
inhAI M]j
ecEIcGPlTRalhm KmU`QcalCmU`QXemU`dh
cB L
ZLEeB\FVOr rV`U`kcanWUTFVOrrrBBBB
rrVP`kP ]jrcVGU
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
WoDDT]qS PV`mmmU`Q
fM\XSW ^X^
cUrYER^]_B]lniBrb^Y ei
\f`aV PVPrW
rrVP`kP ]jrcVGU
DBQ[` KTjecPB
ZLCmaVeh PAalh
$ echlBJkPRU`La
K^]_OON ZgQURmQLhDFjlmJLI\_N
fMTQXgU`aU`QAmQI m
kldj_emee ZSXmQVMD]jrV`Qeji_e
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
FGMcSY]]MMM]Z]M kcY]]]MM]M]]
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
rCoD j
nHjOcEPVN e
[Jh rP^NcP
WXRmQ XRQRFVOGrmd[rYER]ll\SMmpcQ
Z\b\F OmbJkV[W
rVPCJF dB
]ldPchTNNAiIiBdEJBUVGZ DhZq
DiBR]lIEAIKaVhcQhaamihTZ rrW
cFflnniBZRQrAFej KmQn^TMb^\\VMpaI
[q ]ldPTcAMTj[LIX
ZhmdrXRQUCmQrAQhaU`LaePPP ahdBF^U`K
cBX\YGlA WYVMY
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
ZgQURmQLhDFjlmJLI\_N`OO K^]_OON`OO
Mm\XpPeU`dn^n a
cBXEYE^BoMT D]`
PXRaVVrcEPTd iIOcG
kTA SU
]jPm b[aa
rCY klTWYKm\lVT`
cBYA^] qjAZ]_flTGnYmLQa\An]
ecE[ZIn iIOc
WoWXn i^
iVrSV`amArmd[P\ WoDDT]q
c r\`mVamLcP
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
iYK_flTGIiV\\caVh _dBFnY
\M\m^cU`qYNK bAjfaaa
DhLUbXB rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^
rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E ZY
rC fPVIMb
cINPcl rccU
ecG[Td ZTPZPSWTrYcNcG
ilZp`XLSnJFnVG KmUi`d
\cQZ]llEW^N ZZLEXjO
ZgQURmQLhDFjlmJLI\_N` K^]_OON`
fPcV`mianWFDdhdrma PXRalg
rCJF fPVIMbJF
cdEAejAZ]lY jMQnobmiLG
fPrWCQULEe kch`l
j[jqqjAZC_B]lIidEPlU WoecPU
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
ecPMWmTaPaY imeU`XemmU`QXCm^]lY
kTA KalLLlhXhrY
ZZho`ag^]UVLBTS ilY
kTdP irhXT`Q
]jf`^] cUr`EpVPCTGUg^]
r`mFVOB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
ZT`mU`aU jZY\\cU
ilCma ]Vp\PPLSLqBMRQjl
echTd[TdPcRP iIe
KB ZZ
WYAgQgeqcYWM ecY
$ ZLBUrYE
]Mchc Nopa
fPcA^]_OOO f`^]lPh\_OOOM
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
Ti`QIkTdPlBZmcdrAQrmam^R PA^]
]T kcE
ecPFfnWY iVZZE`ESWF
kM kcGP
ZTPZPSWTrYcN fPVGeq
KU`aQrA^]_N`OB]lnXmQcQ DfTlAinCWF
iVnY ecPMWmTaPaY
]Mchc Nopa
cINPcl rr`EeU
rJkC^YK_B]_N ZeQejXBCm^]_N
jZY\\c ZT`mU`a
ecPFfnWY iVZZE`ESWF
PVGr[`\ [_d
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
Mm [jeFKrccQflTGfmcD
fHK [S
ZLBUrYE L
iVYrXhcaVELqBYIb m
]SVY[ccmQRVFVMTaBU`^dZ kcY]]]MM]M]]]
rCJFg fPVIMbJFg
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
DijJqjeFn\ eEPTSKmaYqcENcE[lB\
kM kcGP
aFUmY DW
cUcXrp^]_flnYKllSf BLM
jZY\\cU` ZR^]llrpmaVhmLa\m
rCo] D]`
[jeFKrccQflTGfmcD W^CQD
b[aa rrWLEOcSklTrpU`dh
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
kS rcmqpU`Qmq
W^C XRQRFVOGrmd[rYER]ll\SMmpc
cNc Dfc
ZLqB\DDXAU` fPcV`mianWFDdhdrm
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
XX\paVnV f`^]ll
]Mchc Nopa
akchT KQnokT
DXX\paIiLmOcPUPYnXEYEYRk klT\TLQfeTZTGDTQpEWp
K^]lnH WYVMYb
DiBLjqLl^F KmUi`d
rVPCJ cBJg
DmlB^]KllpcBV`^]_B cdEAejAZ]
cdjqrcScTr\mQXSiB mrYERg
Wo ginfTj
r\`mVamLcP c
`an DBan
[Ln PXdrcGPTAim\llS
mAA iVYrXhcaVELqBYIb
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
ecG[T ecE[ZInhT
DXAU` XPCm
rrWe klTWYKm\lVT`c
DiB[ cUT
DDSVGhq[ DiB[
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
[DZNcMSPm kTADhAjllT`U`
kcPFUSXXnIJB SK
MTj] Fp
e nHjOcEPVN
Naaaaaaaaaa \M\m^cU`qYNK
mAj rVGecSbj
mA rVGecSb
ZZ[T`^b]lnDmPPr WYXLBUC^R^]lIADTqSX\mP
mG ]lA[rcSM
ZT`mU`aU jZY\\cU
ZEWLq ieXq
cUTF [BF[E`Er[
W KU`aQrA^]_N`OB]lnXmQcQP
]TP DWTTGIech
f`aVCU`LaePPPP WXCalef
i WYAamiLIeUV`U`amQIW
[BF[E`Er[V cUTFV
MmTaU`ammmU`amaIOc echTd[TdPcR
kTAZRQ[`Ym ZSD\AU`LabYcKQ[rc`ErT
YA L
fPVIMbJFg rCJFg
WJkrWYfVZZSiBS f
]McYM]M DXmQcaIedrIcYg
Pm b[aa
cFIkTdPcS Mj
ZgU`QmLa f`Xmq
B KameB
N aSfPPY]jNaaa
MW UKW
rcV`mU`QaXg DhAUEWrYf`aVhA
rVMmJP rccU`qe
klBXLE VQ
mE[ Naaaaaaaaaaa
[Jhd Ze^]lmJ
ginfTj Wo
echTNAf`mmmmmU`QXYUZg `JX^kaTRj
fFTqm^P]lelg WXR
iVrSV`amArmd[P\ WoDDT]q
ZeQejXBCm^] rJkC^YK_B]
cBXEYE^BoM mn
]jrcVGU rrVP`kP
MTjPVMpU`aU`QVP Bp`YXh
klFh b[aa
c r\`mVamLcP
fPVIMbJ rCJ
WYmLb\ ]lNAZLLl^TYDTaU`qTQmLaYPmQVPT
[jqqBaIeI^ [qB
DWTTGIech $
MWTjchchdTArrYEgm`Q^hd Z^dEX
cU klT\TLQfeTZTGDTQpEWp
rVPCJF dB
[BF[E`Er[VO cUTFVO
[kcPad cTEYERmU`qb^ZL
cUV`m^ KQejJSIfaU`qYUcXR^]llEWR^
cTYh cINPcl`
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
kcY]]M]]]M]]] WYAgQgeqcYWMM
$ eS
ZSD\AU`LabYcKQ[rc`ErT kTAZRQ[`Ym
kTAKQ _c
kNl cBo
KmU`amQRFnT Bp`YXhVPT
PZAJMo WYAamiLIeUV`U`amQIW
DXX\paIiLmOcPUPYnXEYEYRkC DDDZaal^YTgQn
UK M
PmLPM ZTPcXhmaamiBBDP
S fPVGeq
]j imr
cTRaVemQL_d iROcb
cBXEYE^BoM mn
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr fP`mU`LMb\FVOr
BjLq cBo[q
ecEIcGPlTRalhmL KmU`QcalCmU`QXemU`dhL
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
SU kTA
cBJg PmdZ]lnhedqjAR
NaaaVa mjf
Z\YXK^]li KU`La\c^]ln
PXSWBJkPpcAmam\ln OEA
Bp`YXhV KQrV
nHjOcEPVN e
ecSaEEPce]MMB ]jfP`XpcAQeqcYM]
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
echlBJkPRU`La $
cN Df
f`aVCU`LaePPPPPPP fGnJFnPEWhmQVGrAQjlIedBK
WXCalef rCKPPP
iYqc kTd[coTTK^]lIOc
Oj mAj
D]` MTj]
c r\`mVamLcP
rV`U` U
m[aaaa NaaaVa
iYjAIic`nh fGZ]lVemalShihBYAaIiE
K^]_OON ZgQURmQLhDFjlmJLI\_N
$ ZLBUrYE
rCYA^]_oflganhd\llnl^dB rP^NcP
Z MTjZe
DijJqjeF cUVgG
AJ b
fM\XSWB\ fMTLa[P
[LIJhBYmLa DWoj_N`Ofnfm
fPVIMbJFge rCJFge
KU`La[ a[^ERihrTP[
DJWNcYM] kcY]]M]]]M]]]M
Dfc cNc
Mm [jeFKrccQflTGfmcD
m[aaa \M\m^cU`qYNKaa
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ PVPV
cdjqrcScTr\mQXSiB mrYERg
FGI[ ecG[cGPchTdP
cBYXCU`mnoiVTKZ^UC kTdPTNdPchTdPlB
eKhid PXL
KaIlEWLEAL_M DXcaIJ_
KameB B
]jMm[FVOrrBrBB [BF[E`Er[VOB
Z\YXK^]li KU`La\c^]ln
Df DWTTGIe
kcPBXLSnoL $
\M\m^cU`qYNKaa L[aaa
rTG ZZhmqSXSBU`Labo
rJkC^YK_B]_N ZeQejXBCm^]_N
ZgQURmQLhDFjlmJLI\_N` fM\c^]_O
SWUigm rrYERmmaYjXjeB^YUe
]ik klB\FV
b[aa rrWLEOcSklTrpU`dh
eTpVGIajMmS cFr
fPcV`mianWFDdhdrmam klUcc
WE[lUCoqfPVMbYcUJf rcAQej\llr
DWBocMTdhaaIOncYM]]RRMMM ecY
mrYERgn DfmDWoW^n
iDhX Mmb^CmaY
L[aaaaa FPca
DXcaIJ_ KaIlEWLEAL_M
Wo ginfTj
mj iVYrXhcaVELqBYIbj
o^\F DXmq[F
kMT kcGPT
kTA KalLLlhXhrY
ginfTj Wo
MTjPVMpU`aU`QVP Bp`YXh
]j elc
rcU`aQ[PZcWY kcY]]]MM]M]
rC^p`X\Dc \cQZ]llEW^
fM DiBRmXBhQAU`La
DfmHVPTFVOrrBrBrrrBBrBBrrr rTFVOBB
DBa [hBX^UrWFBTCpma[
]l] inhAIM
[ fn`^SQLd
ZT`mU`aU jZY\\cU
o^\ DXmq[
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
VfPj ]McPFfnfJc
[S KU`qSAmaEVpPgU`dj_fYjA
ginfTj Wo
eY f`U`dfVRamiLV\Y
W^CQ [jeFKrccQflTGfmc
DW aFUmY
cUPEYEg^]_N`OB]_ f`^]lPh\_OOOMO
W^CQ [jeFKrccQflTGfmc
K^]lnhA [
Z MTjZe
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
fMTQXgU`aU`QAmQIcd [kcPad
DmlB^]KllpcBV`^]_B cdEAejAZ]
V kTdPcG[ld
iV\pQflh klTWYKm\lVT`
KanDpanXca ecPMWmTaPa
[qjXjeFn^EW\Smq WYmL
akchT KQnokT
ecYMM DJWNcYM]
ZZLjqSBF[rWRmmam klBXLE
cmaal\`m f`aVCU`LaePPPPP
$ kTADhAjllT`U`d
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
kM kcGP
mrYERg cdjqrcScTr\mQXSiB
WocUCofP eDWdBPSfm\mQXqp
[DZNcMSPm kTADhAjllT`U`
rCKPPP ZT`U`dDjcFDTLaSX\bD
mA rVGecSb
]Vp\PPLSLqBMRQjlY ilCmaY
XX\paVnV iVpP
`an DDbYXS
DfWW WW
DDpU`a ZRmmU
rV`U`kcanWUTFVOrrrBBBBr rcVP`\FVO
cUTFV [BF[E`Er[V
rJkC^YK_B ZeQejXBCm^
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
BjL cBo[
mh m
KalLLlhXhrY kTA
[jeFKrccQflTGfmcD kcG[cSDD
DDSVGhq[ DiB[
DijijqhTCmam V`QZ]lIYJ
rC MmpQ^
mrYERg KmmaI\lV
akchTd KQnokTd
mAAj iVYrXhcaVELqBYIbj
mn cBXEYE^BoM
kTd[coTTK^]lIO iYq
ahdBF^U`KPP WoKQD\X\TaQDSmLamPP
bm fMDWob
rP^NcP rCYA^]_oflganhd\llnl^dB
ZT`mU`aU jZY\\cU
fTO]fDBJ^a KaV^FeK_B
kcS]j ZAgaYcS
LAjcI mjf
Pjq cFhd
BjLq cBo[q
DfW W
rr`EeU cINPcl
CDb WYVMY
c MJcPTEW^i
]Vp\PPLSLqBMRQjlY [qBZZSBQIZ\paYKlY
ilYfVp` KTjecPB
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
Z\[F o^\F
fP`mU`LMb\FVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB
kS rcmqpU`Qmq
]j MLa_
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ PVPV
fMDecE[lUV`aVLrcG[G KU`q[FV
cTShi lGDD[
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
WXrTaQIb YA
cTCQ GXY
[BNcE ScG
ecE[T ecE[ZInhT
$ MWTld
bjfaa\a m[
KTjecPB DBQ[`
fM DiBRmXBhQAU`La
cUr`EpVPCTGU klTeU`qbX
PAalh eTpVGIajMmS
m` ]lA]lAKU`QAaIiEOcEPTAb
klTWYKm\lVT` iV\pQflh
]jKQn^g^]_ $
[hBYXR^]l RcBoMmDecSZhXRaITc
akchTdP rcXeQIMJch
nHjOcEPVN e
DWoj_N`Ofnfm [LIJhBYmLa
KU`aQhQcalRU`dRF dB
BLM ]lA[rcSM
GXYZ cBJkPhA^
kl fMDecE[lUV`aVLrcG[
fPVGeq ZTPZPSWTrYcN
rrW DiBR]lIEAIKaVhcQhaamihTZ
DXcaIJ_ KaIlEWLEAL_M
SWUigmaIA ZCU`LapQhQmd
]ldPTcAMTj[LIX [q
[qBZZSBQIZ\paYKlY ]Vp\PPLSLqBMRQjlY
f`^]lPh\_OOOM Pc^]_OON`
inhAI BL
i^ Kma
rCJFg fPVIMbJFg
rVGecSb mA
DhAUEWrYf`aVhA rcV`mU`QaXg
MW UKW
ecE[chTN k\G
PcalpPCU`Lap^]_N`ON` ZgQURmQLhDFjlmJLI\_N`OO
ecY WYAgQgeqcYWM
mrYERg cdjqrcScTr\mQXSiB
kcS]l akchTdPT
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
BjLqj cBo[qj
r\`mVamLcP c
iVYrXhcaVELqBYIb mAA
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
rcXnI P`ECam
ZZLjqSBF[rWRmmam cBo[qj
fPVIMb rC
rrYERmmaYjXjeB^YUeaI f`m^]lYKlV\\mLacilYfI\lm
ZCU`dRFn` $
KU`aQhQcalRU`dRF cBJgF
ecPMWmTaP KanDpanXc
kcGP kM
PA^] rcV`mU`QaXgQZ]
kchc Dfc
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
PmQmq[F Km[mUa[G
Oj mAj
cBYXCU`mnoiVTKZ^UC kTdPTNdPchTdPlB
$ f`a
iY cT^B
rJkC^YK_B] ZeQejXBCm^]
cINPcl`q ilYD
rJkC^YK_B]_ ZeQejXBCm^]_
DiBRmXBhQAU`La fM
iYK_flTGIiV\\caVh _dBFnY
akchTd KQnokTd
DDpmmGgFB] iIiBdSj
klT\TLQfeTZTGDTQpEWp DXX\paIiLmOcPUPYnXEYEYRk
SPrYELTR WXRm
W^CQ [jeFKrccQflTGfmc
WoKQD\X\TaQDSmLamPPPPPP ZT`U`dDjcFDTLaSX\bDPPPP
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
jMQnobmiLG imeFe
]jrrWE`EnVhA^]F iIiLYj\
rTFLV fMDDXmLa[FV
DiB[ Dfm[
]lN] ]TPG
PAalh F^eTMZ\
fPVGeq ZTPZPSWTrYcN
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
ZLBUrYE $
mj mhj
[hUrW^UcXLrch Dfch
MmYramFh cFIkTdPcS
WoW ecj
DiBR]lIEAIKaVhcQhaamihTZ rrW
]lN] G
ieXqj MJcE[ldEiEJE
]ldPc kS
V`QZ]lIYJ [E
Naaaaaaaaaaaaaaa mhjf
UK M
Woi DDMpJI\l
Kame $
cmaal\` fGD
ZJ PA
ecG[TdPGO [\mloW
PcalpPCU`Lap^]_N`ON ]lKf`^]_OOB]_N
b ilCU`QVPrW\
WYVMY cBX\YGlA
akch KQnok
mA ob
e nHjOcEPVN
[hd eKhid
Dfc cNc
WXE`ErY[Sj_B]_f DDMpJI\l
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
PVGI[jqSnoklFj Kh]GU
ZLEeB\FVOr rV`U`kcanWUTFVOrrrBBBB
rr`EeU` cINPcl`
ZLqB\DDXAU` fPcV`mianWFDdhdrm
MJcGPT DD\`PV`aYbj`hcS
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
DijijqhTCma K^]hf
S fPVGeq
jZY\\cU` ZR^]llrpmaVhmLa\m
mE[aa ZRmQnoL[aaaaaaaaa
cdj cC^HLj
e nHjOcEPVN
KmQn^TMb^\\VMpaI cFflnniBZRQrAFej
TKldPlFfQZpc PV`mmmU`QcU
]j elc
]lA ZAgaYcS
DqB PXRalg
K^]_OON ZgQURmQLhDFjlmJLI\_N
fPVGeqcG ZTPZPSWTrYcNcG
DfmDWoW^ mrYERg
]McYM]M $
DDbJFn`\F Km[mUa[G
[BF[E`Er[VOB DD[FVOBBr
MJcPTEW^idj cdj
KaIXBZgQLEJSn^SfTjD f
ZgQURmQLhDFjlmJLI\_N` K^]_OON`
rr`EeU cINPcl
kcGP kM
ZeQejXBCm^]_N rJkC^YK_B]_N
YA WXrTaQIb
ZLBUrYE $
Bp`YXhV MTjPVMpU`aU`QVPV
ZLqB\DDXAU`a DqB
