26583
BAABABAA ABBABABABBAA
BBB ABAB
AABABBB AABABBBBAAAAABAB
AAAAAABA AABAAABB
AAAAAB AB
ABAABBAABABABAB ABABAABABABBBABABB
BABABBBABBBBBBAABAAA BABBAABBBBB
AAAAABBBBAAABBABAAA BAAAABAAAB
BAAAABAAAB AAAAABBBBAAABBABAAA
BBABBBBBAABAAAAAABBABBAAABB ABBBAABBBBBAA
BAAABABA BBBABABBAAAAAABBA
AAA ABA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
ABAA BABABABAABA
ABAABBBBABA BAABABBB
BAAABA BBBABABBAAAAAAB
AA ABABABAAABABAAA
BABBBBA BAABAAABBAAB
ABBABBBBAAB BAABBBBBBABBBA
BABAA ABBAA
B BAAAAAB
BABBABA AAAAAAB
AABBBA ABBA
ABABABABBBBBAABBBBB BBB
AAAAB BBABABAAABB
ABBBABABBBBA BABAB
$ BBABABAAABB
ABABABBABBBBBBAA ABBABBBAAA
ABBBABBBBA BAABBBBBBA
$ AAAA
BAAA ABAABB
ABBB BAABBBAAAABBAA
$ AABBA
AABBABBBB $
ABABABABBBBBAABB $
BAABBBABBAAAA AAB
ABBAABBBBBAA BAABBBAAAABBAABBABBB
ABAABAA ABABBAA
AAABAABA BBBABBBAA
ABBAABAABBABAAAABBB ABAAAABBAABBBA
ABABBB BBBABBA
ABBABBB BAABAAABBAAB
BAAAABAA AAAABBA
BBBAA ABAABABABBBBBABBBBB
AAAAB ABBAAAA
BBAABBAABBABBBBAABAAA BBBABABBAAAAAABBA
ABAABBAB ABBBBAA
BBA BBABBBBBB
BAABBAB ABAB
BBBABBABAAAA BBBABAAB
AAAAABBBBAAABBABAAA BAAAABAAAB
BAABAABA AAAAAA
ABABABABBBBBAABB $
ABBAAAA BABAAAA
BBBABBBA AAABBBAAABBABAAAB
BABAAB ABABBAAABA
ABBABABABBAAA BAABABAAA
A BAABBBAABBAAABABB
A AAAAAA
ABBAABBAAABBBBAABBBB BABAABBBBBABABBBBBAA
BAABBBBBBA ABBBABBBBA
ABAAAAB BBBBBAAA
AAABB ABBBBBBBBBAABBBAAB
ABBBA BAABB
BBBAAAA BBBBA
BAABAABA BBBAABBAA
AAAAABBABBA ABABBAA
ABAAAABBAAB ABBBBBBABABBABAABABBBAB
BAAABBBAABABAABAABA AAAABBBB
AB BAB
BBB ABABABABBBBBAABBBBB
ABA AAABABABAAABBB
BAABABBB ABAABBBBABA
AABAABBBABBAA BAAAAABBAAB
AAAABBBB ABAABBAABABABABA
ABAAAABBAABBBAA BBBBBA
AABBB ABABBA
BBABBAAB ABBBBBBA
ABBAABAAABBAB ABABAB
AAAABBABB BAABAABABAAB
AAAABBBB BAAABBBAABABAABAABA
ABA AAAAAABABAABBBA
AAAAABBABB AAA
ABABABAAABABA $
AAAAAAB BABBBBB
AAA BBBBBBAAAAAAA
BBBABAABAAA BBBAABB
BB AABBABBAAB
ABABBBBAABBBAAA BAAAB
ABBABBABBBABBBBBBABA BBAAAB
BABABABBBBAABBB AABAAABABABAAAABAABB
AB ABBBBBABAB
BAABABAAAB ABBABABABBAAAB
BBBBBB BAABBBBB
BABBBBBAABBBBBABBBBBBBBABAAA ABBAABAAB
ABAAAAA AAAB
BABAAB ABABBAAABA
BAABAABBBBAB AABAABAAA
ABBB BBABB
BABABABBBBAABB AABAAABABABAAAABAAB
AB BBAAABAB
BBBABBA ABABAAAAA
AAAABA ABBAAAAA
AABABBB AABABBBBAAAAABAB
ABABBAAB ABBBBBABABABA
AAAAAABABAABBBA ABA
AAABAABA ABBBABABBBABABBAAA
ABAABBBAA ABABABAAABABAAA
ABBBABBBABAAABABBBBBA AB
AAAAAA BAAABBB
A BAAB
BBBBBBAAAAAAA AAA
BABBBBAA BAABAAABBAABA
BABAABABBAABABBBBA BBBBBABAB
BAA ABAABB
AAA BABAABAABABB
ABABBA ABAABA
ABBBABABBBBABB BAABBBBAABBABABBABAABABBAAAA
BAABBBABBAAAA AAB
A BBAAABA
ABA ABAABBB
ABBBABBBABAAABABBBBBABBAAAAB BAAAAAAAA
AA ABB
AABABBBBAAAAABABA ABAABAABABBAAABABBB
ABAABBBBB ABABB
ABABABABBBBBAABBB B
AAAAABBBA ABABBBAABBBBABABBA
ABABBBBAABAABAABAAB ABBA
ABAAABBAABBAABBAABAABBABBABAABB BAABABBBABBABBBABAABAABAAA
ABBBBBABABABA ABBABBBABABBBABAAA
BAAAABAABABABBAA AAABAABAABAAAABAAAB
BAABAABBBBA BBBBAB
ABBA ABA
BAAAAAB ABAA
BBBBB BAB
BBBAABAABAABA BABAA
BBBBA BAABBBAB
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
ABABABAAABABAAABAABAAB BAABBBBBBAAABBABAAAA
ABAABBA BAAAAABB
ABBBBBAAAABB BBABAABB
ABBAABB B
BAAAABAABABABBAA BBBAABAB
ABAABABABBBBBABBBBBAB AABBABBBB
AAA BAAAABAABABABBAAA
B $
AAAAABBAABAAABBBAABBBBBBAAAA BABBB
$ BBAAAB
AABAAAAABBABA AAABAAAABBAAABBAA
AAAABAAAAAABBBBBBBBA BAABBAB
ABAABBAABABA ABBABBABBBABBBBBBA
AAAAAABBA BBBAB
BABABABBBBAAB AABAAABABABAAAABAA
ABBBA BAABB
B BABAABBBBBABABBBBB
ABBABABBBABBBBAB BAAAAAB
ABBBAAAAABBAAB AABAAABBA
AAAAAABB ABB
BBBBA AAAABBABBAAABAB
ABABABAAABABAAAB BBBAA
BB ABABABABBBBBAABBBB
ABABBB BBBBB
AAAABAAAAAABBBBBBBBAB BAABBABB
ABABAAABAABB BBBBBABABA
ABBAA BABAA
BB BABAABAABABB
BABBBBB AA
AB BAB
BAAABA BBBABABBAAAAAAB
$ BBBBB
BABABBBABBBBBBAABAAAA BABBAABBBBBA
ABBABBBBA AAAAA
ABBAABAABB BABBBBBAABBBBBABBBBBBBBABAAAB
ABAABAABABBAAABABBBB AABABBBBAAAAABABAB
A ABBABBABABABAABBAABA
BAAABABABBBA BBAAAA
BAABABAAABAB ABBABABABBAAABAB
BBAA AAABABBBAAA
AAAAABBBBAAABBABAAA BAAAABAAAB
BAAAAA $
$ B
BAABABBBABBABBBABAABAABAAA AAAABBB
AAAABABBBBAABBBBAABABABAAABA ABBBAABBBBBAABAAAAAABA
ABBBABABBBBABBBB BBBAABBABAB
AAABAABBB ABABBBAABBBBABABBA
BBBBBAB BAABAABBBB
BBAAA ABABAABABABBBABA
BBAB BBB
ABABBAAB AABAABBB
ABBABABABBAAABABB ABBBBA
AABABB A
$ ABABABAAABABA
AABAABB ABABBAA
BAABBBB ABBBABB
BAAAABA AAAABB
AB ABBBBBABAB
BAABBAABAA BBAABBB
AABABBBA ABA
ABABBA ABAABA
AAB BABBBA
ABBABABABBA BAABABA
BBBBA BBBAAABABAABBBABBAB
ABBAABBAAAABBAB ABABB
ABB BBAAABABB
ABB AAAAAABB
BBBAA BAABBA
ABAA ABBABBABABABAABBAABABAA
BABBBAA ABABBBBBAAAABB
BAAABBBAABABAABAABAA AAAABBBBA
AB ABBBABBBABAAABABBBBBA
ABBABBBAA ABABABBABBBBBBA
AAAA ABBABBBB
BBBB ABABBABAABAA
BBBB BAABABAAAAAAABABBA
ABBABBBABABBBABAAAA ABBBBBABABABAA
AABABBBABB AAABB
ABBABABAB BAABA
ABA AAABBBBBAABBBBAB
BBAABAABABA BAABBBAABBAAABABBAA
AABABBBABBB BAABBAAB
ABBABABABBAA BAABABAA
ABBB BAABBBAAAABBAA
BAAAABAABABABBAAAA ABBBBBBBAA
BAAAABA AAAABB
AABBBA ABBA
BBBB BABBABBBA
AAAAA ABBBB
ABAAAABBAA ABBBBBBABABBABAABABBBA
A BAAAABAABABABBA
BB BA
BAABABAAABABB ABBABABABBAAABABB
BBAABAAAAABAABAABAB ABAABABABBBBBABBBBBA
A ABABABAAABABAA
BBBBA BAABABAAAAAAABABBAA
BBABBBBBABBAABBBAA BBAAABBAAABA
ABABA AABAABBB
AAABBB A
ABAABBA BBBAA
ABAABBBBABABBB BAABABBBBBB
BAABABAAAAAAABABBAAB ABAABABBAA
BAAAAA $
ABABBBBAABBBAAA BAAAB
BBABABAAABB $
ABAAAABBAA ABBBBBBABABBABAABABBBA
BAABAA BABBB
AABABBBABBB BAABBAAB
ABABABAAABABA ABAABBB
AAAAAAB BAAAABABBBAAAAA
BBBABBABAAA BBBAA
BAA AAABABA
ABBAABBAAAABBA ABAB
BABAAABBBABBAAAABBAAA AAABABABB
$ B
ABAABBBBABABBBBBB BAABABBBBBBBBB
BABBABBBAB BBBBB
BABABBBABBBBBBAABAAA BBABBB
BAABBAAB BAAAABAABABABBAAAA
AAAABBBBA BAAABBBAABABAABAABAA
AABBBBAAA BBBBABBBBAAAAAAB
BABAAAABAAAAAAAABAAAAA AAAABAAABABA
A ABBABBABABABAABBAABA
ABBAABBAAAABBABB ABABBB
BBBBBBAAAAAAABA AAABA
BABBABBBAB BBBBB
BAAB ABBABB
ABBABBBBA AAAAA
B AABBABBAA
AAAAABBBBBAB A
AABAA ABBABABABBAAABABB
BABBABA BBBAABBAAB
BBABBBBBAB ABABBBAAA
BBABBBBBAABAAAAAABBABBAAABB ABBBAABBBBBAA
BAAAABAABABABBA A
BBAA AAAABAB
AAABAB BA
BAAAABAABABABBA A
BABBBBAA ABAAB
BAAAABAABABABBAAA AAA
$ AABBA
BABAABB ABABBAAABAB
B BAAAAAB
BBBBBBAAAA $
BAABB ABBBA
AAABBB A
$ BBABABAAABB
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
ABABBAA AABAABBBAB
BAABBBABBBB AABBABA
ABBBB BAABBBAAAABBAAB
AAAABAAABAB BABBBAAABABBBBBBB
BABBABAA BBBAABBAABA
BAAAAABA BA
BABBBBBA AABBABAB
BAAAAA AA
BABBAAB ABBAABAABB
AAAABBAAAAAAA ABBAAAABAB
ABBAABAAABAABAB ABBBAABBBBB
BABABABAAB ABA
BAAAABAABABABBAAA AAABAABAABAAAABAAABA
ABBAABBAAAABBA ABAB
BAAAABBBBABBABA BBBAABAABAABAABBBA
B BAAAAAB
$ ABBAAB
ABABAAAABBA AAAABBBBAABBAA
BBBAA ABBBA
AAABBBBBBAAB BABBBBAAAABAAA
ABAABBAABAB ABBABBABBBABBBBBB
AABAAA BAABB
ABBABBAABB AABAABBA
ABAABBAABABAB ABBABBABBBABBBBBBAB
AB $
BAAB BABABABBAABB
ABAABBBBABABBBB BAAAAA
ABBAAAAAABABBA BAABABBBABBABBBABAABAABA
ABAABBAABABAB AABABABBBBABABBA
ABABBBBABBAAAA BBBABBA
ABBBBAABA BAB
ABAABBB ABA
ABAABBBAA ABABABAAABABAAA
AABBABBAA BAAB
ABABABABBBBBAABBBBB BBB
AAAABAAA ABBBAAAABB
AAAAAA A
ABABBBB ABBBABABBBBABB
ABAABABABBBBBABBBBB ABBBABABBBAB
BA ABBBBAAAAABBABB
ABBAABB B
AA BABAABBAAAAAB
AABBABAB BBBAAB
ABA ABBBBBABABA
AAAABAAABA BABBBAAABABBBBBB
BA BBBB
BABBABBBAB BBBBB
BBBAABBBABBA AABBBAAAB
AAAABABBBABA AAAABBBABBABBBAAAAABBBABBAAABABBBBBBB
BAA AAABA
AABAAB ABABABABBBBBAABBBBBBBBA
BAABBBBBBA ABBBABBBBA
ABAAAABBA ABBBBBBABABBABAABABBB
ABAAAABBAAB ABBBBBBABABBABAABABBBAB
BBABBBABABBBBABBBB BABABBBAABAABBBBBBBBBABAB
ABBAAB $
AAAABABABAABBBABBBAABABABBA AB
A AAB
AAAABBAABBBABBAB ABBABBB
BAABABAAAB ABBABABABBAAAB
$ BAAAAA
BAABBAAABBBAB BAABABAABABAABA
ABBABBBBA AAAAA
AAAABBAAAA ABBABBABABABAABBAABAB
BAABBBBBBAA $
BAAAABAABABABBAAA AAA
BBBAABBAAB BABBABA
ABABABABBBBBAABBBBBB BBBB
BBBAABBAA BAABAABA
AABABABBBBABABBAA BBAAAB
AAAABAABBAABBABBBABAA AABABBBABB
ABBABABABB BAABAB
ABAAAABBAABB ABBBBBBABABBABAABABBBABB
BAAABBB BAABBBBBBAAAB
BAABAABAB BBBAABBAAB
ABBBABABBBBAB BABABB
AAABBBB ABBBBABBA
BBBABBABA BBB
ABAABBBAA ABABABAAABABAAA
AABBBA ABBA
ABBBABBBBA BAABBBBBBA
BAABBAABAAAABA BBAABBBAABA
AB BBBBBAB
B BABAABAABAB
ABABBABAABAAA BBABBABBBBAABABBA
ABBABABABBAA BAABABAA
BAA BBABAABA
ABAABB AABA
AAAB ABAAAAA
A BAAB
ABAAAABBAABB ABBBBBBABABBABAABABBBABB
ABBBBBA AABB
BAABAAAAA ABBBAAAAABBAABB
AAAABBA AAABABAB
BAA B
BABABBBABBBBBBAABAAA BABBAABBBBB
BAABBBB ABAABBBBBB
ABAABB AABAABA
ABBBBABBABBA AAAABBAABBAAAABAAAA
BBBBBAAB AAAAABBB
BBBAAB BBBBB
ABAABB BAA
ABBAAAA AAAAB
B BAA
BA ABBBBAAAAABBABB
ABBBBBBABABBABAABABBBABBBA ABAAAABBAABBBA
BBAAABABB ABB
AAAABAAAAAABBBBBBBBA BAABBAB
BB ABABABABBBBBAABBBB
AB BBA
AAABABABAAABBBA $
ABABB ABBAABBAAAABBAB
ABABBBBBAAAABB BABBBAA
BABAABAABABB BB
BABA AABBA
ABA BBBBAB
AABAA BABAABAAA
ABBBBBABABA ABA
BBB BA
ABAB ABBAABBAAAABBA
BABABBBB ABBBABABBBBABBB
AAAAABBBBBA BAAAAAB
A ABBABBABABABAABBAABA
A AAABABABAAABBBAA
AABAAABB BBBAABBAABA
ABAABAA ABABBAA
ABBBABBBB BAABBBBBB
ABBAB BAABBBBBBAAABBA
BABAB AAABBBAAABBABAAA
BAABBBBBBAAAB BAAABBB
BA ABBAABAABBABAAAABB
$ ABBABBABABABAABBAAB
BAAAABAABABABBAA ABBBBBBB
AABBABBAA BAAB
AAABAABAABAAAABAAAB BAAAABAABABABBAA
BB AAABABBBA
BAAAA ABABBBB
ABBB BBABB
ABBABABABB BAABAB
BBBBABB ABBBBBBABBBABAB
BBBBBAB BAABAABBBB
BABAABBBBBABABBBBB BBAABAA
A BA
BAABBBAAAABBAA ABBB
BBABABAAAB AAAA
BABAAABB ABABABAAABABAAABAA
BAAABBBAABABAABAABAA AAAABBBBA
BBBABBBAA BABABABBBA
B AAABBBAAABBB
AAABABBBAAAB BBBA
ABBAAB ABAAB
AABAAABABABAAAABAABB BABABABBBBAABBB
AABBBBAA AAAABBAABBAAAAB
BAABB BBB
AAAABBBABBAB BABA
BAABAABABAABBABAA AB
BBABAAB BA
ABBBAB BAAABA
BBBBABBBBAAAAAA AAAABB
BBBA ABBBBBABABAB
BABAAAABBB ABBAABAABBABBABBA
BA BB
ABBABBABABABAABBAAB $
BAABAB ABBABABABB
AABBABBAAB BAABB
AABBB ABB
AAAAA $
ABABAAABAABBABA BABABABBAABBBAB
ABBABBABBBABBBBB ABAABBAABA
ABAABB ABBAABB
BABBB BAABAA
BABAB BBBAAABB
ABBAA BABAA
BAABBABB ABABB
ABAABABBAA BAABBBABB
BABBBAAABABBBBBB AAAABAAABA
ABAABABBA ABAB
BAB ABBBABAAABBBB
ABBAAAAAABAB BAABABBBABBABBBABAABAA
AB AA
AAAABBB AAAABBAABBAAAABA
AABBABBAABAB BAABBAB
BBB ABBAABBBB
BBABBBBBAABAAAAAABBABBAAABBB ABBBAABBBBBAAB
AABABBBABB ABBBAA
ABA ABBA
BBB ABABABABBBBBAABBBBB
AA AB
BB BAAB
ABBABBABBBABBBBB ABAABBAABA
BBABBBAABBBBBB ABBBA
ABBBABABBBBA ABABB
ABBBBBBBAB ABBABBABABABAABBAABABAA
AABA ABBBBAAABB
BAAAB ABABBBBAABBBAAA
BAAAA AAABABAAA
BBBABBAAB BAAAABAABABABBA
ABA ABBA
ABA ABBA
BBB BBBABBABA
ABAA ABBAA
AABBAB BBBA
AAAABABBBAB BAAABAAAABA
BBAA AAABABBBAAA
BABAAAAB ABBABBA
$ ABBBBBAB
ABAABAABABBAAABABBBBB AAABB
ABABBBAA ABBABAA
ABABBBAABBA BAAAB
ABBABABBBABBBB BAAAA
BAAAABAABABABBA BBBABBAAB
BB BABAABBAAAAABA
BAB AB
ABABBBBA AAAABAAAAAABBBBBBBBABB
ABAA AA
ABAABAABABBA BAAAAAB
ABBABABBAAABABBBABAB ABBBABBAAB
$ AB
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
BABA ABBA
ABABABABBBBBAABB $
ABBB BBABB
BABBBA AAAAABBAABAAABBBAABBBBBBAAAAA
AAB A
AAAAAB ABBBBB
AAAABBAAAAA ABBABBABABABAABBAABABA
ABBBAABBBBBAABA BBABBBBBAABAAAAAABBABBAAABBBA
AABABABBBBABABBAA BBBABAABAABABB
ABAAAABABAAAAAAABABB BAAAABAABABABBAAA
BABAA ABBAA
BABA AABBA
AAAABBBAB ABBABABBAAABABB
BBABAABAAAA ABBABBABABABAABBAABABAAAAB
BAA ABBBABBBABAAABABBBBBA
BABBBB AAAAAA
BAABABBBABBABBBABAABAAB ABBBBAABBAAA
AAABABABAAAABABAAABABBBABAAAAB BBABAABBBB
BAABBBBB ABAABBBBBBB
AABBAABA ABA
AAAABBBABBABAAB BBBAABB
AABBABA ABABAB
ABAABBBBABA BAABABBB
AAABBBA ABBABBABABABAABBAABABAAA
ABABABABBBBBAABB $
BA AAB
BAA ABBBABBBABAAABABBBBBA
A BA
B ABABABABBBBBAABBB
BAABBBAAAABBAAB ABBBB
ABABBBBBAAAABB BABBBAA
BAAAABABBBAAAAABA AAAAAABBA
ABAAB ABBAAB
BBBAABABAA ABAABAABABBAAABABBBBBB
BBABB AABBABBAABABB
ABBABABABBAA BAABABAA
ABAABBBBABAB BAABABBBB
BBA AB
AABAAABB AAAAAABA
ABABBBBBB BABABABAABAA
A BAAB
ABBBBA ABBABABABBAAABABB
AABBBA ABBA
ABB BAB
A BBAAABA
BBA AAABABBBAA
BAAABBABAAABAAAAAABABBABAAABBB A
BA A
BABAABABBAABA BAABABBBBB
BA BB
ABAABABBBAB ABBABBBAA
ABBABBABBBABBBBBB ABAABBAABAB
AB BAABB
$ ABAAB
AAAAABBBBAAABBABAAA BAAAABAAAB
B BBBBBBA
ABAABBBBABA BAABABBB
ABABAABABABBBAB BBAA
AAABAAAABBAAA AAAAABBBBAAABBABAAAB
ABBA BABA
ABBBAAA ABBBAA
ABAAAB BABAAA
ABABAA ABBBBBABABABAA
AAAABB BBABABAAABBB
AABBABBAAB BAABB
ABAAAA BBBABABBAAAAAABBAB
ABBBBBBABABBABAABABBB ABAAAABBA
AAA BABAABBAAAAABA
BBABBBABABBB BAABAABBAA
ABBBBBABABAB ABBABBBABABBBABAA
BBABBABBBBAABABBABB BBAABBBAA
BBAB ABBBBBAA
AB ABBABBABABABAABBAABAB
BAAABAAAABA AAAABABBBAB
BAAABBBBABA ABAABABABBBBBABBBBBABBAA
ABBBBAABAABB BAABBAAAA
BAABBABBAAAAAB BBABBBBBAABAAAAAABBABBAAABBBAAAA
BAABBBBBB ABBBABBBB
BBB ABBBBAABBAAAA
AAAAAABABAABBB AB
AAAAABBAABAAABBBAABBBBBBAAAA BABBB
BAABABBBB ABAABBBBABAB
AABBABBAA B
ABAA BABABABAABA
ABABAAB AABAABBBAB
ABBBBBB AAAAABB
ABAABBAABABAB AABABABBBBABABBA
AABBA $
BAAABBBAABABAABAABAAB BBAAAAAA
BABAAB AAAAAABABAABBBAA
ABAAAAB AABAABAAA
AAAAAA ABBABBBBAA
AABBBBAAA AAAABBAABBAAAABA
ABAABBA BAAAA
ABBBBBBAB BBBAABB
AAAB ABAAAAA
BBBAAAB ABAABAABAB
ABAABAABABBAAABABBBBBB ABABBB
BBB BBBABAABAA
BAABABAAAB ABBABABABBAAAB
AAAABAAABA ABBBAAAABBBA
BAABBBBBBABBBA ABBABBBBAAB
ABBABBABABABAABBAABABA ABA
BBBBBA A
BAABABBBABBABBBABAABAAB ABBBBAABBAAA
BAABABBBABBABBBABAABAAB ABABBBBABBAA
AABABBB AABABBBBAAAAABAB
ABBABBBABABBBABAAAA ABBBBBABABABAA
AABBA $
BAABBBBBBA ABBBABBBBA
BA AB
BBB AAABA
BABAB ABBBABABBBBA
ABAABAABA ABABBAABA
BAABABBBABBABBBABAABAA ABBAAAAAABAB
BAA B
ABBBBABBA BABAABBBABABBAB
AAAAABBBBBA BAAAAAB
AAABBBAAABBBBA AABAB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
BABBBBAA ABABABBABBBBBB
ABA BAABBA
BBBAA ABAABBA
AAABA BAA
ABBABBABBBABBBBBBAB ABAABBAABABAB
BAAABBABAAABAAAAAABABBABAAABBBA BABABBBAABAABBBBBBBBBAB
AAABBBAAABBB B
AABAABA BBABBBBBAABAAAAAABBABBAAABBBAAA
AAAB BAAABBABAAABAAAAAABABBABAAABBBAAB
ABBBAA BBABB
ABB AABBB
BBB BAB
ABABABAAABABAAABA A
A BAAABBABAAABAAAAAABABBABAAABBB
AABBBA ABBA
ABBBBBBBBBAABBB BAABBAABA
BAABB AABBAB
BAABABBBABBABBBABAABAABA ABABAAAA
ABBBAABBBBBAA BBABBBBBAABAAAAAABBABBAAABB
AA BAAAABAABABABBAA
BBABBBBBAABAAAAAABBABBAAABBBAAAA BAABBABBAAAAAB
BABAABAABA $
ABBABABABBAAABABBA BABABABBAABBB
ABAABBB ABA
BAABAABAB BABAAABBBABBAAAABBA
BABABABBBBAABBB AABAAABABABAAAABAABB
AAAABBBA AAAAABBBBAAABBABAAABBB
BB BABAABAABABB
BBBAAA BBBABBABAAAA
AAAABBBB BAAABBBAABABAABAABA
ABBAABAABBA AABAA
BAABABAAA ABBABABABBAAA
BBBABAABAABABBB ABABAABABABBBABABB
ABBAA ABAA
ABBABBABABABAABBAAB $
ABBBBBABABABAA AAB
ABAABBBBABAB BAABABBBB
BABAAAAAB AAAABBBABBABBBAAAAABBBABBAAABABBBBBBB
ABBBBBABA A
BAAABBABAAABAAAAAABABBABAAABBBAA AAA
AB AABABBA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
ABABBB BBBABBA
BABAAAA ABBAAAA
AAAAAABBA ABBA
ABBBBBAB $
AAAAABBBBAAABBABAAA BAAAABAAAB
BABABABBBBAABB AABAAABABABAAAABAAB
ABAA ABAB
AAAAABBBBAAABBABAAABB BBAABBBAA
A ABBAAAAABB
ABBBBB AAAAAB
BAABB AA
ABBABBBBAABA BAABBBBBBABBBAA
ABBAAAA AAAAB
BABABB ABBBABABBBBAB
BBBABAABAA BBB
BABABABAABA ABAA
ABAABABBBA ABABAAAAB
BABABABBBBAAB AABAAABABABAAAABAA
A BAABBBBBBAAA
AAAAAB ABBBBB
AAAABAAAABBA BBBAABBBBB
ABAABBBAA ABABABAAABABAAA
AABBBA ABBA
AABBBBAA AAAABBAABBAAAAB
ABBAABBBBB ABBBABAAABBBBA
BABBAABBBBB BABABBBABBBBBBAABAAA
ABBB AAB
BBBABAABAABABBBA ABABBBBAABBBAAABAB
AAAAAA BAABAABA
BAABAABAB AAAAAAB
$ ABABABAAABABA
ABBABBABABABAABBAABA A
BABABABBAAB BAA
BBB BBAB
BAABABBBB ABAABBBBABAB
AAAABBABBAAABABBB AAABBBBBA
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
BAAAAABBB AAAAABBBBBABB
BAAABB BAABBBBBBAAA
ABAAAABBAABBBA ABBBBAAAAABBABBB
BABBBBBAABBBBBABBBBBBBBABAAA ABBAABAAB
BAAB BB
ABBABABAB BAABA
ABBABBABABABAABBAAB $
ABAA ABBABBABABABAABBAABABAA
ABAABB AABB
ABAABB BAA
ABA A
ABAABABABBBBBABBBBBA ABAB
BBBAAABABAABBBABBAB AAAABBBA
BBABBBBBAABAAAAAABBABBAAABBB ABBBAABBBBBAAB
BAAA ABBAAAABBBABBBABBBBAA
ABBBBBBABABBABAABABBBA ABAAAABBAA
BABA BBBA
$ AABBA
ABBABBBABABBBABAAA ABAABAAB
ABAAB $
BBABBBABBAABABB BBBBBA
ABAAAA ABBBA
ABBAAAAAABAB BAABABBBABBABBBABAABAA
ABBABBBABABBBABAA ABBBBBABABAB
BAABABAAA ABBABABABBAAA
BBABBBA BABABBBABBBBBBAABAAAA
AAAAB BBABABAAABB
BBBBB ABBAAAABBBABBBABBBBA
BAAABBABAAABAAAAAABABBABAAABBBA BABABBBAABAABBBBBBBBBAB
ABAABBBBABABBB BAABABBBBBB
BBABABAAABB AAAAB
AAAAAB BAABBAABAAA
AAB BAABBB
ABAABBBBBBBA ABABBBBA
ABBBBAA BBABBBBBAB
B BABAABBBBBABABBBBB
ABAABABBBA ABABAAAAB
BBBBBA BBABBBABBAABABB
ABBBBBBABABBABAABABBB ABAAAABBA
BAB AABB
AAB BAABBB
$ BBBBB
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
AB ABBBBBABAB
AB AA
BA AB
BAB BBB
AABAAABABABAAAABAABBAABAAA ABABBBBAABBBAAABABAAB
ABBABBBABABBBABAAAA AABAABBBA
AAAAABBBBAAABBABAAAB BAAAABAAABB
B ABABBBAAABAA
AABBA $
AAAABAAABA BABBBAAABABBBBBB
ABABABABBBBBAABB $
AA ABAB
BBB BA
ABABABABBBBBAABBBB BB
A ABA
BAABBAABAAA AAAAAB
AABAABBB ABBABBBABABBBABAAA
AABABBBA AABABBBBAAAAABABA
BAABBBBAABBABABBABAABABBAAAABBBA BBAAABABBABAA
BAA AAABA
AAAABAAABABAB BAABBAABA
ABBABABABBAA BAABABAA
BABAA ABBAA
BAABABAAAB ABBABABABBAAAB
AABBABBB ABAABABABBBBBABBBBBA
AAABABABAAABBBA ABAA
BAAAAABAB BAB
ABABBA ABAABA
BBBAB AAAAAABBA
ABBBBB AAAAAB
AAAABBAABBAAAAB AABBBBAA
BBBBBAABA ABBBBABBABBAA
BABAA ABBAA
AAA BBBBBBAAAAAAA
BAAAA A
ABAABBAAA BBBA
BABABBB ABBBABABBBBABB
AAABAA BBABBBABABBBBABBBBAA
ABBABABABBAAABABBA AABAAA
ABAABBB BAAB
ABAAAABBBBAAB AAABBBAAABBABAAA
ABBAABAAAB ABA
BBAAABAB AB
BBBAABBA BAABAAB
ABABABAAABABA $
ABBBBBB AAAAABB
ABAB AABABBBAB
BBABBBBBAABAAAAAABBABBAAABB ABBBAABBBBBAA
BBBAABBAABA AABAAABB
AAABAAAABBAAA AAAAABBBBAAABBABAAAB
ABBABABABBAA BAABABAA
ABAABABABBBBBABBBBBA AABBABBB
AAABAA BAABBBABBAAAAB
BABAAAABAAAAAAAABAAAAA ABBBBABAAAAAB
BBBB ABABABABBBBBAABBBBBB
BBABABAAABBB B
ABABABABBBBBAABBBBBBB BBBBB
BAABAAAAAB BABAAABBBABBAAAABBAAABA
ABBAABBAAAABBABB ABABBB
ABBBAABBBBBAABAAA AAAABABBBBAABBBBAABABAB
BB BA
AAAAAABABAABB A
BAAABBABAAABAAAAAABABBABAAABBB A
BABAAAAABBBABABA ABAABAABABB
BAAABBABAAABAAAAAABABBABAAABBBAABAA BAABAAB
ABBAABAAB BABBBBBAABBBBBABBBBBBBBABAAA
BAAAA AAABABAAA
BBBB BA
A BAAAABAABABABBA
BBAA ABABAABABABBBAB
BABBBBBAABBBBBABBBBBBBBABAAABA ABBAB
BAAAAA ABABBBBA
BABAAABBBABBAAAABB BABBAB
BABBBAAABABBBBBB AAAABAAABA
ABBAABB B
AAAAABB ABAAABB
BBBBB BBBBBABAB
ABABBABABBBBABAA AAAABAAABABAB
AB $
AAAAABBAABAAABBBAABBBBBBAAAA BABBB
