34005
IHQWl CgdKTK]REAI
Ie G[Q\
\aEAOT_fMr Cd_WZZ
\TpMfYMQAIN`Ij`Ij\AAAAAA \S
IRP_UXiMffZZZXUmTQHU \_V\lN`\a
CGEUXDi_TAGLagpUZp \_RVRi`\TOT_agpUgp
IeQiA IhlH_VRqFBMWUA
IpiS \S`
CGV[\FC I
\_DqB`IRWFC IeHC
CEifWUA\`BbQWAErpSC INGLfaCGG^
\TQfSC_L_W C_L^__q
\MLlN`CZp CZ
\pr[ C
C_E`\QW^ ITSQPFY
ISBbQjG^GRV\BBZYQApfE \VQ
SqUAipY CGQUAU
\aC`IN`\a \cPn`\Q_
CgSMfS IeUl
\QAlOTU \SiCpfDg
\a IhE
IHMrlpY_ \Qme_
CXLRpnTTT CDpTTTT
\WS Iji
bhIN`C_S`foVWYE \TOTDqHO\V
\S`I^SGJmG Iji
cHTTGBR IjGQ
\alN \QKLTA
k CGfrgK]KT
OBB CG
CGV\^Z CXmGWVi
$ \QWYgK
\ \QAjY
C_L_WWc ISrallllQFM
\Tl IR
C_L_cL_WcL_WWWcL IjiCpffQWEGFFGA\_RV[RioQirgRL_cL_cL_cL_cL_CL_WWWWWWcL_WWcL`_cLF
IRjQDiRV[RHPqBP[YGP Ie
CG_U Iq
UC Ie`C
CEXYV\SPFUAIeI \SiS\aTAi
IH_V\eQWL` IjUAiMUDgp
I_S CgRS]p
qCGSLXRSM CEPq
\_`CMRi \TlpY_`IHQP
EIHa CG_
CZp CXLR
Cn C_WU`C
IRj \Q
CgSloK CKo
$ hl`
IHaE^lpfgQfQW C_W
CEOBFBVY`IHaUX L
GI \TOTAI
CgRS IN\Ai
C_L^__qcL_ C_L_cL_
\\EAllFmpCp Iji
CgRW $
Iji \WS
\MLYlRAllp \MGZSCGQi
\Qr ING
C\GR CZRRR
IN\AAAA \S
\MrlQDiVB[]pYSGLagpUgpUg IHQj\agpUgpUgpUgqpUgpUh
IjCiB\ CgRSr_EA\MRQ
INGLfaCGG^ \YI]aACEY`OC
\ IeV[\ZrlpLfE_UX_UZRZX_r
C_W IHaE^lpfgQfQW
_lTA ISrlQRVRi_C
\TpM_leVB[fCiS\Tp \hQW
\__Dg \QPUDGpUgpUg
\iLfEi Ie
MRNjLfZ \MQPBUU
IjGQUE \Y
CgR C_D
IRAlpWN\AAAAAAAAA `CVWZR
Ij`C_Weaf_`IefY_UUXQi INp
\_ CGfMQUASUAUAUAUA
\QjGF\TQA\ am
C_L_WWWcL_W \_fgWL_L_cL_cL_
$ \MrOTP
CEij \iabWE
\QAlOT \TpJQcZH
IShIlH IAlHQPfY
\YI]aACEY`O \MLlN`
IH_V\eQWL`UgpUg \_RVRi`\TOT_agpUg
CgSM` Z\Pf
\aEWeaCARjhqAE IRjhqIEEkEE
_ \QWZWRAQQG
CXp CDpT
CZpRpT IWaC`MrFMfrDpn
IjGQUE \Y
m IRPACG`
\S` IpiS
CGffUZZZZ G\L
Hg CgKd
IRW ^ISITA`\MRQWBW
\MQPBUUZ FbN\
\_ Ic
HaagpU CGfL`WSLa
IeQ`C PMB
CZR CZRPRR
C_WMS \Tq
\TpW YI
INGL^GVW\eTQDiRVBFnFC C
CG_U Iq
IeUagpU \a`U^gpUgJU
INi \MLYlRAllp
I\g]AA \SUA\AAAA
CEXqFMSfCiY IAlHQPfY
$ \MrOTP
C_EfM_lHS`CXL CXb
\TOTV\EGljUA IHaUZWQiWSrllOTZfL`NW
CGmM \_AIRAp]OTQG
\QAjY \aUZX_CiY
CGUC` \S`\
I H]\ShIl
IRlpQj IHaE
IHQAQfY IAlHQPfY
\QPUDGp \__agpUgpUgpUgp
IqH \
nNlR`\ C_WUDqHiWhSGQUf
IN`CEO C_WYEa[fUZZXV
CGf]lpClp IRAllQfYMLKlji
CZR IHMQfrAZ
_ \QWZWRAQQG
C_L_WWcL_c_W CGQ`\aTA`\QWoL_cL_WW
C_WU`C Cn
\\EAllFmpCpM \QPR
C_ IHaE^lpfgQfQ
\_fgWL_L_cL_ C_L_WcL_cL_WcL_W
C BSC
IRjQP[ bSrQ
I Iji
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgp IHML`Ugp
\QjQACXopTTTT CLRpTTTTTT
\VGGZWN\ C_EP[LfWSQ
Ij`\ IPlSGUPBV[B[CQffiiGe
EIHa IHMG
IpiS \S`
]baEjGQ \QAOT
\QA Ie`\jQll
ISrallllQFML C_L_WWcL
Zl CXiRRl
Ie_EP`C_WSP[Cpf \QApMQ`IRWUj
IEjfZgpSeG_SGGSDYV[ \QPRV[
\T \TT
K\Q \aE
OC C
$ IeQiA
IhUXAISr ZR
IN`\aU CGDHFlcjiMU
IjUAGrA IN\AA
IRlpQj IHTOTf]QUE
CG L
C INGL^GVW\eTQDiRVBFnFC
CZRPR IN`\amQWYZ
C_WhSUAUAUAG \iabWE
ISrlQfYafSGL C_S]\llQfrlpTTdT
\ CG
IjUG \SG
\_RVBFoE`\ nNlR`\
$ \TOTV\EGljUAi
IVllllQDi CG_UX
ISrallllQFM C_L_cL_Wc
\_A^E CgRSr
\TllQ C_WYEa[fUZZX
SaP \TpfUXPFEL
CGUEPfLo m
IRPfrZl CpR
\amTpO_DiUTAGrOT`IH_ CG
U $
\TQ^cV IRAQ`\_RV
Ie IRjQDiRV[RHPqBP[YGP
IeAIRAllpfC \QPimS
IeVIBU_faUZXQ \MQ_TA
\_QUA`\QP_`U HaagpUgpU
CXilp CXLRpITTTTT
CGA\__l gdi
IRWlh \MQWHWSPF
BIZ^nLPA\ \_V\lN`\
ZR \_ACZ
T \Tll
\SGrlQDiUmOTPHiWURVRqBPFM INUAUAi]lQ`Cg
CgRWVXi`CDpTTTTTTT fCX\pT
\_U`UgpUgp \TOTDiUEj
\BMLC`INiro Ij`C
\_`CEOBFEGB^Xi hpBAqQCc
IhmS \lQPhEQq
IhU \QWMEfYa
\QAQR Ie`\jQllQR
CZR C\GR
CEAHGqZBoHGHGHGjngqZB QN
kj $
C_WBUP[COTf] T
IeUl CgSMfS
kj $
I_S CgRS]p
CEeREP Rj
IeQirD C\GRl
IShIY I
\Qme \MGUA\
IHTl IN`IRPRV[BBDi`MGE
$ CGPH
ISG C
IjGGZrG o
ICjO IRAOTRV[
INGL`UgA^R INiMUagpUgpUgpUgpUgpU
IHTlpCOTV \bWP_
CGmM IS
CXLRpnT CXLRp
CEeRSlQmP[qXqFY INUAUAi]lQ`C
^ISITA`\MRQWB IR
ISGZiQV[RY CGffUZZZZXR
\_e \amamQWe_`\_
Z \TOT`
CGfClOTPF^Xip \BMLC`INiroXL
\aE K\Q
Ie C\a`C
\_VB $
CgSMfS IeUl
C_L_WWcL_c C_WoL
\bWP_ IHTlpCOTV
IHQjG^_E CBG
\__C \QW
$ BS
CZ \QAIlprXiRR
\QAllQRV[\S_ \TTRVB[f
C_L_cL_ C_L_WWcL_c_W
\QWVAp HQrTQP
CG`Cg \SGrlQDiUmOTPHiWURVRqBPFM
C_WYEa[fUZZXV \QAQV
\_A\Sir \_`CMRiAC
IRjhqIEEkE \aEWeaCARjhqA
CZRPRRR IeUEW^Z
\hQW \TpM_leVB[fCiS\Tp
CGUUZZ MRNjLfZZ
CXmGW _]X
CEXqFMSfCi IAlHQPf
IBMRQABpVDifrgS C_WMSr
\aUX_EjQPFUP[]OT IeJ
$ \am
C_WeMe IH_`\SiWeRV\E
fC_S]QPF]RfC \amMG^
\jU IHaTA
\ I]R[
CGf]lpClp IRAllQfYMLKlji
IHS`CEAHGpkqZBrpp \TpSCXipROZT
IRWlh \MQWHWSPF
CEPiV[RYV IEjfZgpSeG_SGGSDYV
CZR \QAIlprXiRRR
\TQQG \Qr
\_Dq qCGSLXRSM
CgRSr_EA\MRQ IjCiB\
ISrlQRVRi_C _lTA
C_L^__qc C_L_c
F__UlVZZZZZXQi]lOT CZp
CgRSr_EA\MRQ IjCiB\
BS $
CgKd Hg
\_DqB`IRWF IeH
\QjhI^gREP[rEeRL_ \_fgWL_L_cL_cL_WW
IeQi IhlH_VRqFBMWU
\QoQ\Tp CgREDiP[
CGQUA`D \TpW
\aEWeaCARjhqAE \SGhqI
C_WMS \Tq
IjUAU IeSFeMrllpfEAQQU
\QP \QEeFK]S_E
CGP IHMQ
IHQAQ IAlHQP
CXLRpITTT \QjQACXopT
C_SrgKTTeKT] mCg
IHTpr_L_cL_c`L_cL_cL_cL_BcL \QjhI^gREP[rEeRL
\TiOTU C_
$ \TlQDYV\lhEAp
I ImWhTQ`I
\_fgWL_L \S`C_L_WWWcL
Ihma \TTRVB[f
C_We_`IhU NiQApp
CXmGW _]X
CEXifYQAQD CEXqHo
IHS`CXo \_VA\YZRpR
CG OBB
\QKL C_WBVY_
IHQAlpL`p IjGQ
CXLRpIT CDpTTTTTTTTT
BSC C
C_WeMe IhEAl
$ INGL^GVW\eTQDiRVBFnF
CGfrgK]KTe OCgK
aT \SiM_UXQU
IRP_UXiMffZZZXUmTQHU IHTllOTf]lQU
CXmGWo ICDl
\aC`IN`\aC \cPn`\Q_C
C_L^__q C_L_cL_WWWWcL_cL_WW
QAlp]G]pY C_SS\MRQjR
IhmQPfpiA hX
CGmM IS
C_ \TiOTU
CGOPBV[BUE[ \TQDiQi
CDpT CXLRpn
f IRW
UNVU \QWUQ`CGRVBFZCQQU
C_WU_ \__C
IHQPAIj]ipPYVBHXYVBBQ\ \TpMfYMQAIN`Ij`Ij\AAAAA
Ih \QAQTPF
\aC`IN`\aC \cPn`\Q_C
CGfrX CXkWmkW
afWOfK]l \Mr
\MhU\hIYD CgRWVXi`CD
Z\PfrZ CZR
C_ \TiOTU
CgKd Hg
\YP \TQ
IAlHQP IHQAQ
ITSQPFY C_E`\QW^
IN`\a CGDHFlcjiM
\rRVRqHR \QW
IH_`C fC_S]QPF]RfC
_]Xm CXmGWm
BS $
CG`\ mTa
C_D CgR
\cPn`\Q_C\AA IRAlpWN\AAAA
C_L_cL_WcL ISrallllQFML
CXLRpnT CXLRp
CXLRpnTTTTTTTT CXLRpTTTT
\Tll T
IjUAim Iji
UC C
\MQ` \G_`
C \S`CR
\QAIlprXiRRRR CZ
\QWMEfYa IhU
INirfTAG \M
CgS_L_WcL_cL_W IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL_
\QPfr IeHC
CZ \S`CRZ
\RS IRWo
\SGR \SiWKJ
CX IRAllO
OC C
CgSM`r Z\Pfr
HaagpUgpU CGRVB[fagpUgpU
IN`CEOR IeDBI
I IjipP
C_L_cL_WWWWcL_cL_WWcL C_L^__qcL
\amTpO_DiUTAGrOT`IH_` CG`
C_f[M \_
\YI]aACEY`OC \MLlN`C
IePFSP SWVOB
C_SSC_WEr Ij`\_fWGr
CGP qCGSLXRSM
\_` CGfMQUASUAUAUAUA`
IjCiB\ CgRSr_EA\MRQ
IH_P[flNG U
\QApM ISGZiQ
C_ IHaE^lpfgQfQ
G\L CGffUZZZZ
I CgK]SMoRSCQ
\aC`C $
\MG Snh
\MQ_TA IeVIBU_faUZXQ
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUg CEYfMACG_`UgpUgpUgpUg
\S`CRZpRpT CXLRpTTTTTTTTTTT
I_S CgRS]p
Ih`UgpUgpUgpUgpUgpUgpUgpUgpUgp HaagpUgpUgp
\MGUA\ \Qme
$ \_Uf
\_fgWL_ \S`C_L_WWWc
CX CZpR
\aC`IN`\aC\A \cPn`\Q_C\A
$ U
Z\Pfr CgSM`r
CGm IRWeSGLf
Ie`\jQllQ \QAQ
ISQ ISRWh_NAI]dhTA`IRP
c^ CEeKT
Iji \MLYlRAllp
\_V\lN` BIZ^nLPA
\_` J
IHMh \_eRV
\ \T
ICjO IRAOTRV[
IN\AAAA \afTlpCOTVRqFVeSMo
\QApMV[ ISGZiQV[
\_P[Lf \ama^EWM
CGfrgK]KTe ke
\MrlCTV\Z]Q_ilRjBbh \TlpCQ_E
IShqIkkkEEkkEkEkEkkEEkEkEEk \apfMhqIkkIkp
IhlRPffm_QifU \^
CGf]lpClp IRAllQfYMLKlji
CXmGWmk CXmJG
BIZ^nLPA\ Ij`\
CgS_L_WcL_cL_W IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL_
cHTTGBR IjGQ
\TpfmMLDgpUgpUgpU IH_V\eQWL`U
\ML`Ug \a^Ug
CXRWh \
IeSFeMrllpfEAQQUA IN
kd] IjGLm
IhUX_ IAh
ImWhTQ`I I
CZ \S`CRZ
CgRSr_EA\MRQ IjCiB\
\QApMV[ ISGZiQV[
\_VA\YZ CZ
IHTlpCOTV \bWP_
CgRWMWU`\S\AA \SAA
\Qjh IRWEhTUc
\G_ \MQ
\Tq C_WMS
IjGGeZ \QPA\
$ \_VBHA
CgSloKd C`gPB
\_fgWL_L_ \S`C_L_WWWcL_
CEeRSlQmP[qXqFYg CG`Cg
$ C_WFCEi
_SYSi C_S
\QApMQ`IRWUj \TOTU
IhE Ih
\Sir_SSIRPP CGOPBV[BUE
$ \_Uf
n \QPAIHaCiCOTDqH
CZRR \QAIlprXiRRRR
YI \TpW
g[ \al
C_L^__qcL_WW \S`C_L_WWWcL_cL_cL_WWcL_W
C_SpeSM`Lf IHTpr_L_cL_c`L_cL_cL_cL_BcL_c
IjCiB\ CgRSr_EA\MRQ
G\L CGffUZZZZ
\QjrOTACGUT C_SpcIUA
C_W IHaE^lpfgQfQW
\_RVBFoE nNlR
kj $
\MLTAGQP[CpCpCOTUEjQ QG
KCXmGW \S
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g CGRVB[fag
\QW \rRVRqHR
I_S CgRS]p
\TQfSC_L_W C_L^__q
IHTl IN`IRPRV[BBDi`MGE
ImWhTQ`I \_AI
CG \Q
\afMRoj IRAlpYaEj
\G_ \SiM
$ \QPAINUA`C
C k
$ I
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUg IHML`UgpUg
\a CXRWha
INir IHfTQ`C
PMB C_W^
pO \Mh
a \QAQ`IhCifEPU
IHMGSRV cHTTGBRV[
IN q\\_cQJIj
IRjQ \QEeFK]S_E
\_ffDgpUg \TTRVB[fDg
\U C_We
JMU Ij
\TpJQcZH \QAlOT
\aEWeaCARjhqA IRjhqIEEkE
CEXifYQAQD CEXqHo
CEiAOT k
CG \Q
CgSM` Z\Pf
CDpT CXLRpn
C_L_cL_WWWWcL_cL_WWc C_L^__qc
MRNjLf CGUU
CXRWha \a
C Cg
\T Tl
ICjO[ \MBb
oD \QP_mMh
\MQWHWSPF IRWlh
\aUZX_Ci Cg_Wh_fT
O $
CgRWVXi`CD \MhU\hIYD
ISrallllQFM C_L_WWc
nNlR` \_RVBFoE`
\TQPBA\TlpLoRWVeS YIhW
\T IdIZ`ITl
INGL^GVW\eTQDiRVBFnFC C
XMQCU \MQPBUU
\TOTA G
\_ CBG
CXb CZRp
\ CXRWh
SAN Ij`
IHQPAIj]ipPYVBHXYVBBQ\AAAA \SUA\AAAA
CXmkWoTTTXT CgSM`MDq
\amTpO_DiUTAGrOT`IH_` IhmQP`
Ih IHQWl
CgdKTK]REAI IHQWl
CgS_EUTA`CGUUZZXfYa EIHa
CXRWha \a
\Q IRj
IHaE^lpfgQfQW C_W
CEiAO \QP
Ih IHQWl
\_Ufa a
\Tp $
\_fgWL_L_cL_cL_WWc C_SpeSM`Lf
cHTTGBRV IjGQV
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgp \aEWha`Ugp
CgRS IN\Ai
CGDHFlcjiMUZ IN`\aUZ
IjUAi Q\KLrN
Cg C
IeQir INiYCMhIM
CZlpTTPTT CXilpTT
CEEZGpp \_DqB`IRWFCX
XCXZ IhTA`CXmGWmGWi
CgS_L_WcL_c C_L^__qc
IRPACG` m
\RESSD \QjGF\TQA\S
IN INirfTA
\T IN
UNV CG_falHaUZXQ
IePF^X CGRVRiDqHPMFYXmGSWBmkW
gdi IeUl
CgR C_D
\TpM_leVB[fCiS\Tp \hQW
QN CEAHGqZBoHGHGHGjngqZB
\TpWH \CBSb
IHM IZB
\_fgWL_L_cL_cL_ IHTQQUAGGoL_cL_WcL_WWWW
IeA IHfTQ`
]baEjGQ \QAOT
INir \QWh_afWNiMV\Blj`C
\ mp
CgSloK CKo
Cg IkjLp
I_IR^Q` IHTlpCOTVB
ISprfXLf \TlQUmSiMQiL
IN \amQkijOrpYalHTQQ
\_fgWL_L_cL_cL_WWcL C_L_WcL_cL_WcL_WcL_WWcL
\QWeTl C_WeMe
Cb IjGQV[
m\[_U IHT
CgRS]p I_S
INGL^GVW\eTQDiRVBFnFCZ CZRR
\QWMEfYa INipiWSUUZZZ
IRPACG`C mC
IjGGZrG hml
LZ \Tl
CpR CXLR
KCXmGW IN
k \_PFV
\ CG
\S`C_L_WWWcL \_fgWL_L
HaagpUgpUgpUgpUgpUgp \aCUA
IRAOTRV[ ICjO
IePF^X CGRVRiDqHPMFYXmGSWBmkW
ISQDif CEXYV\SPFUAIeI
I_S CgRS]p
BS $
IHTlpCOTV \bWP_
CGmMB IN`\SGB
ISrlQ`CXmkWip CpRRORap
YGDYVBNBRV[flo ISGeQPQGQ`\QP
i \TOT`
T C_WBUP[COTf]
\aC`C $
_SYSi C_S
\bWP_ IHTlpCOTV
IT]ppXiV\B C_W
\TllOTUC`CXmkWmGWopTT CGRVRiDqHPMFYXmGSWBmkWopTTT
$ G
^ISITA`\MRQWB IR
Ij` BIZ^nLPA
CXkWmkWL CEY
CGV\^ R
\MhBACDpTTTTTTTTT IWaC`MrFMfrDpn
IA I
A\SjEI Ih
CEeREP Rj
\YI]aACEY`OC \MLlN`C
\QjGF\TQA\ V\
\TpagpOpUg \TpfUXPFEL
\M Ij`\_fWGr
CGOPBV[BUE \Sir_SSIRPP
\MLf_ \SiCOTP[
IRj \Q
CGV[\FC I
\afMRo IRAlpYaE
IRAllppApA XNkW
\TOTA G
Ihl GI
CEYffC`\TQ`IHMQffmTQUagpUgpUgpUgp \aagpUKMIbTp
IHTOT QAlp]G]pYQj]
IeQ`I UC_EUQ
C_SWRW W
\S`CZR VJ
C N`\EQmWoW^
CEAHGqZBoHGHGHGjngqZB QN
\__ Ha
\SiCDQDpY IN`\aUZZ
CXLR CD_
fCX\pT CZpRpTTTT
CSQiWW CGPHX
CXLRpnTTTTTT \MhBACDpTT
C_WhQ \SiCTPFUDqFSfWR
\amTpO_DiUTAGrOT`IH_ CG
I_S CgRS]p
CgKe I
C_ IHaE^lpfgQfQ
\cPn`\Q_C\A IN\A
Ie_a HaagpU
\_U`UgpUgph Ie_EP`C_WSP[CpfTA
CgSMfS IeUl
MRNjLfZ INipiWSUUZZ
CZ \_VA\YZ
JC_EDiXm`PCZl CEiWU
\aC`IN`\a \cPn`\Q_
IHM U
afD \_UEA
C_WlSQDi` IeH
CGUC`_ C_E
CEY_XmQADkpr CG`C
ISBbQWW \TpLfL_WWWcL_c
Ij`\afamMGYXiR \fMG^Z
CEiWF n
Ie IEjfZgpSeG_SGGSDY
IjiYamTQ \TlGS\S`D\S`\QPPHXY
\ IeV[\ZrlpLfE_UX_UZRZX_r
IRPACG`C mC
]baEjGQ Ij`\TQA\_
CGffUZZZZ G\L
\TQPBA\TlpLoRWVeS YIhW
\QAIlprXiRRR CZR
CEXqFMSfCiY IAlHQPfY
CEeRSlQmP[qXqFY CG`C
\TQfW aCegI
CGDHFlcjiM IN`\a
CXLRpnTTTTTTTTT CXLRpTTTTTTTT
CG G\LX
\_RVBFoE nNlR
IRAllO CX
IRW ^ISITA`\MRQWBW
\B IhEP_CG
cHTTGBR CGDY
\_RVBFoE nNlR
\lQPhEQqG IRj
\SiCTPFUDqFSfWR C_
\S`C_L_WWWcL_cL_c \_fgWL_L_cL_c
\QA Ie`\jQll
CGRV[\EQAC_L_cL_WcL_cL_c ISrallllQFM
$ IRWFI
CXmGWVi Ie`CZ
F__UlVZZZZZXQi] IhCGr
\S`CX dX`
C_L_cL_Wc ISrallllQFM
CgKdRWoWl \nf_Q
C_SSC_WE Ij`\_fWG
C[Dpl I
MRNjLfZ IhU
\MGZLfL \MOreLL
_lTAG ISrlQRVRi_CG
CBG \_
N`\EQmWoW^E CE
C_L_WWcL_c C_WoL
CgS_EUTA`CGUUZZXfY EIH
C_WBUP[COTf]l Tl
CX IhCGrlO
\S`C_L_WWWcL_cL_cL \_fgWL_L_cL_cL
N`\EQmWoW^ C
GI C_EV\l
INirfTAG C_WZpeREQiYM
CEXqFMSfCi IAlHQPf
CXmGWopT IHMQfrAZpRp
\ IHS`IN`Ie
Tl \T
Ij S
CGUma CGUm_QHIRPI
CGOPBV[BUE \Sir_SSIRPP
INGL^GVW\eTQDiRVBFnFC Ij`C
C_WBUP[COTf] T
CG_DY CD
C_WeaC`C BSC
\QAIlprXiRRRR \TlOT`CZ
$ C
CGUEPPBU IjWfmSGL
r IHS`CGQ`
\MQPBUUZ \_ffB`
C \S`CR
Iji \\EAllFmpCp
\\EAllFmpCp Iji
CGm IRWeSGLf
Ijh CgRWMWU`\S\AAAA
I CGV[\FC
\SGQUf ISBZMPUm
CGD oD
\QAj \aUZX_Ci
C_WYEa[fUZZXV \QAQV
IEjfZgpSeG_SGGSDYV CEPiV[RYV
Ij S
IHTpfEWF\ DP
\afQWSA\ \OrlQiUHm
CGP CXmkWoTTTXT
IHML`UgpUgp HaagpUgpUgp
kj $
\_VB $
oXmL CXmGWmG
$ Iji
CGmM IS
\amQkijOrpYalHTQQGB C_SpO\hMB
CGfLfE_E ILSBbQ
bSrQ IRjQP[
IHTlpCOTVB I_IR^Q`
\alRPP \_eRV
\Qh`TQDqBDYcBHXYV IRjh
\TpLfL_WWWc IPFMLXfWc
IhmSGR CEH
\afSiK \M
\Si]pY__fQW^ ITSQPFY
$ IHMhUcI
J IHTllQ`
CLR CZl
g \TOT`
C_L_WWcL_c C_WoL
\T $
\alSGFCEPqBAIN\A IHQPAIj]ipPYVBHXYVBBQ\
$ BS
JMU Ij
\aT IeSFeMrllpfEAQQU
\iabWE \aEAOT_fM
\QjQ`\_A\afQWeTp \S`I^SGJmG
CDpTTT CXLRpnTT
V\QPUUXQrZl CEiWUf
\_RVBFoE nNlR
Ie_EP`C_WSP[CpfT \GUP
Cn C_WU`C
HaagpUgp \_QUA`\QP_`
XMQC Ih
\QPim IeQGrQA\
\jU INUA
IhlRjrOT`CZp OCXL
\_`CMRi \TlpY_`IHQP
CGPHX CSQiWW
CgRWMWU`\S IeVIBU_faUZXQ
k C
\QWVAp CT
I Ik
UC_EUQ I
O $
N`\EQmWoW^E CE
CDp CXLRpITT
\_`Iji]Q \TlcOT
CX OCX
\TTRVB[f \QAllQRV[\S_
\amTpO_DiUTAGrOT`IH_`C CG`C
\_Uf $
IHTlpCOTV \bWP_
\TpS nR\M`GZl
\TpMA\QAl IN
\_fS\aag HaagpUgpUg
\M INirfTAG
Ij`CgK] IBMRQABpVDifrg
^ISITA`\MRQWBW C_W
IHQAQfYMB Z\PfrZR
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
Z CXiRRR
G $
IRPACG`C mC
Ij`CX \BMLC`INiroX
CSEOeMGSC \QW^
Ph CEijr
\Y IjGQUE
\QjGF\TQA\ V\
^ISITA`\MRQWBW C_W
afWOfK]l IRAppijGZMQiC
CG \
ISQf CGTCrXTYV\Z
CGffUZZZZ G\L
IRPfrZl \S`CRZpR
IePB_fTQfC afD
Uh IHMh
$ CgK
IeH C_WlSQDi`
\QoQ\Tp CgREDiP[
\aEWha`UgpUg HaagpUgpUg
I ImWhTQ`I
\MGYGRV[Ri ISBZMPUmQP
\a IhE
CXmGWi ITSQPFYZ
\amQApMRVBDY CXmGWmGW
C_WoL C_L_WWcL_c
$ \_Uf
\_RVBFoE nNlR
IS \m
C_We f
C_WBVY_ \QKL
CZp Cp
IRj \Q
CE ]baEjGQQ\
GI \TOTAI
IhlH_VRqFBMWU IeQi
[eS \MLf_
CXmGW CXmGWV
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\ \aD
IHaE^lpfgQfQ C_
C_SSC_WErQ \_\_T
$ \_Uf
\MLlN` \YI]aACEY`O
IN\ IjUAGrA
\QA IN
\QPAINUA`C $
HaagpUgp \MrlQDiVB[]pYSGLagp
\QApMQ`IRWUj Ie_EP`C_WSP[Cpf
C_WeMe \QWeTl
Ij`\afamMGYXi \QAIlprXiRRRR
CGOPBV[BUE \Sir_SSIRPP
Ij`\afamMGYXiR \fMG^Z
\_ G[Q\
_lTA ISrlQRVRi_C
ISrlQRVRi_C _lTA
IHM U
IAh Ih
UCX^ CgKTeREUfQPRV\eS`CX
\_fgWL_L_cL_cL_ C_L_WW
CZ \QAIlprXiRR
ISprfXLf \TlQUmSiMQiL
Z\Pf CgSM`
CGf]lpClpCp CGTCrXTYV\ZL
r \alS
\\EAllFmpCp Iji
Ij` BIZ^nLPA
CpR IePF^Xo
\_Q\ \SA
IN`\aU CGDHFlcjiMU
UIV I
Zl ISGMW^ZpR
$ \_VB
IT]ppXiV\ CgRW
\amTpO_DiUTAGrOT`IH_ IhmQP
\_fgWL_L_cL_cL_ C_L_WW
\TpLfWZY_ IRW
\Y IjGQUE
CXiRRlp \
CG_DY \QjQACXo
\_fgWL_L_cL_cL_ C_L_WW
C_EQ`C PMB
\QjGF\TQA V
\MGVP IEjfZgpSeG_SGGSD
Ij IeQ`IjF
cHTTGBR CGDY
CEeKT HgK
ISrallllQFML C_L_WWcL
\SUAG \lQPhEQqG
CGDHFlcjiMUZ IN`\aUZ
CXLRpnTT CDpTTT
CEXqFMSfCi IAlHQPf
\_fgWL_L_cL_cL_WWcL C_L_WWWWcL
CXmGWm _]Xm
IjGLmSUA`CG k
\TOTAI GI
CG`CG CXT
IjGGeZ \QPA\
nNlR`\ IjGrpY
\_` J
IeQi IhlH_VRqFBMWU
C_SSC_WE Ij`\_fWG
\BBl \_ffDgpUgpUgpUgpU
\S`CX dX`
CXRWh \
IRP \\
\TpM_leVB[fCiS\Tp \hQW
\hQW \TpM_leVB[fCiS\Tp
CGP CXmkWoTTTXT
CEe Hg
\MRQA UK
IRAllQfYMLKlji CGf]lpClp
CgRWVXi`C \MhU\hIY
CZRPRR IN`\amQWYZR
ICDlpT CGV[\FCEP
G \TOTA
\S`CRZ CZ
\QKLTA \alN
CLRpTTTTT CZpRp
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g \aDg
l C_WlSQDi`CX
IjGQ cHTTGBR
C_EPHPi_maTAUA \TOTDqYhMrllpS\lafg
C_WMS \Tq
C_WYEa[fUZZX \QAQ
IeQGrQA\S \QPimS
CXRWha \a
\QPQUA \QKLTA
\hQWM IeUm_VRiRV[RiA\TlOT
\_V\lN` BIZ^nLPA
CGDHFlcjiMU IN`\aU
\TQ^cV IRAQ`\_RV
I\ \TpW
CXL Cp
q CgK
\TpM_leVB[fCiS\Tp \hQW
P CEAjJpLn
C k
IjUAirG Ce
CgSM`r \fMG^
INGL^GVW\eTQDiRVBFnF Ij`
\QWYXLRpT CLRpTT
fC_S]QPF]Rf IH_`
IHTpr_L_cL_c`L_cL_cL_cL_B C_L_cL_cL_
I IShIY
C_L_WcL_cL_WcL_W \_fgWL_L_cL_
\TT IHMLmT
\a CXRWha
IEjfZgpSeG_SGGSDY CEPiV[RY
\_` \_ABP`
\_RVBFoE` nNlR`
IeQGrQA\ \QPim
\cPn`\Q_C\ IN\AA
IHQPAIj]ipPYVBHXYVBBQ \SUA
IhC IjU
N`\EQmWoW^Ee Cg
\Q IRj
C_WlSQDi`CX T
E]i CEApk
$ IeUl
IeUl gdi
\S` IpiS
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\ CGRVB[fa
W C_SWRW
\TlQUmSiMQiL ISprfXLf
IeJ \aUX_EjQPFUP[]OT
CgSloK CKo
\S`CRZp CZp
