30382
DABD ECDB
DEC DCABDBADACCDAB
DCCCB DABBE
DE DBBDABBBDDADABCEB
BCCCABEDCBA CDEECC
EE EB
EEBE AAE
AEB DAEC
CDBDDABDECCA BCDECAACAAAC
C $
ABEBDCCE DADCDACBACA
DAEDADCE BDCDB
BD DABDDBAC
BDACD BDCDBDDA
BDDECE EEBEDC
DBBAD EC
DABBEDAEBCABBEDEBBADDADBBDADA DDBAC
DCEECADAD DADDAAEEADCBDAEEDAEAEDDCBCDADBDA
BBDA CDEA
CDCBD $
DABDDBAC BD
EDBDDCD CDBBDBDBD
BDECAAAAC EDECAA
DBDECEB BCCDAAAED
DABBEDAEBCABBEDEBBADDADBBDADAAC DDBACAC
BCCDAA DBCDEBCEEBAEDDCBCEADCCBED
CDECB DECB
CDBE CDC
DDADCCBCAEBACBE DBBBDCDBACACD
DBADECBDCDE CDB
ACADADAAA DECAC
CA BD
CDCEAB DAC
BDCDBDDAEC EDEB
EEADA EAEDCCCAEDCCAEDAE
BCDAADEDAEDCC AAEDCAEDCC
CCB E
EEADA EAEDCCCAEDCCAEDAE
DECDBECC D
CDECB DECB
DADDCEDDB CABDBEBCBACDBBACACEED
CDECB DECB
EAC BDECAAAAC
DCDCCBDBADCACDAECCDBB DCCBEBECDBECD
CDEBCDCB AEDAE
DCDC DCABAADCDDCCDDCCCCCBBCADCB
ACCABAACACA CDBDDABDECC
CDEEEBDC BDBDE
CDBBC BDBCDCDECEB
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
DCDADCCBA E
$ D
DBB AADA
EB DBC
DABDDBAC BD
BDECAA AEACCABECAD
DCCBEBEEEBEEA $
CCD CDBDDCDEACACACCACCACCACCACCACCACCAC
DABEDBA DCCBEDDCDDCCDDCBCBDDE
DEDBCDA E
BDDBDACDBDDCDBCACAEBA DBBBCECABDDADCEBADA
DABBDEC EDBDDCD
AAEDCAED BCDAADEDAED
EAEDCCCC EBDDEB
BCC DDBBABE
DABBDE ACB
D DECDBECC
E AED
CDBBDACCCCA EDC
DBBA CCCCADCB
BDBCDCDECEB CDBBC
AEAAEDCAE BBEBD
CDECCEEE BBD
DCCCBC DABBEC
DD DDAA
CABDBEBCBACDBBACACEEDDBDBDBD AAEDCAEDCCCCCAE
ADECCAABE CDBCDABEAEAEAE
CABDBEBCBACDBBACACEEDD CDBBCDDDCEDDBD
DBBBCECABDDADCEBAD BDDBDACDBDDCDBCACAEB
CDCB DCDCBA
CDEBCDCBBDC CDCB
DCADD DDCDEB
AAEDCAE BCDAADEDAE
DEC EC
$ DBBECDDCEB
DECACA EAC
D DABB
ACADADA DDACCABBDCCDD
CDECCEEE BBD
BD DABDDBAC
DBDCAEBCAECDABBDBABADCCAC DABEBECD
DABBDE ACB
BCBD DADDCEDDBDBDB
DECD CDE
B DAEDADCCCDDACCCCCBEBCACBDABB
AAEDCAE BCDAADEDAE
DDDACABBDBCDBBD ABEBDCCE
EACDCC DABDDBACDAB
DABDDCD CDEAB
EDB DBAED
$ CDCBD
DD BDAC
BCDEB DBDBEBCACAD
CDEAB DDBBBAEBAACACCACCACCACDAC
DADDAAEEADCBDAEEDAEAEDDCBCDADBDA DCEECADAD
CED CDCBDBECDCCAEECCBEBE
AEDB BCDAB
BBDECE ACCABCADA
EDECAA BDECAAAAC
CDE DBDECEB
BCA DDBEBBCEEACD
BCCDAAA DBCDEBCEEBAEDDCBCEADCCBEDA
CB BCCD
AAAA ACCABCAD
CDEBCDABEAEAEAEAEAEAEA ADECCAAB
B $
AAEDCAED BCDAADEDAED
CDEEC CC
DDCC DABBEDAEBCABBEDEBBADDADBBDADAAC
DECA CDEBACDABCDCEEEBEEA
DABDECDAECACBECABED $
CDBBDBDB CDEC
ABAE EACCCAE
EDECA EEAC
BEEACAAABCAE BDECCADAACAAAC
D DABB
CDECB DECB
BD DABDDBAC
$ ACECDE
C CDEE
BBDDACBD DABDD
CDBEAED EBDDEB
B CDECBDADAADA
DABEBECDA DAEDADCED
BEEACAAABCAEA BDECCADAACAAACA
ADA AEACC
EACCCAE ABAE
$ BDC
BB DAEDADCCCDDACCCCCBEBCACBDABBB
ACCABA ACADADAAAA
BBEBDD E
D ACCCCCC
CDB CDECBD
BDECCCCABCAACCAAEAB DEBDCCD
BEEACAAABCAE BDECCADAACAAAC
ECC D
BE CDBEAEDC
BDBDBEC BCCDAE
ADECCAAB CDCCEABEAEAEAEA
BCCDA CDABEA
DAE DCCBBABEEBCD
DABEBECD DBDCAEBCAECDABBDBABADCCAC
D ACCCCCC
EACCCA ECCAAAEDAEDA
DABDECDAECACBECAB DECBEDCDDBDAE
DE E
BCC DDBBABE
BDDBDACDBDDCDBCACAEBA DBBBCECABDDADCEBADA
BDCD E
E DABEDBEBEDBADCDDACBAB
DABBEDAEBCABBEDEBBADDADBBDADA DDBAC
BBDAB CDBCDABEAEAEAEA
CDCCCBBDBD DDE
CDEE C
ACAACA AAAA
CDECBDADAA DCCBEE
BCDAADEDAED AAEDCAED
DABBEDAEBCABBEDEBBADDADBBDADAACACC DADCC
DABEDBAC DCDADCCBAE
DBBBCECABDDADCEBAD BDDBDACDBDDCDBCACAEB
DCADDCCBAADACBCE EBD
DBCDEBCEEBAEDDCBCEADCCBEDAE BCDDCE
DDCDEB DCADD
CDC BD
BDCDE CDB
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
DDBAC DABBEDAEBCABBEDEBBADDADBBDADA
DABBE DE
DEDBCD CDEBCDCB
AA EEB
ABCCCD BCDECAACAA
CDCB DCDECCD
EDEC DDACCABBDCCDDA
ACAACAAACACA BDBDBE
BEEACAAABCAEA BDECCADAACAAACA
DDAA DD
DCCBEDDCDDCCDDCBCBDDE DECCDCEBCDECBDDADACDD
CAAA DDECEAEDC
DCCBECDDCADDDD BD
DADABDEC DBEEBEDCEB
DABBEDAEBCABBEDEBBADDADBBDADAACAC DADC
AAE DECDCDECBCC
E DCDADCCBA
DCDECDDACBC DCDCCBDBADCACDAECC
DABBE DCCCB
DDB AA
BBB DBECCDBBDDCA
ADA AEACC
DEBDCC BDEBBEDCAE
CDDD DBBBAED
ADEBBE DDBA
C DCDADACCB
DEA BDCDBDDAE
BCA DDBEBBCEEACD
ECAAAACAE ACCABAACA
CDC BD
BBDA CDEA
DDC ACCA
CDBDDCDEACACACCACCACCACCACCACCACCA BDCCADDDCC
DCCAEEB E
DCADD BDBCDDADBBDADAACACCACEBA
ADECCAABE CDCCABEAE
ECAAAACAE CDEBACAA
ECCAAAEDAEDA EACCCA
BDACD BDCDBDDA
C DCDADACCB
ADECCAABEAEA DBDC
DDB AA
BBD BCCD
ECDB DABD
ABCCCD BDECCADAACAAACAC
BD BDB
$ BDBDDBDDCDBD
DECDBECC EAEADAEDAE
DCDECDDACB DCDCCBDBADCACDAEC
C CDEE
CDDE DECCDBDCCB
DECB DCABDBADACCDABB
CDBC CDCEBCDE
DDBA DCEECADADD
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
CDEBDCABADCBBDADAAACCBDCD CDCBDBECDCCAEECCBE
DCCBEBEEEBEEA $
EB EACCC
B $
DABB DDBBABED
DDCCACEBABADBD DE
BDA EDDEBAEDCAED
AAEDCAEDCC BCDAADEDAEDCC
C CABDBEBCBACDBBACACEEDDB
BDDC CDBBDACCCCAA
DADCCACCACCACC DABBEDAEBCABBEDEBBADDADBBDADAACACC
DCDADCCBA BA
DD DDAA
BEEACAAABCAE BDECCADAACAAAC
CDCBE BCED
BDDA DECDCDECBCCC
DDCCACEBABADBD DE
DABBEDBADCBEBECDDAAEBBBDAECDAEC DDAABBEBB
C $
BCDAADED AAEDC
BCDAADEDAE AAEDCAE
AAEDC EEADAD
ADECCAABE CDCCEABEAEAEAEAE
BCDAADEDAEDC AAEDCAEDC
CDECBDADAA DCCBEE
DEBDC BCCD
BDECAA AEACCABECAD
DECDBECCD BDDADCBCA
EBDDEBC EAEDCCCCC
DDAABBEBB DABBEDBADCBEBECDDAAEBBBDAECDAEC
CABDCEDBCE DCDBCA
DABDDCD CDEAB
DA BDECCADAACAAACACA
DEDB BC
CDECBDADAA DCCBEE
EBAEDAE EACCCAE
CDB CABAAACCEC
BCCDA CCEBEAA
ABCCCDA BDECCADAACAAACACA
CBCEDDABBECCBADBBADD BDBDDBDDCDBD
ADECCAAB CDEBCDABEAEAEAEAEAEAEA
ACADADA DDACCABBDCCDD
DDACCABBDCCDD ACADADA
$ C
EEADA EAEDCCCAEDCCAEDAE
ACCABAACACAAA BBDDACBDB
ACCABAAAAA BEEACAAABCAEACACAC
AA DDB
BDDBECCDB DACD
DCADDCCBAADACBC $
BDACDE DDCCACEBABADBDA
CDCE CDA
DAEDADCE BDCDB
EEACCCAAAE DEEE
BDDBDACDBDDCDBCACAEBA DBBBCECABDDADCEBADA
DBECCDBEEAEABAED CCEBEAAEA
BCA DBDBACD
AB DBBA
E BDCD
EEB AA
CDBBCC BDBCDCDECEBC
BCDEA EACCCA
BEEACAAABCAE BDECCADAACAAAC
DEBC CDEEEB
DCCBEBEEEBEEAD DCCBECDDCADDDD
DABEDBAC DADABDEC
CDCCABEAEAEAEA ADECCAAB
BDBCDCDECEBCD CDBBCCD
DABDDBAC BD
CDEA BBDA
BD CDC
E CCB
EBED BDAC
EEADADA DABDECAAEDA
$ CDEBCDABEAEAEAEAEAEAEAEA
DCDECCD CDCB
DCABDBADACCDAB DEC
$ D
CC BDBDCD
BDDADCBCACA EAB
DECBEDCDDBDAE DABDECDAECACBECAB
DDBBABE BCC
DEC CDEC
CDCEA CBCD
CDEBACDABCDCEEEBEE DEC
DBBAEC ABEC
DE DCCBEBEEEBEEA
DABBDE ACB
A CDBBCDDDCEDDBDBDB
AADAA DBBA
DCADDCCBAADACBC DDAAB
DBBA AB
BCDAADEDAEDC AAEDCAEDC
DEBC CDEEEB
DDBBABE BCC
DDC DABBEDAEBCABBEDEBBADDADBBDADAA
DDCDEB DCADD
DABBEDAEBCABBEDEBBADDADBBDADAA DDC
EAEDCCCAEDCCAEDAE EEADA
CDBBDBDBD EAC
DEC AD
EEADA EAEDCCCAEDCCAEDAE
BDECAAA AEACCABECADA
DCCADD DECEBADBC
DEBCEC DCDBCABCDAE
EEA ACAACAAACACAC
ACAAC ECAAAACAEC
BC DEDB
ECCADC EEBEDCAE
CDEA BBDA
DCCBBABEEBCD DAE
DBA CDEBDCABADCBBDADAAACCBDCDB
DAEC AEB
DE DABBE
AAEDC BCDDCED
DBECAE BDBDBDEC
DDB AA
CBE CD
$ DBBECDDCEB
BDECAA AEACCABECAD
CC CDE
BCAA CDBB
DABBEDAEBCABBEDEBBADDADBBDADAACA DAD
BDDBDACDBDDCDBCACAEBAACA DBBBCECABDDADCEBADAACA
CDEBACAAC ECAAAA
DCDCCBDBADCACDAECC DCDECDDACBC
DDB DDAAB
DAEDADCCCDDACCCCCBEBCACBDAB $
DECBEDCDDBDAEE DABEDBEDDCCCB
DBECAEA CBAA
$ CA
DBBCABDAECBBCCABECDAEE $
ACECDE $
DABBBEBEC DAAEDBBBEAC
DCCBEBEEEBEEAD DED
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
BCCD DEBDC
$ BDC
BCDA AED
DCCADD DECEBADBC
AAEDCAEDC BCDAADEDAEDC
CABDBEBCBACDBBACACEEDDB DADDCEDDBDB
DDB AA
D DABB
DBDECE D
ACAACAAACACA ECD
DDAABBEBB DECDCDECBCC
ADECCAAB CDCCEABEAEAEAEA
$ BDC
DDBBBAEBAACACCACCACCACDAC CDEAB
EACDC DB
DDB AA
CBCEDDABBECCBADBBAD DDCDEB
DAB DDBAC
DCABDBADACCDABBD EB
BC DEDB
DADCDACBACA ABEBDCCE
DCDADCCB B
EED CDBB
CABDBEBCBACDBBACACEEDDBD DADDCEDDBDBD
DADDAAEEADCBDAEEDAEAEDDCBCDADBDA DCEECADAD
BCDAADEDAEDCCC DDECEAED
DEC AD
EE ACCABAA
DABBEDBADCBEBECDDAAEBBBDAECDAECC AE
DAEDADCCCDDACCCCCBEBCACBDABB B
DCABDBADACCDAB DEC
DBEEBEDCE BCDA
DBD DA
EAB ACAACAAACACA
BCCD CCEBEA
CC CDEEC
ACADADA DDACCABBDCCDD
EBDDEB EEAAEDCC
CDEBCDCBA AEAED
CED BDBCDCDECEBCD
CABDBEBCBACDBBACACEEDD CDBBCDDDCEDDBD
DDCCACEBABADBDA DB
D DBDBEBCAC
BDDECE BE
DABBABC DECDBECC
CDBE CDECBDAEE
CDCCEABEAEAEAEA ADECCAAB
DBBA AB
BDECCADAACAAACA BEEACAAABCAEA
CABDBEBCBACDBBACACEEDDB C
AADAA DBBA
$ DBEEBEDC
BDC $
DED DCCBEBEEEBEEAD
AAEDCAEDCCCC EEBED
CD BDBDBECA
BB DAEDADCCCDDACCCCCBEBCACBDABBB
BCDAADEDA AAEDCA
DAECA AEBA
AABBB CDECD
BCDAADEDAEDCCC DDECEAED
CDBBCCD CDEBCDEC
DABBEDAEBCABBEDEBBADDADBBDADAAC DDBACAC
BDD CDBE
ACADADAA DDACCABBDCCDDA
CDBDDCDEACACACCACCACCACCACCACCACCAC BBB
D CD
DABBEDAEBCABBEDEBBADDADBBDADAAC DDCC
ACAE DABBDEC
EEADADA DBECCDBEEAEABA
CDC BD
CDBBDBDB CDEC
CCEBEAA BCCDA
CDBCDABEAEAEAE ADECCAABE
DDBACACACC DBBBCECABDDADCEBADAAC
CDCE CDA
AAEDCAED BCDAADEDAED
DECBEDCDDBDAE DABDECDAECACBECAB
AB DBBA
BCAA DBDBACDA
BDBE ABAEDC
DDBACACACCA DA
EBDDEB EEAAEDCC
ECDB DABD
DCCAEEBBDE DEACE
ACCA CC
$ BDB
EBAEDAEDCA ADAEDA
BCC DDBBABE
D CD
BDEB DABDDB
DDBEBBCEEACDA BCAA
BDCDB DAEDADCE
DDDB CDCCCBBDBD
DCDECCD CDCB
ACCA CC
CDCCCBBDBD ABEBDCCEC
DDACCABBDCCDD ACADADA
CDBDDABDECC ACAACA
CDBBDACCCCA ACACCAAACACACAAAC
EEADA EAEDCCCAEDCCAEDAE
DDBAC DABBEDAEBCABBEDEBBADDADBBDADA
BDECCADAACAAACACA DA
DCDCCBDBADCACDAEC DCDECDDACB
DECEBADBC DCCADD
C $
DA DBBBDCDBACACD
DDAA DD
BDB $
CDDD CDCBE
BCDAADEDAEDCCC AAEDCAEDCCC
DDAA DD
DE DABBE
CDECBDAE CDB
DECDBECC EBE
DDC DECDE
DABEBECD DBDCAEBCAECDABBDBABADCCAC
DAEDADCE BDCDB
DBBDABBBDDADABCEB DE
$ C
DECB CDECB
EEADADAE DBECCDBEEAEABAE
DABBEDBADCBEBECDDAAEBBBDAECDAEC AAE
DAEDADCCCDDACCCCCBEBCACBDAB $
$ BDACCBA
CDBBCDDDCEDDBDBDB BCBD
DABEDBEDDCCCB DECBEDCDDBDAEE
EEAAEDCCCCC ECB
DEDB BC
DCADDCCBAADACBCE DBAEEBADC
CDEE C
D DECDBBABEEEDD
E BDECAAA
$ BA
DECDBEC DABBAB
DECCDBDCCB CDDE
$ DBB
DCDB EACDC
CD BDBCDCDECEBC
BB DAEDADCCCDDACCCCCBEBCACBDABBB
DDBBABED CDCBDC
EAB ECCABAA
DABDDCD CDEAB
DABDD BCDE
DADDAAEEADCBDAEEDAEAEDDCBCDADBDA DCEECADAD
AAEDCAEDC BCDAADEDAEDC
DCDADCC $
BDECAAA AEACCABECADA
CDEEEB DEBC
DEC DCABDBADACCDAB
DDC DABBEDAEBCABBEDEBBADDADBBDADAA
DABDECAAE EEADA
CABDBEBCBACDBBACACEEDDBD DADDCEDDBDBD
CDB CDECBDAE
DDBACA DABBEDAEBCABBEDEBBADDADBBDADAA
DDAABBEBB DABBEDBADCBEBECDDAAEBBBDAECDAEC
DABEDBEDDCCCB DECBEDCDDBDAEE
DBAEDABDBDADCDDAC DCCBECDDCADD
DABEDBEDDCCCBD $
CD BDBCDCDECEBC
B DAEDADCCCDDACCCCCBEBCACBDABB
DEBDC BCCD
C CDEE
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
EEAAEDCCC EBDDEBC
B $
CBE CD
DECCDBDCCB CDDE
DBBBCECABDDADCEBADAA BDDBDACDBDDCDBCACAEBAA
BCCDCDC CDBC
DCDCCBDBADCACDAECCD DCDECDDACBCD
ADECCAABEA CDCCEABEAEAEAEAEA
EEBE AAE
BCDDAE AD
EDECA DECAC
C DEBBAEEBAEDBADCCBBABCCADDDAACCCCD
AEAAEDCA BC
DECDBEC DABBAB
BDECCADAACAAAC BEEACAAABCAE
DCDADCCBA BA
CDEEEB DEBC
DBBBCECABDDADCEBADA BDDBDACDBDDCDBCACAEBA
ACBDD AAEDCA
DABBEDAEBCABBEDEBBADDADBBDADAACA DDCCA
AAEC DABDDBACDA
BB DAEDADCCCDDACCCCCBEBCACBDABBB
DCDECDDACBC DCDCCBDBADCACDAECC
DBA CDEBDCABADCBBDADAAACCBDCDB
ACAAAACEAAEACACCACA DBBECE
BEEACAAABCAEACA BDECCADAACAAACACA
DADCDACBACAC ABEBDCCEC
BDECCADAACAAACACAC AEAEACAACAAACACC
CABDBEBCBACDBBACACEEDDBD CDBBCDDDCEDDBDBD
ECAAAACAEC ACCABAACAC
CDBBCDDDCEDDB CABDBEBCBACDBBACACEED
DDAABBEBB DABBEDBADCBEBECDDAAEBBBDAECDAEC
CDEAB BBDAB
BBDA CDECCEEEA
CDCB DCDCBA
DABBEDAEBCABBEDEBBADDADBBDADA DDBAC
EDEDAAEDCAEDC BDAC
C BDDDB
AADA DBB
BDDBDACDBDDCDBCACAEBA DBBBCECABDDADCEBADA
DBDBACDAD DAC
DABD BBDDACB
B AEAAEDCA
CDBEE BDDE
DE DDCCACEBABADBD
CDBCDABEAEAEAEAE CDCBECAEAEE
DABEDBEDDCCCB DECBEDCDDBDAEE
DBBBCECABDDADCEBAD BDDBDACDBDDCDBCACAEB
CDDE DECCDBDCCB
DEBDC BCCD
BDECCADAACAAACA BEEACAAABCAEA
E DE
BC A
DABBAB DECDBEC
DDAABBEBB DECDCDECBCC
CDBD BCBDD
DEDB BC
CAD BCCDA
CDCEBCDE CED
DDAA DD
DABBEDAEBCABBEDEBBADDADBBDADAACA DAD
DBDBACDA BCAA
EEB AA
EEB CDCCBDECDBABBBDECE
BCCDA CDABEA
DAB C
DE DDCCACEBABADBD
BDB BD
CDABEAEAEAEAEAA CDEABE
DADDCEDDBDBDB BCBD
$ C
BC DEDB
DAEDADCED BDCDBD
AAEDCA BCDAADEDA
CDEBDCABADCBBDADAAACCBDCD CDCBDBECDCCAEECCBE
CDBE CDC
BDECAA AEACCABECAD
ADECCAABE BDCDABEAEAEAEAE
DADABDE DECCDCEBCDECBDDADACDD
AA DDB
CDBBCDDDCEDDBDBD CABDBEBCBACDBBACACEEDDBD
DABBEDAEBCABBEDEBBADDADBBDADAAC DDBACAC
BBB DCCBBABEEBCDE
$ C
DECB BA
DDECEAED BCDAADEDAEDCCC
DEC DCABDBADACCDAB
DABEBECD DBDCAEBCAECDABBDBABADCCAC
DABBEDAEBCABBEDEBBADDADBBDADAA DDBACA
BDDEC CD
CDE CC
DEC EC
$ DAEDADCCCDDACCCCCBEBCACBDAB
CDABE BCCD
CDEBCDE CCDCAC
DAB C
BCCDA CCEBEAA
ACECDE $
DABBEDAEBCABBEDEBBADDADBBDADAACACC DADCCACCACCACC
CDEBCDCBBDC CDCB
CDEBCDABEAEAEAEAEAEAEAEA CDCBECAEAE
ACAACA ECAAAAA
DDCDA DBCDEBCEEBAEDDCBCEADCCBEDAE
EDECA DECAC
BE DDECEAEDCC
DBB AADA
EBAEDC EDDEBAEDCAED
AEACCABECAD BDECAA
C DCDADACCB
CDECBDBC DABBECC
DADDAAEEADCBDAEEDAEAEDDCBCDADBDA DCEECADAD
BDD BDA
AAEDCAEDCC BCDAADEDAEDCC
DABDECDAECACBECAB DECBEDCDDBDAE
DABEBECD DBDCAEBCAECDABBDBABADCCAC
EBAEDAE EACCCAE
AAEDCAED BCDAADEDAED
DCDCCBDBADCACDAEC DCDECDDACB
DAEDADCE BDCDB
BDBDCDC DDCBACAB
AEAC DAD
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
CCCCADCB DBBA
DABBDE EA
$ BDB
DADCDACBACA ABEBDCCE
DCCBEBECDBEC DAEDADCED
DECBEDCDDBDAE DABDECDAECACBECAB
DADDCEDDBDBDB BCBD
CAECCCBCDAE DAEDBBECCDCCCBA
BDBDDBDDCDB DCADD
DCCADD DECEBADBC
DDDAC DCCABE
CDEBDCABADCBBDADAAACCBDCDB CDCEBCD
EEBED DDECEAEDC
DABBBEBE DAAEDBBBEA
BDBD BCDDAE
BC DEDB
DDC DABBEDAEBCABBEDEBBADDADBBDADAA
CDEC A
B DCDADCCB
C $
DADDCEDDBDB CABDBEBCBACDBBACACEEDDB
AA EEB
BEEACAAABCAEAC BCDECAACAA
BCCDAA DBCDEBCEEBAEDDCBCEADCCBED
$ C
DEBBAEEBAEDBADCCBBABCCADDDAACCCCD C
ACAACAAACACA BDBDBE
ACADADAAAA BDECAAAAC
BDB $
DBDCAEBCAECDABBDBABADCCACA DABEBECDA
ABEBDCCE DCDBDADD
DBAEEBAD BDCDBDDAE
DBBBCECABDDADCEBADA BDDBDACDBDDCDBCACAEBA
DABDDBACD BDD
DDCDA DBCDEBCEEBAEDDCBCEADCCBEDAE
BCDAADEDA AAEDCA
DDCCACEBABADBD DE
DEBDC BCCD
D CDCEA
A DBBA
DABEDBEDDCCCBD DADEB
DABBEDAEBCABBEDEBBADDADBBDADAAC DDBACAC
$ DAEDADCCCDDACCCCCBEBCACBDAB
CDBBCDDDCEDDBD CABDBEBCBACDBBACACEEDD
DEC DBBDABBBDDADABCEBC
DECDBBABEEE DCCBECDDCADD
DDE DCDBDADDC
BCDD DA
DDDAC DCCABE
EACCCAED CDBEAEDCC
DE DBBDABBBDDADABCEB
DCDCBA CDCB
DADDCEDDBDBD CABDBEBCBACDBBACACEEDDBD
CDBBDACCCCA BDDADCBC
BDBD AEA
DCCBEE CDECBDADAA
BCDAADEDA AAEDCA
D BDECCADAACAAACAC
AAA DDBA
DABB D
BCDAADEDAED AAEDCAED
ADECCAABE CDEBCDABEAEAEAEAEAEAEAE
DCCABE EDDCBCECDBBDABACB
ACCABAACACAA DAC
C DABBBEBE
C DCDADACCB
CC DABBBEBEC
CDBBCDDDCEDDB CABDBEBCBACDBBACACEED
CDBBDBDB EDBDDC
CDEC A
DDCDEB CBCEDDABBECCBADBBAD
DABBEDAEBCABBEDEBBADDADBBDADA DDBAC
DBDCAEBCAECDABBDBABADCCACAD DABEDBEBEDBADCDDACBABBD
DA DBECAE
C CDEE
BDECCADAACAAAC BEEACAAABCAE
BCDD DDADCCBCAEBACBE
DCCBEE CDECBDADAA
BDECAA AEACCABECAD
CDCB CDEBCDCBBDC
DADDCEDDBDBD CABDBEBCBACDBBACACEEDDBD
EDADC ACAAAAAAC
DCACBEAB DCCABE
DCABDBADACCDABBD DAECA
DDBEBBCEEACDA BCAA
DCADACACACCAAE CDEBCDABEAEAEAEAEAEAEAEAEA
DECCDCEBCDECBDDADACDD DADABDE
BCDAADEDAEDC AAEDCAEDC
DCDECDDACB DCDCCBDBADCACDAEC
CDBE CDC
BDD CDBE
CCDCACC DBBBAE
DCCBECDDCADD DECDBBABEEE
DDBEBBCEEACD BCA
AAE EEBE
$ BDC
BDBDBEC CDEBBCD
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
DECB CDECB
D DBDECE
CDECBDADAAD DCCBEED
CDABEA BCCDA
CABDBEBCBACDBBACACEEDDB CDBBCDDDCEDDBDB
ADBE DABDECAAEDA
DABBEDAEBCABBEDEBBADDADBBDADAAC DDBACAC
ECDBD DCDADACCBA
CB DABDD
CDE CC
DCACBEAB DCCABE
BCC DDBBABE
AD DEC
CBE CD
CA DABDD
DABBBEBEC DAAEDBBBEAC
DCDBCABCDAEC CDECBCCBBA
DAEDAECCDAB DABEDBEDDCCCBD
BCC DAEDBBECCDCCCBA
ACECDEE E
DABBDE ACB
BEEACAAABCAEA BDECCADAACAAACA
DABEBECDA DBDCAEBCAECDABBDBABADCCACA
DADABDEC DCABDBADACCDABBD
DBDBEBCACA DDE
DABBEDAEBCABBEDEBBADDADBBDADAACA DDBACACA
BDD DABDDBACD
BDDAB DBC
DAE CABDBEBCBACDBBACACEEDDBD
DCDECDDACBC DCDCCBDBADCACDAECC
CDEBDCABADCBBDADAAACCBDCDB CDCBDBECDCCAEECCBEB
BCCD DEBDC
DABBEDBADCBEBECDDAAEBBBDAECDAECC DDAABBEBBC
BDDADCBCA EBAEDCC
DBECAE CBA
CDA CDCE
BCC BB
BDECAAA AEACCABECADA
CD D
DBBAD CDD
ACCA DDC
DECD CDE
BDECCADAACAAACACA DA
EBDDEB CDBEAED
ACAACAA EDDCAAAA
AAEDCAED BCDAADEDAED
DEC CDEC
BDC BDCCADDDCCC
BCAAAADCACBD DBDECE
DDCCACEE DBAEDABDBDADCDDACDDC
BCCD DEBDC
DADEBB CDECBDADAADA
DAEDADCCCDDACCCCCBEBCACBDABBB BB
CABDBEBCBACDBBACACEED CDBBCDDDCEDDB
CDECBD CDB
CDCB CDEBCDCBBDC
DDBBABE BCC
BDBDBEC CDEBBCD
BDDEC CDBEEC
BDECCADAACAAACACA ABCCCDA
CABDBEBCBACDBBACACEED DADDCEDDB
CD D
DAD AEAC
BEEACAAABCAE BDECCADAACAAAC
BB DAEDADCCCDDACCCCCBEBCACBDABBB
EEAC EDECA
DCADDDA CDCE
DCDECDDACB DCDCCBDBADCACDAEC
DBECAE CBA
EAEDCCCAEDCCAEDAEDA ADBE
DCDECCD CDCB
DDAABBEBB DECDCDECBCC
C BCAAAADCACB
AAE DECDCDECBCC
CDECBDAE CDB
EACCCAE BCDEAE
DCCCB DABBE
BCAA DBDBACDA
CDEBCDE CCDCAC
ABEBDCCE DDDACABBDBCDBBD
CDECBCCB DBDECE
CBEBB DECBDB
BDDBDACDBDDCDBCACAEBAACA DBBBCECABDDADCEBADAACA
CDCEA ADCDEDAE
CDEBCDCBBDCE CDCEBCDED
DABDECDAECACBECAB DECBEDCDDBDAE
CDB CDECBDAE
EBAEDC EDEDAAEDCAED
DDCCACC DABBEDAEBCABBEDEBBADDADBBDADAACACC
C DABBBEBE
C DABBBEBE
ACCA DDC
$ C
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
EDEC DDACCABBDCCDDA
AAEDCAEDCCC BCDAADEDAEDCCC
BDD DABDDBACD
BDECAAAA EA
BCDDCE DBCDEBCEEBAEDDCBCEADCCBEDAE
DDACCABBDCCDD ACADADA
BCDDC DBCDEBCEEBAEDDCBCEADCCBEDA
CDCE CDA
DBCDEBCEEBAEDDCBCEADCCBEDA BCCDAAA
DBAEDABDBDADCDDACD $
DCACBEBCABCDBEDDACCCCDDCCDDAA DDADCCBCAEBACBEB
CDEBCDABEAEAEAEAEAEAEAEAEAEA ECCCCCCD
DAEDADCCCDDACCCCCBEBCACBDABBB BB
DABEDBEBEDBADCDDACBABB DBDCAEBCAECDABBDBABADCCACA
BD BDCCADDDCC
BDDE CDBEE
D CD
DCDBCABCDAE DDD
DCABDBADACCDABBD DECBD
D CD
DA DADCCA
DAEDADCE BDCDB
DABBEDAEBCABBEDEBBADDADBBDADAACA DADCCACCACCA
BDBCDCDECEB CDBBC
DABBEDAEBCABBEDEBBADDADBBDADAAC DDCC
DCDECCD CDCB
CDECBDAE CDB
DEC EC
AADA DBB
$ ACECDE
CBCEDDABBECCBADBBADDA DDBACB
DAEDADCE BDCDB
DECECAACA ECCABAAC
DCDADCCB B
EDC CDBBDACCCCA
BDCDBDDA BDACD
BDDEC AE
BD DABDDBAC
$ C
