29255
_jm^i^ _`
n`OJFfO nqTPJFJF`OSUll
_S`TrK[LlfOXU JdV
RP[E bP`OXfOSfOE
nqT _Ji^i^BT
UbjhcUSUJ_lfO p_TPdh`OSU
RGT] bP[GNfO^RT]
_SkT^YKbNfO^ O^
nBoP[ UaYHZoZO
V]j____ gT]cj
[S_UEUE [SUEUp_pp[UEUU
bPLOllGfUEL\hF ULPYELVVO_
[ UN
VfME [FfN\fn
_^Sb`T bPqj
UbJca nJF`
bPqS`Tm^i^joI`To`TmKJGFZOK neoPZO
mO _SI`TrK`OLl
bPZOiO OoP`OXUYO
nJ nJFbHOlj
n C_
RT] V]O
nZZjUF[JTB n[LTTB
VfH UPX
$ OP
IS U
`T _i^j
_jrKrJFZO[ijFZOiFeoPbaYHOKfjF[cUGH bPqjm^jrK
Un bPb
_jo`Tm^SII`T _SqI`Tr^mjo`T
nbNf Z
_TPbJ_JYn UE_Ynnn
UELVrhS]Ynn ULgYP]FSXZY
VQj_rr nbNUWj_
nq`S_jr`TmKZOK nZZQOK
UPZCbhlT_lfOY _iK[SfOcU
Vj_______ VQj_rr____
_SII`To` _^eQ^S`
bPJH`OSfO _TP`OJTDULT_lfO
Vf Vf\f
UNS bP[GNfO^RT]
ULP jiK[SlGX
UaYEF UYdAMcAVVO
UN ed]]D
nqTPGaYLnYOj Ub
bP[_lfOll bP`OJTDfOEMQOXfOlT_l
OU bI
V]O [F
$ _
bPb _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY
n bPO
n[SfO bP[_lfO
UPXSSZC nJFJFJ
_jm _SIII`TII`Tr
nbN\fn FVEfn
q UHZjFe
OUpe\f $
[SNUE_]_p [SN
_TP $
_ld Oo
n[Sf bP[_lf
UYePBh ULHYY_ZZd
[ OUp
nbN\fnH bPqjr^TPb
UHZoZZQZj _
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
[SUE_]U [S_
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[X n`OSUS
bP`OXfOcUJT\TT\TFUXfOEXF hUPZFLrh_RYPZRYbhJF
RTj_T_ [Fj____
IUY_Zdcerh_Ynnn UELVrhS]Ynnnnn
^UHOT nJFJFZO[Kf
_i^iKJFJFJF[GaYEL UYe]RSL
_i^SI`TmK`OL nZZIo[l
bP[GNfO^R RG
Ym`[OcUcfOLlU _TP[XU
$ Oo
bPbY g\
_\KbOfR R
UELVrhS]Yn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnn
`E_ n[XULlfOXUEXFUcfOSfOYZjFq
UE_CP bPbaY
joI`T^PJ _TPJ
OoP b`P
_iK Y
bPqjrKeoP[SfOlTF P[J_lUrfOcfOfOEXB
nJFJF _ZaDKb
n a
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
_i^TP IP
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO nZO
T O^
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll UP]CLnYLgYbqOLTTDUcUJTDULl
F nJFb
N UaYN
U MhM
P[J_lUrfOcfOfOEXB _TP[c
ULPY ULn
_TP[XUL _TP[TBfWOl
R $
bP`OXfOcUJT\TT\TFUXfOEXF hUPZFLrh_RYPZRYbhJF
RTfnHT O
bP[GNfO^RT RGT
_jm^TPJFeUpo _Ji^i^BT
n`O H\K[XU
[SUENN_B_BUY `PQFlJFJ
_S`ToII`Tr^ nqjTo`Tm^o
P`bLlfHXYfOJ_P UbqOLlfOlTFUllfOl
m U
_SIII`TII`T _j
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _iKqS`To`
VfinH OeW]]fYH
fjRYPXS_ UPZ
nIF n
[Y[ [S_N_]
_TP`OJTDULT_lf bPJH`OSf
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
_iKZ nqjmK[EjOlTTDfOcfOJ_lfO
_ioeWSHPZ ULnY
_[Ti [S_UEUE
_S`Tr^jr^i _
V pRT
bPqjr^jmK[UJE[ULT_f OoPbYZdHaYHOKiQZo[Sf
ZT V
n[EjLHmc UbjqOcUEMQOJT\T_TT\TFfOSfOSfOGq
_SI`Tm^jYo`Tr^TPqS`Tr^jm _i^jm
nJFbHOlj nJ
b _b
n[S bP[_l
_i^iKJFJFJF[GaYE UYe]RS
dJ_lULlUXf _TP`OEMQ
UE_CP] bPbaY]
neoPZOf UHTZ
nJFJFZO[Kf ^UHOT
ULgYP]FSX nqjm^jr^TP[SfOGP
n[GPX UEOcJAOHEOX
nZZIo[l _i^SI`TmK`OL
b _b
[SpFhX [SNpFSpFh
_i^TP`OSfOS _j^TP`OX
$ n
Vj___ RT___
bPbP]DRSfcArhLVrhSXY nb
_jm^SI`Tr^T Ca
_iKq _S`T^SITr^
bPqS`ToaTrKbO UO
IUY_Zdcerh_Ynn UE_Y
RTfnHL V]fnHn
n joI`T^P
[ nbO
_TP`OJTDULT_lf bPJH`OSf
bbj n`OGaYbjj
_jr^TPJF OMpV
[S_ [SUE_]U
_jo`Tm^TPbPZ ELnSg
UaYNfnZ nJFJFZO[Kf
_iKbP]FFH $
[SUENN_B_BUY _arKJFJjFJ
nbaY `bhXUJfWOG
U n`OERFULTTDfOYZobPZFSZC
VfNfb Po
n`OXU brPgT
_T _Srr^i^
OoPbEHN OeUU
bP`OXfOcUcUJ_l OoPmqi^bT\bjLgYNU
UYe]RSL _i^iKJFJFJF[GaYEL
$ bP[GPXSSZCPXSFHbqOSUSUlTFfO
RT Vj__
O^ ]bOTb
[S_ [SUE_]U
UbqOl `OL
`Mh nZOKiQO[ijF`OEMQOYOfjFqjm^SI
bP`OJT\lUSUXU bPDO
nqjm^jr^TP[SfOGPZ ULgYP]FSXZ
OV VfNfUYdHN\
_S`TrK[LlfO _j^TP`O
_jr _SIII`TII`Tr
nqjmK[EjOlTTDfOcfOJ_l n`OJFfO
bPqiKqSII jm^Vi^SIH
_i^i _ISIII`Tm^QS`TrT
nq`S_jr`TmKZOK _TPZOioJFZOK[
HO[K bP[GbqOYZoZO
_i^i^iKqi lF
EOP U
_jo`Tm^SII _SqI`Tr^mjo
bP[GNfO^RT T]
nJF pnqi^K
bP[_lf n[Sf
UaYESZ bPbaY]
_ipOG _TP`OcUSUGO
VfNfUYdHN\ OV
_jmK[ll bP[EXFUSUUEjOJFULl
nJFbbjj VBfYH
nqjr^TP[SUcUXUE [ZXXX
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
bLqjrK bP
VfNfUYdH SK
kY R
[Y[ [S_N_]
n[cfOJXfOLTTBUX nqTPbbqOJF
nZZIo[l _i^SI`TmK`OL
_S _jSa`ToII
U m
_SIII`TII`T _j
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
_jmg bPZZjFZOfoqTP
bP`OJTDfOEMQOXfOlT_ bP[_lfOl
_S` _NID
UPZCbhlT_lfOYLT _iK[SfOcULT
UbJca nJF`
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]CaY T[Z
bP[XfOcfOXfOEjOJF hUPZFLrh_RYPZRYbhJF
VQj_rr_ [F]]j__
T V]
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
UP] baPJFqjm^jo`ToIM`TpII`TrKJFbPZ
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
UEl [Fj___
UbhULlUXfHOX n`OXUJ_lfOXf
Ok _jo`ToI`TrKe
nTP[USk bP[GHO[K[KfjF`OSfOc
nJFb $
_T Wo
ULPL U
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
nqjTo`Tm^oi nqTPeef_TPqjm^i
_r _i
Vj] UNW
UP]F n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
bP[llfOLT_T_lUlT_lUEXFfOllUJ_T_lUSfOcfOEjOcUJ_TFfOE bbHO[KK[[fo[cfOLTTDU[DfOEp
nbbjqOXUJFfOSULlfOYO bPZOiO
Rh Oe\
ne bPVFJFW
_BTPa bPZOKijFbYdHEFHLH
bPbY_d__cAOHoQ nJFb
nqiKbNf `N
UE_C OUE_C
[hXXXXXXXS OefO^[hXXXXXXXXXX
bP[GNfO^RT RGT
bPqiMjr^jr^jm^i^T Oo
OoPJF[cUXUSUJT\TF m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTB
_jr^jrK bPqiMjr^jr^jm^i^TP
EbPk[S nbbqOEj
UOfn $
rji _jm
RT__ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j____
dnG n`OGbhLlUcfOSUXUllfOSfOllfO
UEOcJAOHEOX n[GPX
UE_ OUE_
_ $
RT Ki^TBPY
C_ n
VfNfUYdH SK
MhM U
Ubh `bhXUJfWO
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO nZO
bP[_l n[S
UP ISP
n[SfO bP[_lfO
n[llUX _joKTrK[XfOXfOS
nbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
_SIII`TII`Tr _jm
bPZOi OoP`OXUY
n[CT_lUS n`OEMQOS
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]Ca nbHYa
$ _TP
[SNUE_]_p [SN
_iKbP]FFH $
_F _iKqS`To`T
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
_jSa`ToI _joI`To`To
ULPYE fjRYPXS
RTfnHT O
Ubjh nJF[lldRSUSU
n`OllUSfOSUlTFfOG `
$ gT]cj__
UPZCbhlT_lfOYLT _iK[SfOcULT
_TPqSI`TrKJF ]bJFC
_SI`Tm^ _Ji^i^B
UYdHa _BTPa
dJ_lULlUXf _TP`OEMQ
n _S`To`Tno`Tr\
ULPYY__ PZRSSZRYY_Z
bPZOKijFbYdHEFHLH _BTPa
$ V]]
_jrnK`OllULTFf UaYLPYLnYaYaYE_FLrh_FS]FFH
VfNfBnUP] bPbES]
kY R
bP[cUc nXUSUSUEMQNOEOrJF
$ _
^E[ nqjmK[EjOlTTDfOcfOJ_lf
_i^iKJFJFJF[GaYEL UYe]RSL
[F]fnUH [FfN\fnH
nqi^[Pcb U
_jr _SIII`TII`Tr
[S__ [SUE_]U_
m U
hUPZFLrh_RYPZRYbhJ bP`OXfOcUJT\TT\TFUXfOEX
nqTP c^
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
bPJFZO UbjjNhYO
[ _TPbO
nqTPGaYLnYOj Ub
_jmK`O RTnA
OoP`O nLLlUJTDfOc^fO
n[CT_l nJFqTP[XUJF
nqTP`OSfOY ULnYEF_cArhSYmP]CfUIi
nW ULHYbqOYZjFJF[LTFUJFULlUEjOG
pnqi^K _TPqSI`TrK
[SN__AE_B_YU ^F
_SIIIII` _po`T
ULHYY_ bPJeFbMZZ`
V]] RH
[Sp\\ Vj
V UKUM\
joI`T^ _T
ULnYP nLFUFbbh^GES
[U RT]
_TP joI`T^P
_jm^j jbmSD`T
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
_S`Tr^jr^SII`Tr^ rj
bPeeWf IVnJ
bP`OXfOSfOE RP[E
bPbY_d__cAOHoQ nJFb
[ $
nJF`OEjOYOfoqiK bPqiMjr^jr^jm^i^TP
_SqI`Tr^mjo _SI
VKl V]f
UbJcaOX bP[EXTDUllfOLlfOcULlfOS
UYZ_Zd_ _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYYd
VfNfUYdH SK
bPbY g\
W $
nJFqTP[XUJF n[CT_l
LPYHZ bP`OXfOSfOEM
bP`OYZo`OSULT_T Bj_Y
_T _Ji^i^BT
UKUM\ V
k _i^
_SI`To`To`Tr^ iT
OoPq OoPJYFqo
n gO
RG bP[GNfO^R
j Oe
[ $
nqiKXUJTB]OGNUkf RTfNf
jFN V]
UbqOl `OL
_SII`Tr^T W
_TP`OJTDULT_l bPJH`OS
fjRYPXS ULPYE
bP`OJT\lUSUXU bPDO
nbo bPb
ULgYP]FSXZY nqjm^jr^TP[SfOGPZY
dJ_lULlUXfOS OoP`OLTT\lfOJFUS
RTj_ UNWj__H
n[llfOLlUSfOEMQOSfOY nq`S_jr`TmKZ
o_jm _S`Tr
nkOJT\lfOqEFMH _TPbbjqOllfOG
Ub nqTPGaYLnYOj
nJF`O UbJcaO
b` Oo
[hXXX OefO^[hXXXXXXXX
Vf V
SK VfNfUYdH
UP]Yn K
_iK[SfOlT_lfOLlUSUlT_l UbJcaOX
_TP[XUJT Ym`[OcUcfOLlUJT
_iKqS`To`T bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T
_ipOG _TP`OcUSUGO
b` Oo
_SII`T _
`E_ _i^jmKqi^
nZZjUF[JTBU n[LTTBU
UHOfjFq nqiKqjQ`^
UbJcaOX bP[EXTDUllfOLlfOcULlfOS
nbNf _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHYf
n`OXU n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[
n`OXU brPgT
ULPY UPZCr
_SkT^YKbNfO O
UO neoPe
[hXXXXXX [SNpFSpFhXXX
_\KbOfR R
QB O^Vf
bP[LlUllfOcfOcfO _TPeH
[SpFhXXXXXX [hXXXXXXXXXXXXXXXXXXXXXXXXXXX
_S`TmK[SULTF nJF[lldRSUSULl
UE Oi
FPqSIIa`TmKJFKbjhUqSfOSUGa bPbLg
n[Sf bP[_lf
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
nZZIo[llUS _i^SI`TmK`OLlUS
$ _jm^i^T
UHZoZZQZ bPJFJZFZZ
_TPqSI`TrK pnqi^K
fjRYPXS_ ULPYE_
UnE bPbE
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
QSZRYC`PNR bP`OllUcULT_lfOXUGa
SKN VfNfUYdHN
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
rji _jr^S`Tm
n iK
_ _jr
nbLgY bP`OP]
OUE_ UE_
_PajWA ULHY
[U RT]
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
n[GHOfjF`OJFUG \U
b _b
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
ELnSg _jo`Tm^TPbPZ
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
pDb _T
bPqT mUb
R kY
fjRYPXS_ UPZ
UE_RSSZF_ _TPbJ_J
_S`ToII`TmK [
$ [hXXXXXXXXXXXXXXXXXXXXXXXXXXXX
bP`OYZo`OSULT_T Hm
_ neoP
n[llUXU _joKTrK[XfOXfOSU
nLLlUJTDfOc^f UP]CPXSSXYbhEMQOXfOXf
_jm^i^i^TP dH
bPDO bP`OJT\lUSUXU
$ OP
oP_l V
bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc nZZjUF[JTB
n[GPX UEOcJAOHEOX
_j^TP` _S`TrK[Llf
bPYPXYJ _iKqTP`OGESXYESXYELO_HaYES
$ bPJF
OoP[Y nZZjUF[JTBUY
`q UO
$ bP`O
n`OSU $
OoPqjr^TP _TPJFl
[ UN
UYdAMcAVVOc UYdc
_K _jrK
$ nqTPeef_TPqjm^
nq bPqjo`ToI`T
n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYES [F
bPJFJFbLnYO [F]fHT
bPJeFbMZZ`ZZdc bPbYdc
Ubhc SbPeqiKeef_jr^TP`OllUcUcUKc
OUE UE
[ $
[hXXX OefO^[hXXXXXXXX
ULgYP]FSXZYn nJFqjm^TPbaYLHYE_Ynn
bPJFqjo`Tm^ _jr^ia
[SUEN_SYp [Sp\[N
_iK $
b OoPJ
_iK[SfOcULT UPZCbhlT_lfOYLT
_TP _Ji^i^BTP
IUY_Zdcerh_ UE_
gqSI` bP[L
OoPeoP`OSfOcULlfOGNW KdRV
UYdAMcAVVO UYd
X $
_i^SIII`ToII`ToIII`Tm^TPJFbPZFLr nbELXhLOAr
RP[EM bP`OXfOSfOEM
pnqi^KJ nJ
dJ_lULlUXfOS bP`OXfOcUcUJ_l
_TP $
n nIF
RTfNf OTP
O^bPe bPVFJFW
nqiKXUJTB]OGNUk ULnYLHYbjjhJ_TTBUGO
n[GPX UEOcJAOHEOX
bP`OXfOSfOE RP[E
UE_C OUE_C
[SUE_]U_ [S__YUp_UU
_TP pDbP
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnnn UE_Yn
bP`OJT\lUSUXU bPDO
[ZX [SNpFSpFhXXXXX
_TP`OJTDULT_lfOLl bPJH`OSfOLl
bP[GNfO^R RG
_Ji^i^B _
Th [hXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
[Y[ [S_N_]
VfNW] q
n _jo`r
bP`O $
m U
ULnYEF_cArhSYmP]CfUIi bPZ
ULnYLHYbjjhJ_TTBUGOf bPM
bPqiMjr^jr^jm^i^TPJ nJF`OEjOYOfoqiKJ
n`OGaYbjj bbj
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
jm^Vi^SIH _i^jo`To
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
bPJeFbMZZ` ULHYY_
bPbP]RSS [Sp\Y\[UEapp\[__YNUnN_
O $
bPqjo`To bPUo
_i^iKJFJFJF[GaYEL UYe]RSL
OMpV n
UP]CLnYLgYbqOLTTDUcUJTDUL n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUl
_ _S`Tr^jr^i
bPqjo`T M_TPq]T
_F _jo`T
nqi _SIII`TII`Tr
bPbHZoJF[SUE _TP`cUY
bP`OXfOSfOE RP[E
c O^
bPJFee C
RUm UaYaY
bP[_lf n[Sf
UaYPZRYNfV R
jFNfY RTfn
VBfYHh UbjqO
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY bPb
_T _Srr^i^
_jm^i^i^TP pnqi^KJF
_Srr^i^ _T
_joII`Tr^SI`To bPUo
V]f VKl
n[GHOfjF`OJFUG \U
UPZYn ULgYP]FSXZY
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY nb
$ _SkT^YKbNf
_ _Ji^i^B
[hX [hXXXXXXXXXXXXXXXXXXXX
UP]CPXSSXYbhEMQOXfOX nLLlUJTDfOc^
U NRARTM
F nJFb
OMpV nqi^TP
nbrHf UbhJFfOXUllfOSUEMQOLlfOGH
_i^ _SI`Tm^jYo`Tr^TPqS`Tr^
Vj V
rPDW _iKqTPqS`Tm^iKZOKiobaYEF__HP
r O^R
n[SUGEFHYdHbqOEM $
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T _jo`T
mUn _iKqTPqS`Tm^iKZOKiobaYEF__HP
$ [
nW n[XfOSUSUcfOG
joI`T^PJ nJ
nZZjUF[JTBUY UH
_T pDb
bPqiMjr^jr^jm^i^T Oo
_jmK` $
KdRV ULHYN\
n`OERFULTTDfOYZobPZFSZCLn ULnYLHYLg
nqi^T I
U _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nqiKbN
bPJH`OSfO _TP`OJTDULT_lfO
_TP[XUJ Ym`[OcUcfOLlUJ
UE IUY_Zdcerh
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
O $
UbJcaO n`OXU
bP[GNfO^R RG
nq Z_
V` O]
HO[K bP[GbqOYZoZO
mcL UbhGL
_TP_mcJ _SI`Tr^jmK`OYO[fj
ULgYFcAO ULPYaYaYLPYP]CLHYY_Zd__
UbJcaO n`OXU
[hXXXXXXXXXXXXXXXXXXXX [hX
O^UbhJTBfOJT\T_TT\TTBUlT_TFU bPqK
_^eQ^S`T _SI`T
UaYNfn ULnYbqOXfOlTFUY
_in $
nq`S_jr`TmKZOK nJFZO
nbHYa n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]Ca
nJFqO _i^T
O^ nbOfA
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU G[]
gbP bPJF
OefO^[hXXXXXX [hX
n[SfO bP[_lfO
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
bPbaY UE_CP
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
n[GHOfjF`OJFUG \U
OoPJFqi T_jp
_TPJFj nqSIIIIIII`Tr^
b OoP
UN [
n[GP UEOcJAOHEO
nJFZZo`OYZ b`Pb
nqjm^jr^TP[SfOGP ULgYP]FSX
KdRV OoPeoP`OSfOcULlfOGNW
qd ne^
_S`TmK`OY ULnYEF_cArhSYmP]CfUIi
[U RT]
n[SfOGLPYa ULPY
`OL nqjmK[EjOlTTDfOcfOJ_
bPJFqjo`Tm^ $
nJFqjm^TPbaYLHYE_Yn IUY_Zdcerh_Y
ULH MhMa
jFN V]
_TP`OJTDULT_lfOLlf bPJH`OSfOLlf
T V]
bPbP]DRSfcArhLVrhSXYYZ ULHYY_ZZ
VQj_rr_ nbNUWj__
bP`OXfOSfOE RP[E
UP]FS g
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
bP[J_lfOBSfOLlUXfOSfOL UbhYO[[io`OLT
Un bPb
nbLPYE_ $
bPbaY UE_CP
Ubjh nJF[lldRSUSU
_j^TP`O _S`TrK[LlfO
_C O^b
nqjr Z_jr
[SNp [SNUE_]_pp
bPDO bP`OJT\lUSUXU
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHYf O^
_iK[SfOlT_lfOLlUSUlT_lf _jmg`
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _iKqS`To`
Vd O^bP
UE IUY_Zdcerh
bPUoI bPqjo`ToI
_BTPa _S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa
nbY bPJeFbMZZ`Z
bPDO bP`OJT\lUSUXU
pDb _T
[hXXXXXXXXXXXXXXXXXXXXXXXXXXXX [SpFhXXXXXXX
nJF A
UEOcJAOHEOX n[GPX
KdRV OoPeoP`OSfOcULlfOGNW
UbhG mc
UbqOLlfOlTFUllfOllU _iK[[fO
jFNf V]f
$ OP
Z_jr^ nqjr^
UbJca nJF`
UPZCbhlT_lfOYLT _iK[SfOcULT
ISP] UP]
IUY_Zdcerh_Y UPZYn
nqqKeUDP bPJFJF
_iK KTP
$ f
ULPYLHY nJFJFJ
iT bPe^nJFqi^TPq
ne^ qd
V Vj
nZZjFba OUE_Ca
n`OGN ^K
P _jm^iK
_SI`Tm^jYo`Tr^TPqS`Tr _i
bPJFe UO
KFed__ [F]j
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_____ VQj_rr
pnqi^K nJF
bPZZjFZOfoqTP _jmg
AN[SUW_AE [Sp[NpFS_
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
bPbY_d__cAOHoQ nJFb
V]]]j RiTj_
nqiKqjQ`^ bPqi^
UE IUY_Zdcerh
bPqiK[cUXUJFfOiOiQZ n[GHOfjF`OJFUGHZ
UOfn`OSUXfOJFUJT\TT\TT\lfOSUSfOLT_ bP[
_T bPJFq^
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU G[]
b _b
UELOcAOc hRO
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
bPJH`OSfOL _TP`OJTDULT_lfOL
Vj RT
[hXXX [hXXXXXXXXXXXXXXXXXXXXXX
U OPU
_TPbJ_JYn ULHYPZCaYPZF_Yn
_SqI`Tr^mj _SII`T
_jm rji
Ym`[OcUcfOLl _TP[X
ELnSg _jo`Tm^TPbPZ
$ V]]
_iKqS`To`T bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T
bJ UbhJFfOXUllfOSUEMQOLlfOGHZ
n[XfOSUSUcfOG nW
[hXXX [hXXXXXXXXXXXXXXXXXXXXXX
ne bPVFJFW
_joII` $
ULHYN\fY nbHYaY
bP`OLlfOEjOSf bP`OcUDGbq
UE_CP] bPbaY]
_jr^TPJF OMpV
RiTj__ RTj
UYdc UYdAMcAVVOc
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
bP`OllUcULT_lfOXUGaY ELnSgC
UbhULlUXfHOX n`OXUJ_lfOXf
bP[GNfO^RT RGT
[ nJF
OoPqjr^T Lb
OP $
_SkT^YKbNfO O
bPbP]DRSfcArhLVrhSXYYZ nbYZ
bPqiMjr^jr^jm^i^TPJ _jr^jrKJ
_F _jo`T
W $
bP`Oc nXUSUSUEMQNOEOrJF
bP[GNfO^R RG
U _TP`OcUSUGO\
bPbaY UE_CP
[hXXXXXXXSX [Sp[pFhX
Oo bPqiMjr^jr^jm^i^T
ISP UP
bP`OLlfOlTTDfOEXFU `bhXUJfWO
OP $
$ nJFZZo
_iK`OlT_TFUllUEMQO UiTqOGSo
_TP`OllfOSfOllfOXfO n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh
_TPbJ_J ULHYPZCaYPZF_
U EOP
[Sp[NpFS_U AN[SUW_AEU
nJFqO nqi^T
UYdAMcAVVOc UYdc
bPqTP bLqjrK
Ubhc hUPZFLrh_RYPZRYbhJF
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
_i^ k
bP[J_lfOBSfOLlUXfOSfOL n`OcUJFUcUSUcUJ
UbhGLg U_E
U n`OERFULTTDfOYZobPZFSZC
n[SfOl bP[_lfOl
U $
bPeeWf IVnJ
bP[_l n[S
nJFqO _i^T
bPJH`OSfOLlf _TP`OJTDULT_lfOLlf
`OL nqjmK[EjOlTTDfOcfOJ_
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
Uob bPJFqS`TmKeU
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
Vj____ RT__
nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i nZO
bPK _jm^i^T
[i^`jr bP
UPZCbhlT_lfOY _iK[SfOcU
nqiKbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
n[GP UEOcJAOHEO
_TP[E bbHO[KK[[fo[cfOLTTDU[DfOEp
_TP`OJTDULT_lfOLl bPJH`OSfOLl
V] jFN
OoP b`P
RTfN [
ULPYaYaYLPYP]CLHYY_Zd___c ULgYFcAO_c
`E O^
_joKTrK[XfOXfOS n[llUX
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
O^ c
[S^__BUNUnNN [SUE_]N_NUoE_pUEN_YUYnih__YiDiDnN_B_hUE
n[S bP[_l
YJLjQ U
RTf FVEf
E UaYHZoZ
SK VfNfUYdH
V] T
ULnYLHYLHY UE_CELrhSZFJVVOcAOcIVOH[
ULgYP]FSX nqjm^jr^TP[SfOGP
_K _jrK
bPqS`Tm^i^joI`To`TmKJGFZOK neoPZO
ULPYELVVO__ ULgYFcAO
_joII` $
_SI` _SqI`Tr^mjo`
F_SKePK bPJF
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
