23703
OGfHUIGK GWkodKgK
GKWGk`coX SANZBX
GWk GYPmQq[MdnRc
Tkc^C_aAQhWb GKKWfWh
GWBKIOPiI Sj^UfGdZUWgGj^UeJaH^^aL
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZ Sk^aIkjj^aSBj
OZUPmib\a GW\
OdgBBBHH SdgfeBHBHWHaWHHWW
OZUGBkFKmMVM RbTOQ
Sebh SkSpYp
keAFXmgBP OFBSWe
OPpj^UeBMMB OFBMqRBHHW
SVMXrHSASf OnRnLENdH\SE_dZn
SeAdMV`Mh`Mk WB
OGHZOqbkZUBB OEgJQEIc^kIYKeBR
SAPNEaA Z
[OndHRn SjCaP
GEH GWknpYBKUHUm
Sj^npQnnI VSfqY
SjjcaKg^fomBSeqmhEni GKWBqm
GKWeJQRqmhQK^QaaATSW GKKW
SjYBGfnV SKUHZ
SV\MYNi`[`` SebhMnKDV
SAZaS OrmeJMOn^npcLqYCS
GKKW GKWeJQRqmhQK^QaaATSW
GKWH^p`MKaI OG\geBKH
OPcYVc GWPmbWHgqK_E
Sjk`Vcn`a_naPI[`MkPiIkdESBjj GWHXmGnqCSjKKZjKZ]CBjOKK
Sj^ GKKWeIOZ
SeAnIqAGeKmDj^UPmQWG^npcLpYB GW[Gk`[```MhMfGYWeXmDeO
GKWWeBRMSkaa ljaaUa
Sj^UfGdZUWgGj^UeJaH^^aL GWBKIOPiI
On`WPmiih[ GWHZk`aeJQRqmmi
Sejp`MhMhMKU_Ja SkKRKIGKWBJQ
q` Orm_hK^^Nj
OFqmQ OIaI
GKdKWBmH\P_kXNph OPiej`Q^
qG SV`MYKdGdSnIWkaLpQaaAkOkSdKKK
SOj GWogWG
SbqkVNESjKKQ OZUXG^aS]CjQjjZ]CjKKT
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjB SAZaS]jjjQjjQ
RFEJQHZjBqkejY GWH^
GKWHUIOFJaeKIOGWeEBq SjjK_EiXGaIKg\gPmibBBM
OrIS SkV_j^UGpWM`Qh
SbfYVcqjdFBRRSHUISeVMGGnV_Bh```MKaaA Odl
SjYj OqmQ
SAnX^caPLnLhK^^NF^b OGBJQhkcK
GKKKqWfWEa GKWWeBRMSkaa
WVMhH GWeJQeJQhAFXISOhMhMY[
OPjTBBq SkWmhA\WPW
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
OPN OneIc
GKKWedmhEiQWPmb\BBqm OEPmh[Q`QdWeKmMkV
GbKq OdDOqAGWeBS
GKKWBKI p
Od_dKKWeJaZ bf\SnbZe
SkcaWHK^NF DW\SoYW\`WdHK^
SVf`MqbfqejBYWPmobQBBSeqpih SbqbKUHgqTSPmhPDRrj
GWfGbVcGYGQG SOK
OnecknXHFqVcY`QeKmgkaI^U SbKCff
SVM SVVnfhM
GKWknpY SBfYej
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OEfNPm
qAZ SAPcKUHISVMK
SbY[MkdH^kRqBkdESN SOKaSj
OnRpgcLhoPKITGKK SOh```M
ShMq See
SkWffPmibfGBn[M VqqrMZ
OEeKIOE\BkU Sk`QjdVeKmg
XKW\SPmh[h[TQTBkaSBjjKZBj OdESjKZ
cgkUfdSBK]m OFJa
GKKWHZAFJQHoJaeKmRBMRBHHWH OBqqB
SOn`aZKmhOnTBGk`kV`MnV SF^UPmhPDI[iccK^
$ P
SkTgGjKjk`Vcfn Sk`QH_qe
PD OrIG
ljaaU SOKnnaP
OGHZVM \
GWWGaSB GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ
S^kNjK SejkecqjCL
TKKKKgKWPmimcKNh See
Sejp`MhMhMKU_JaH OPN_qq``MKnh
OEPmh CGWfPHmk
GKKKWB doW
GE SebqV`MY`a
GKWo GWfR\gio
GWknhn Z
Od hPN
SAGB [qdO
OPjcK^N bO]SWK^KN
OZaaAVj^ OrISj[^
OoRqmhPDRJRrRrj[Q^nfjkeeOKUog G
qAZa OdDbY^a
OZImHihEUer OF
OEWeqmihAiiQ^aaAWBKISkWBJQ_qjW HW
OSpcS]RjQjB GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ
OFKmGUf OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW
OrmeJMOn^npcLqYCS Od^cS
SOqbGgnWHB GWH
OdDOh``MhMKnEcGh WVMhH
SdgfeBHBHWHaW SAFBqBWH
OEPmQ` GWHFqV_^nqkiRn
SjmjKhkWBJQELqpMfn SbY
Sebh SkSpYp
GKKWBKIO pO
SE OSEj
OSp OE
GWBKmMASLQ SeAnRL
SjpMq OPjKMblq
Sk Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
SkkjCSBjBj OZaaP
OShZkWeqmbGB GW[Gk`[```MhMfGYWeXmDeOG
SVMhMn[MGfnVjKpH\djCgIkK SA
Of GW\B
dM SVMnKh
OPjKhkkeAdDkK GWPkBqmiQ`a
GW[Gk`[```MhMfGYWeXmDeO SV``M
Sj^UfGdZUWgGj^UeJaH^^aL GWknp
GWPkBqmiQ`a OPjKhkkeAdDkK
OEBBSG^MaAW OGom\BH\d_pQaLnI^nnaA`QeJaMAP_^U
Z SAPNEaA
GWeBq SA[BRS\SfBBRM
SbKaIcIOFX QOdgeXm^QUPmhAh\KRK
SAZa OrmeJMOn^npcLqYC
SOnVcY`QH Sb
SAPiX^Qa QOdgeXm^QUPmhAh\KRKmE
SeeVMqAGknEd GWW
SkFXIOEWgpM^kjYqMKnENRBB SAZUeBMBWHWHHHHWH
OnIkZn SebkrjCIhOfYTgkGdng_hoJQGnpcL
OrIOrm GWgdWBXISeOqkYK
N OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmh
Sjq`MqeVMnTgH\G OZUPmib\aS
GWfe GfWcLEieb_C
OPcfhMfKaLEckZnhoqmbBJaG GS\U\Sk
OrJISbKnh\PjTgPmhA OPNZXIOFqm
OrIOSpYke_^neP_jLjdEknnAVi SeAn
Z SAPNEaA
bO]SWK^KNh OPjcK^Nh
OSENMO E[ba
OFXmRqmQKDASqY^aaAkVMh````` WSk[``
OnI GKWeCBSBKmDkM
jGKKKW\BeKm GWBqmbfWZJQgoI
GcW^kUjm\ OZnh^CaAT
GW OSG
GWogWG SOj
OZUXG^aS]CjQjjZ]CjKKT SbqkVNESjKKQ
OEknpQUknna _bKaO
SOKaI`QEIWH RG
S $
SdgfeBHBHWHaWHHWWW SAFBqBWHHHWWW
OPpj^UeBMM SebnTgf\BW_dKWeBq
GKWHK^^NF SAdheOKnpQaIcKNF^NFN
OdhdHW Od_qBkEGYY
OSqC [OrmBpSUk
GKKcW OZUGdGf
KWeBNMMMBlHCWW SebnTgf\BW_dKWeBqB
OnRpc j`aZqmihQTg\BWElIVViRn
GWG G
ZA OEPmh[Q`QdWeKmMkV
GKWWeBRMSka GKKKqWfWE
OZnh^CaATB OEBqmhbUmhPUrj[QKeXm_nnIW
OEDGhr``MYkOkEe\aap OFXIOdRBMRRq
On OrmDkKGUWjdGomfkTemhAFqombGk
OnX kSOYcW
SkcIGKKKKWfkUfeXmGnpc OGGdrmhbYKRJaEaOP
GWknqq````Mq SY
ieAdRpHY SbfnWfffkUWdkndWGqMh``MY
GWBKmMASLQ OPieiREiXEIc^kXgWEaPITBeXISOKaLL
SjBYKdPmih[QkOGkG\ Sk`QH_qeT
$ Sejq
E SVMYcFqkAE
Sbn oSek
O f
OComPSQ^aS]RjjSK OEknhgqTgkaSjQjj
SVMqrUAqk\FBR GWf\g\gWdeB
OFqmQ OIaI
OdDOqAGWeBS GoW
SAPcKUHISVMKa qAZa
GHKKWMKmg Sk`QjqMGGGhMqV`Mk
OdRB ZUhBLQ
GKKKWYfHFqWW^caPLdKWWEL SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF
OdZKHDbj SVMfff
fOS S
GoW OdDOqAGWeBS
OrmeJMOn^npcLqYCS] GWeJaEI^UfkaS]
GWG G
GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQ SbKU\BBBMqRMqSGpMYT
GWkUdS Orm_
OdMeVMh`M SjMYcnNflBkShnc
dGWSBX\AHqmbGCS OFJaHUmg\BHncnTBBJa_nSjZBjjKZ
GqKq\SeqmkUf OE
GKW\go eOqek`DVMSpQUWZqm
SAZaI OSEjWPmXQ
GWGBqbYkOn[M GWBZkaI[UM
GKWkUPmiQc SebY
OnIffGKn GWkUdS
OnX CWErc
On`` GKKKKKMkUWoRJ
SANZ OG
GWkUdS Orm_
Sj^aaPSjKZj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZj
SOqk`aDkTBPm NE
j^nUeJQh SkTgWRqmih[ihAibkaIk
OrmdG GKKW\SG^UkhcLpY
GKKWBKI p
GKKWHZAFJQHoJaeKmRBMRBHHWH OBqqB
ASqYCZIcgqcIOrIGKKKXPmQK^caAK SejdZU\B\BBqmiib
OnI GKWeCBSBKmDkM
SbnkOYkj SkjZ
SjYj OqmQ
GKWWeBRMSka GKKKqWfWE
SkSpYp Sebh
GWkodKg OGfHUIG
Sj^aaPSjKZ GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZ
O I
GW\gBJQ SkcgIXV`MhMYKZXm
SbY SjmjKhkWBJQELqpMfn
GKWeXm $
OPNGUomPmh[ dPm
OrmDkKGUWjdGomfkTemhAFqomb SjdPi`Wf\B
OComPSQ^aS]RjjS Sj^aaPSj
OdjdZa OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQa
SAd OdWPmiiibW
JbqOGY^ SVMGYWGj`a^caA^
SV`MfKnpcaPSBj GW\BGkXhOk^aS
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZj OnXES]CjZjKQjjQjj
OZaaP]C GWPmQK^cS
OdeqmhAQWkU\gf\BH^dGogWG Odh
On n
ShM SVMfff
OGWhVMY[`MfGYTBGCI`QGaIKeJQEaA Sj
SkVcffkd OdZqZmQ^nhoBMR
GWkUPmbkaS]RjBjBj]Rj SbEkaSjZjZ]jj
GW\BGkXhOk^aS Od_nSjKKKQjBjjKQj
bO]SWK^K OPjcK^
OSpcI`Q_n OPNGnpJ
Orm OrIO
SOfkd GKKcWW
OdDbnke W\hgeJQhJc\FXm^QnKqkX
GbWkanLW SbKnpQUknL
SkVNeXISbnTSkaI mn
GW Of
SAdHoKmZBRSeBS\ GLom\g\
OrIOSnS SjYInnSBjBj
OnXZJaEI`QGaIWBKmj^aSjZj OZSjKKZj
O`B OP_^nnLqCLqCLdWBBRqqRq
OEPmh CGWfPHmk
OFqm GW\OgBqm
SAFBqBWHHH SdgfeBHBHWHaWHH
OF rGp
SkVjTSGYdP OGogoKIP
SbqkVNESjKKQ OZUXG^aS]CjQjjZ]CjKKT
GWBKmMOKnh SOqbGgnWHB
GKKW\SG^UkhcLpY OrmdG
GWeBBHWHWWWWWWHHWHW KKKWfBBBHH
OdSnLd[IKKKWgo GKKWPmhEQTBfo
OBqqB GKKWHZAFJQHoJaeKmRBMRBHHWH
OPNZqmhPUrRrj O`EZHeKIO
OShgqaS SVMfYKESBj
OFKI GPmh[bBa[XTI
OSdKKWGqMKnpYC OSqdrISeebkZfn
GKKWeIO OdjYBk
On`WBqmihAh[Qc\Z SkTSHommJiQWk
GKWeJa hV`T
SkcgIXV`MhMYKZXm OnRhgq[MfYK
SAnecfGYkj^nnIVj SV`
SebYKGn SVMXrHSASf
Sjj NSVMY
GWAiAgqpdPm OEWdeKIGWPm
SAdheOKnpQaIcKNF^NFN GKWHK^^NF
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
GKWWELpcSjKQjjKQj]j SjYInnSBjB
Odhjkei` GQ
GWPmQWeqmQTBeJQ^caAkbkGPmiQW FkUoEm
SAZUeBMBWHWHHHH MOEBBMXBHHH
SNTBomPmQV OdHn
OVH^k`K GW
GoW OdDOqAGWeBS
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OEfNPm
OIaI OFqmQ
HW GWf
Sj^aaPS GW\BHIGWGCIcZjCSjZBjBjZj\KKQj
Sk`QH_qeT GWBBq
GKWWgBqmihAQWHaWeBMBWHWH GWeBBHWHWWHl
OdOHoBqMBHWWHHH GWH\FBqBHHWHWHHHHWWWH
Od hPN
SkkjCSBjBj] OZaaP]
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj] SjCI`QGaS]jjjKQj]RjjZjKZjZ]C]
MOEBBMXBHH SAZUeBMBWHWHHH
SeAn OrIOSpYke_^neP_jLjdEknnAVi
GKW\gkUkUGYBk \O
OdGUPmQT GKW\W
SAnX_pcaAkbfKU\SW SeeVMqAGknEd
Sk pjK
OZSjKK OnXZJaEI`QGaIWBKmj^aSj
OrIOSpYke_^neP_jLjdEknnAV SAne
OrIGK PDK
GKWGk`coX SANZBX
OPcY GZI
OFXmGaSj OComPSQ^aS]RjjSKZj
GWPmbeBqqSf\Se SejqK\UHZbqkkjCLrpYp``IMqbfY^UWZ
DPmQK^QUkaI[`MYc\ GWGkecGqbk
SbnkOYkj OGMeqLhEbG
VSeeAPN GWW
Seee]fkSEjWfWMjdaX GKKKKWW
CGWfPHmk[ GKWPm
Sk`aZBS\g\ O_
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OGfWZXmRJ
SAnREcq GKWH\necVnTUISW
OdGaLE_YCLh\Pi``aEIc rSeOqVMY^Udj
GWkUk SjbLXaKG
OrI]GW\fS GKKWf
`c GWPmibGBkrI
GWGBYTgH^ OE\BAk_M
OdHn SNTBomPmQV
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQjj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
OnXGUH\FXmEIVjVchMGn`agGCLpcLq SZjdZUWgf
GKWWWeqmibBXmMV`MY GWkaaAkk
GKWPmbBBSBXGOnXELEjW\gPmbWhejqMnKHoqmhPkUrj[QkeTVMqAnRqq``MfY GKKKK
SdgfeBHBHWHaW SAFBqBWH
SVMfn`a^YYdHSqjKRqCQkjkRqk`TB OFKISkW
DW\SoYW\`WdH GWfH
d Sk^aLp
SAnIhM Ok_WhenI
SejdrIGWeqmiiQWPmbBJaEaAWGpMnTg\BPmQW SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb\B
GoV Sk[``Mfn`a_dKKKK
OP SeBj
SAd OdWPmiiibW
SAEfeBMR_ GWBKmjkeiXRBRRM
SAFBqBWHHHW SdgfeBHBHWHaWHHW
GWfP dP
GWHFqV_^nqkiRnQ OEPmQ`Q
OP_CS]C Orm`HHeaWkaaA`QMjkYj`ao^QraS
OFqmhAQTBPmbBJQ SO
Ln`caKKKKKWG^ah\k[ Sjp
P SjY^nqke
EBp GKKWeXmeJ
SAdeBqSW GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK
GWkUPmbkaS]RjBjBj]Rj SbEkaSjZjZ]jj
OEHUmRKIGWH e
GWeBq SA[BRS\SfBBRM
OZnnS]C]Rj OComPSQ^aS]RjjSKZ
SANZ OG
GWkaaPaP OE_mkaaP
SAZUeBMBWHWHHH MOEBBMXBHH
O SOqAG
OFKmeJEQ_ SjYkIkrm^YjTBW_
SebK Orm`HHeaWkaaA`QMjkYj`ao^Qr
OPNEa QOdgeXm^QUPmhAh\KRKmEa
Sj^npQnnIc OP^YBYWWeqmQc
One_d \O
OE GqKq\SeqmkUf
MOEBBMXBHHH SAZUeBMBWHWHHHH
GKWeJQRqmhQK^QaaATS GKK
GWAiAgqpdP SVMqOqeekKRq
GWHFqV_^nqkiRn OEPmQ`
SRBqBWWZWWnHHWW OGBBB
Z $
Gj SbkGHa
GKW GWkm
GKKW\SG^UkhcLpY OrmdG
Sj^UPmQc^ddhkKh WrS
OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb SV`M
SbGqk^nL OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`MqbKnL
SVf`MqbfqejBYWPmobQBBSeqpihA SOqk`aDkTBPm
OGfHUIGK GWkodKgK
OZU OGBqmbfkaKaAW\g
OFKISkkbGknXeJaheAddPmih[QcFq[MnkbkFBSWdWEaA`QMAP Gf\Q\kaI^aLEX
Sbk a
SAE DW\SoYW\`Wd
fOS GWeKISe
Sjk`Vcn`a_naPI[`MkPiIkdESBjjQ GWGj^mSq]C
qAZaIV SeAdMV`Mh`MkP
OnIkZ JbqOGY^
SdgfeBHBHWHaWHHW SAFBqBWHHHW
OEBqmhbUmhPUrj[QKeXm_nnIWH OFJ
SbEkaSjZjZ]j GWkUPmbkaS]RjBjBj]R
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj On`TBfkaSBjjQjjjBjjKCKKZjKKKKf
OnIffGKnna GWkUdSna
OZaSBj] Sbn^aSBjm
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OEfNPm
OrmMkKdWDeOnWPmQTB GKKcW
pO GKKWBKIO
GKWfG^aLhUmMjk`akAjBh GWWGUGk
GbKq OE
OFq GW\OgBq
OEHKN GWWdSHKN
SjCSjKQj]CjBjjBZBjBj SAZaS
Ge GWPmQWBBSHgqcISVMn`Qe
OnX CWErc
GKKWBKIO pO
GWomeJ OZaaaaAK_dWBJ
GWkmW GKWW
GW\gGp`AMkGfXfH\Zn OS
_S SV``MqbnKEIWeJadPmQ
SAn``aDk SeCS
dPm GWfPm
d GWf
RFEJQHZjBqkejY GKKW\gkUeqmhPUrjEibHoJa_dWfPmibPmbBBSPmhEibGBfnWeBRSG
GWH\FBqBHHWHWHHHHWWW OdOHoBqMBHWWHH
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
SdgfeBHBHWHaWHH SAFBqBWHHH
SAdLQURHWfncISbKnnSS GKKKWkUfBBqqSBqmQ`QES]Rj
OEPmbBB GKWHUIOFJaeKIOGWeEB
GWH^Ca OZn\
Vnm SjkIkZn
OnRhgq[MfYK SkcgIXV`MhMYKZXm
OGHaKW GKWeJQRqmhQK^QaaATSW
b SbG
SOaYWf\\BBqR GWWZJad\gPmiQ`aZB
SVV`j Sk[
OZnh^CaAT GcW^kUjm\
OEPmih`EihPUrRrjAihPDjAhEh[bWMAEBBMqSknhWmo OSdKWPmibfo
P SV`MqbqeOqVMqbkZnnIK^Qn
OGPmhPUrRrjEQ[MYKGa OPcRGhMfkdE
GKW \cG
GWDUkaNIcaK OEPmib
SV``MqjkRdW\S\gkndKWH SebY
SbqkVNESjKKQj] OZUXG^aS]CjQjjZ]CjKKTj]
Od_E SeBj
O S
e OEHUmRKIGWH
GKqKWGdEPmQ GWBBSGq``MqV
On n
SbnKMj[YkqjpMK GWkUk
OZUXG^aS]CjQjjZ]CjKKT SbqkVNESjKKQ
GKWeJQRqmhQK^QaaATS OGHaK
k] GW\SPmb\
OPckdRKm_nSjQ OdES]jj]CBjPjQjBjB
OdWPmiiibW SjdrmZJQ
OEGjcaK SK
GWWdeBqS Oi`W
GKWBCKIGK OZaIVN^YBnTB
AGMEBqqAP_Bq S
On`Vi` SZVMY
GKWBBS\SWMejBk N
OGeKmDkkeVMYaK OFJa
Sjq WSk[``
SkSpYp Sebh
Odl SOn`QhbY
SdgfeBHBHWHaWHHW SAFBqBWHHHW
SbqbKUHgqTSPmhPDRrj SVf`MqbfqejBYWPmobQBBSeqpih
pOUX S
Sjp`MY SK
e $
OrmiMArm OEW
SOn`aZKmhOnTBGk`kV`Mn OP`
SVMGYWGj`a^caA JbqOGY
SV GWGCIWfPmQTBPmQc\EGCaPI`a
$ OP_CaATSfeKmZqmih
`BPb OZUkUBBS\SHFq^aI
GZI OPcY
GKWPmbeXm GWWdS
GWHgqKgHZ $
$ fO
GYPmQq[MdnRc GWk
GWfomHoJad OPiecYkAEB
GWBBqR O`B
SAG bGWe
GWeJagPmbeJQMV```MkE\BGddEfS]CBj OdESBj]jj]C]RjjZ
GKKKK GKWPmbBBSBXGOnXELEjW\gPmbWhejqMnKHoqmhPkUrj[QkeTVMqAnRqq``MfY
SbqAE hCW
Tkc^C_aAQhWb Seee
GoW OdDOqAGWeBS
SV SVVnfh
On]nSog OGPmQ
OGknd SK
GKWPmQKZqmiiQj OSdKKWGqMKnpYCI
OE_mkaa GWkaaPa
OdgGCaA SjqMffYkkTgd^YIpmkFqmiiQ
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
SOn`aZKmhOnTBGk`kV`Mn OP`
GWkUdSn SOqArmgBqmQVNEaAkV`MKaaP
OSnLEj SJX
Sj^UfGdZUWgGj^UeJaH^^aLY SbGqk
GcW^kUjm\B GKW
$ S
cU SkWf
e OFBSf
SV`MG Skekr
Orm`HHeaWkaaA`QMjkYj`ao^Qr SebK
GWeBBHWHWWHl GKWWgBqmihAQWHaWeBMBWHWH
OZaaP SAZaS]Rj]jjBj
GWkUPmbkaS]RjBjBj]Rj SbEkaSjZjZ]jj
SOfh``MqjBkP_kRqCIcZJ^aIkkc GKW\geX
ADhTgq^U SbqeeekK
SAnX^caPLnLhK^^NF^b OPNMkcKNF^NF^
GWBBM SkFXIOEWgpM^kjYqMKnENRB
n On
Gj GK
SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF GKKKWYfHFqWW^caPLdKWWEL
OShgqaSj SVMfYKESBjj
OGBBRq $
GW[Gk`[```MhMfGYWeXmDeO SV``M
Z OGHK^Nh
SjjW Sj
GW\BBXmRJaHI P
GW EGW\OS`KU
$ S
SjYj^ OqmQ^
SAnX^caPLnLhK^^NF^b OGBJQhkcK
GKKWeqmQVcK OdDAdIOfkP_dPNdogWH^jWPmh[bWjj^
SkKRKIGKWBJQH OS
SAEfeBMR_ GWBKmjkeiXRBRRM
OSqdrISeebkZfn OSdKKWGqMKnpYC
PD OrIG
OrmDkKGUWjdGomfkTemhAFqomb SjdPi`Wf\B
TKKKKgKWPmimcK SkcaW\BWMOkZUHK^NF^^^NFNF
SAne LOSE
GWHZk`aeJQRqmmiQ GWW_dWBKmELdKKKWfkaI
OSpcS]RjQjBjQ GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZjQ
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQ On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQ
Sbq ST
k OPNH
GWWdWMVMkrISjBk N
Sk Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
SjdPi`Wf\B OrmDkKGUWjdGomfkTemhAFqomb
OGfHUIGKKW GWkodKgKKW
GW\geKIOSdWW^QaS GWeJagPmbeJQMV```MkE\BGddEfS]C
OG\geB GKWeXmjj
SbY[MkdH^kRqBkdESN SOKaSj
Se SAnXqmhPUrjEiihEQKMbq
OE_mka GWkaaP
OEeKIOE\BkU Sk`QjdVeKmg
GKWfG^aLhUmMjk`akAjBh GWWGUGk
SjYInnSBjBj GW\geKIOSdWW^QaS
S $
GKWPmh[ AGMEBqqAP_Bq
NSVM OEGCLhFqTBkUHFq`QjBKUGqMKUknp
G^KWfGCI^U\gmbknnaPaA[N SjYj^n
GWeKmhj GWH\G
SVKgGqMncQUWELEiKaL OZUknd
DW\SoYW\`WdHK Od_qpMYWHK^^
OFBMqRBHHW OPpj^UeBMMB
GWkU GhWgg
GWWGaSB GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ
SjYBGfn Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
$ GK
O_ Sk`aZBS\g\
GZI Sek[MhMn
NSbQTCgGq GWBBSGq``MqV`
GW\OgBqmi Sk^UkndKW\Seqm
G _Gc
bO]SWK^KNh OPcGkrmMk^aLhKNheeeeeee
GW\SBWMAFqmihAbWH^dd GWPmbWg\gom
OSdWBKIOPjTgfepJ^YqM GKW\g
SaVN SkVcffkd
OSENZqmQ`QeJ OFqImi
GKWPmbBBSBXGOnXELEjW\gPmbWhejqMnKHoqmhPkUrj[QkeTVMqAnRqq``MfY OFKISk
OGkUknENgWDkcISjdPj _S
OFBSf dc
$ \
GWkU GhWgg
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
OZaIVN^YBnTB GKWBCKIGK
GS\U\Sk OSnIK^Q
OGPhAQ^U\Bo OGeBMRMSo
SOqjkREiRSjK]ZGjnQjjKKQ SkWeJa_nSjQjB
SOKUGjWWdHUIGWf GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQg
OGB SANZB
SOh`Mkd SejqK\UHZbqkkjCLrpYp``IMqbfY^UW
SjYj^ OqmQ^
CGWfPHmk OEPmh
SOGY`ahbqkVjkAEGkeNMek`QM GKWH\necVnTUISW
OE GbKq
OEGCLhFqTBkUHFq`QjBKUGqMKUknp NSVM
K OFJ
GKKKWPmQ`ah SY
SkTgGjKjk`Vcfn Sk`QH_qe
X GKWo
SVKgGqMncQUWELEiKaL OZndK
fOS SbncIOEHUIOFBSPmQ`agBKISeej^aIcZ
GWkaaPa OE_mkaa
SASnI SK
GWW_dWknpcS dGWSBX\AHqmbGCS
SAddHoqmhPUrRrjPUrRr OGBqOhPUrjPDRrRrjPUiRre
SAZaI OSEjWPmXQ
SjpMn _S
OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa_ Sk`QgBJQ_
GcW^kUjm\B GKKW\gPmbf
Sk Dk
] OFKI
HW GKW
\c O
OrmDkKGUWjdGomfkTemhAFqombG GKWG
GKWWgBqmihAQWHaWeBMBW rGKW\geBB
GWPkBqmiQ`a OPjKhkkeAdDkK
SZjdZUWgf OnXGUH\FXmEIVjVchMGn`agGCLpcLq
bO]SWK^KN GKKKKWGY^UeJaHKNFN
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj On`TBfkaSBjjQjjjBjjKCKKZjKKKKf
OdZKHDbj SVMfff
OGPmhPUrRrjEQ[MYKGaa OPcRGhMfkdEa
Od OnIfYkejjK_hUm^YkRhqBIUffffHZ
GKWB OGfHUIGKKWk
GW $
SkWf jZaaPITf
GWeJagPmbeJQMV```MkE\BGddEfS]CB GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZjQ
Oi` G
OdES]jj]CBjPjQjBjBj SAZaS
On`TBGYCS] OZUXG^aS]CjQjjZ]CjKKTj]
dMA O
On`Vi`c OcPjkk`QdBBqMSH
GPmh[bBa[XTI GKW\gBqmibHI
SVMYcFqkA $
GWeBBHWWWWHHWHWHHW [
SjjC` OShW
SOfknIK $
dGWSBX\AHqmbGC GWW_dWknpc
GoVW Sk[``Mfn`a_dKKKKW
GW\BGkXhOk^aS Od_nSjKKKQjBjjKQj
oSek` Sbn`
SAne OrIOSpYke_^neP_jLjdEknnAV
GKWkaS OZUXG^aS]CjQjjZ]CjKKTj
SOqbGgnWHBW OPNMOqVMnTgo
GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK SAdeBqSW
GWeJaEI^Ufka OrmeJMOn^npcLqYC
GWGBqbYkOn[M SBfG
GWf d
BOhSnqTBBqmhEh GWPmhPUrjPDjPDj
$ JPdcfGKaLh\
OZaaPSjZ]CBj]Rj]C OdES]jj]CBjPjQjBjBj
iWBKmj\Mn^l GWk
OIaIK OFqmQK
OrmeJMOn^npcLqYCS GWeJaEI^UfkaS
\ $
DW\SoYW\`WdHK SAEHK
SVMGYWGj`a^caA JbqOGY
SgOffq GKWBJaGaI[
SVMGYWGj`a^caA JbqOGY
GKWeXmjjK MOEBBMXBHHHWH
SjYj^ OqmQ^
OZaaP SAZaS]Rj]jjBj
HW OEWeqmihAiiQ^aaAWBKISkWBJQ_qjW
SV`MhMKnqC gOdGa
SdgfeBHBHWHaWH SAFBqBWHH
UcfYTSf\BHaKW\gBJa_hgUIS[G SjjVc
OZnf GKWBBSW_nL
GWomeJ OZaaaaAK_dWBJ
SOKa GWfGbVcGYGQGa
GWPmQKChbn`aEL OS
