27737
lcElh ^P^Kb
lmhNlO lcEl
QlGkdlKfR^W^MjpVJ lcE^VJElc
qMhU ^M
^JNNS ^W^eGNJ^]qaYW^eZB^
dhgbk lXSlcoBg
lPN dIqNnG^r^
l`gmBdR $
CWNPSS QbkJMZIIMCkd^JNJ
QfbLJQhL^hL ^YgRYFXFm
QllLnSo Sdlf[ojf`jaYn
dgU QlhSmjRdg
mg\l ^WlRYDkGhG
lPNWUUU Q`gMVZILlCN
dgc_l l
dlamB\` g
lXeNNS`F[_qB]oNS_NS_NS QlXSCkGXMnqjCWVJE^MpFB
lhl Sdlf[ojf`jaYnj
lP dl
^eZqKdjCEPeF[BjJBJNSFCEPJ ^JNeFB`F
d_ lhgPkdl
V`PkGKf`B\e^ dhf`BXQB\R^gKG^LF
gQlFXk ^VJE
^MhUhUnqKd QEl^f[Q
dSfZYjam lcE^TKao
QgQ^]h dhRQll
^WlmF $
dgPNEh ^WQgLCNrhdjndjCNUpdjjUUNhdjjNNUp
^SXkGmDSfZMg ^WQ[lhTLmBdaYjUlgcEd
lmInLnGk l[alUgMZIIMghbbk
KGkGp dGSCkGKeBVZMCkddg
Qbk ^eYWD
^W^VddhUlq^lL^hR^WdqBdU lPSfVZIMfVLZILfZMggcEQ
l`[POPkd^SXNhUp QlgmDSCSCSCkGcElXW^Ja
l\bkJMVVVVZLgqmjbkJSQgl^ N
p QgMZMCkGX
rW^qi_JBqkSXSggmDNrnP^j QbkJNr^XNhUUpdj
dl d
dhLm QgVr
dqlaBgJBVZMCN QgmR\RnRdG
^hcEd ^ekT`InaoB\`
dGSfSVZIIILCCkGPSCNhUUUUUUkph lhXNhUUUUUUph
ldlGke lKG^rBYDSgGkGXT`DNNWphJm
lRdGkJFmBgJMVVlV dXSf
lKSYjaY ^qXQb^mI
l\gQmjf[mjSc]]] ^T\lqmjmBXmKcc]
QbkJLg`FgJFmjc dg`PQhFdf[
dgR\RnSojSojGkJNrB $
dqmB\ ^JVdQbkJUSQihaYB\
lcE fXVXcE
lkPkdQb^ QgN
^Sq^XZWUUUUpdMn lR\`S^TPSghL^qnL^XNYUUUNNp
eXhq QllaBB
^WiB ^MpNJBJNS_
lPSCkd^MhUh^VJEl`PQOKf`B\` dhUgEgGlRXR
ojf[oBPMl^j ^dKMpMHWaeZEaT`P
QgdbSgq^lcmjSoBYDSgqB dehf[oB
lPSCkd^MhUh^VJEl`PQOKf` dhc
lm ^eTW
^MnX^qB^qPe ^eZqePW
QllR^WQlgKcYB l
^XloIL dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQl
Q \Q
dgcEdgcE X
Ql_q^GkG\gMVZI dleBZI
lmF\EfVVZLIggcE^WlK`G QlX
^eP ^djeZrB[`FBJ
dZmGg dq^gcEdhR^Mh^aVJE^WdXNYUNndjN
^VXKamjcmBgJl^JbkJMVZILf QlXgfV
glPE dg\lGN
^MpF^qPNS_J $
H QlhUgMVZMfVZLgg`p
dG ^W^Yg\b
^JV ^MhUpWV
^hcEd ^ekT`InaoB\`
[fg QlGSfVVVVVZMgXkdlmbSglRQg
QgdbSgq^lcmjSoBYDSgq dehf[o
^WdhLBderNhUph dGSfSVZIIILCCkGPSCNhUUUUUUkphJn
^qel QbkJS^T
dhRW $
^djeZB[`adjVd ^hlR
QgkCMGPNWUUUUD QgLgq^GNW
l`FTgJ\ECkG l
dhCRIQb Qb
lmbSfVVVMfVVZL lRgJBVVZIM
dl lmXRBZMfVVZMgl
QgLgG ^YhaYBBSC^
lXJa ^[qGFBM_J^qGF^_CV
DmI^ dgmI^lbkJQnUlGkGXWd
QlGNEjU BQSgmPNYUo
lhgcElcEQb QgQBXX
^ dqnLBd
dg $
Qbmk lmF\`l^
QgrNWpdj dGoNAdj
GJlcEl\lhfBde l\g
Qg dGqSfqILVZfbI
lPNnSYje^mBgJFn[S lKaY
QllLmjRdG Qgd
d_GNL ^ekqB[_eMHFKCVNeVJEdGNhpdj
Qg\Ef lRdGkJFmBgJMVVlVV
keG ^YgcE^qB^`NeF[qG
lmFgJBVZIMfVZMCNYNNph dGNWpSJ\
lXYI lmBkdd
l\lGSfZLCkdd lRYIn^gRYbSg
l`P ^SlR
hoN lcElKS
cqSM ^M
qQH ^W^CEkdKCEZqKdKMhUnXdg
Qgmc ]O
DdXRgleNrm QllLnSo
^MpMHEZqjePNSJNSJ PePbl
I\YMZLn QgLgGS
^eP oPYdE^
$ QglkJNLR
B QgQmB\`rN
lXSqmjcBjf[mBYI mlc
$ lRCVVd
QgrNr GdhqbkJPNi
lXMhUhUp lPkdg\cXkd^eGNJ[mNSqZE
QglRWFllco_YPh lm
dlR^qBBJJ[meVX` lQ`
dG dhamBgJm
dXSfVVAVZILglHYjeFB dgRYF
^aqprVd^W $
lmIBZk QlGSgXk
lPkdg\cXkd^eGNJ[mNSqZEMH lXMhUhUpMH
rW^qi_JBqkSXSggmDNrnP^ QgLgGNNYUUNNUpdjNpd
`b lKaYjf[oBXl^L`rSfVZMgXSfZILfZIMfVZI
lR\RmBX\Eg Od
Xl QbkJm
QlXSglSY drglLm
l`DSC dD
lhheS^TcE ^MMnEVd
dGg l\gF^X
dfd ^CVaJMHWF^_CFKeGaCF
edqnSm l`bkdlcEdq
lXWlcE^JVJ dhR^dKdVjVddgc
^JF^mNS`NNS_NSJeG ^QVF^_CVF[G_QeQirQR
lXMpNhWF[JNS_NS_CFKVJd lhXkddqmBXNJl
lcEQ lo\
$ Q
Rdq^hfbJ dlSBB\ekJ
^Mh^ ^JaVd^CEGkGMHEPe`
^daKJVddqnf` dlf[m
lXCEk OXCFjqqjp
QllLmjRdG Qgd
lRgJLCSCNrNph QKgnlGkCIBZcLJkd^ThGNhphJmJn
dXSfVVAVZILglHYjeFBX dqmjemRgJ
kd\Vd^Yg l
^rQlhG^rB\RBdaBjfJjU dqmjU
dlb^LFL $
^SOqBgS^JVJEl ^CFjMnEadjCWMHVVX
hLH dhLB
^JVdd^Nhpakj dqBgJBZLgXNr
^W fXVXcE
lmpXlORQod lmbSg
lA Qgnl
dg` Q
jdhRN^L ^CEk
^qB[meNNS lcEF^qB^_JSB
QbkeJQmjSB QlgKeLfVZMglSo
dgKf`BdeLOVZfVZMVVVV dlLmjeLfV
d ^MnBBqPJ[
dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQl ^XloIL
Lg[D l`POXWl
dGqSfqILVZfbI Qg
\Yh ^YhL^l
QmmFbSUN l\bkJdbN
^VXhGk ^djJVO
O $
l`DkGcEQdq ^YgRYFXF
QgrNNE dGNWpSJ\JmJ
dehf[o QgdbSgq^lcmjSoBYDSgq
pgNrJo^N ^T`
lnhqBMYbSg lh
dhbkJBVZLfi lXSGSfZ
lD`Pj QgSl`PQjhpl
dXNY dXNrFj
^JV ^MhUpWV
YZcEQ Q
^W^eGNJ^]qaYW^eZB^_ ^djqim
dGSgq^XN VXN
dXSfV lRdGkJFmBgJMVVlVV
^W^qiJ ^W^eGNJ^]qaYW^eZB^_
l\lXkd^J ^V
Qb^ Qb^JlqnU
HF lKR^CVMHWa
YXG lcElXVJE
rJY d
dGSfSVZIIILCCkGPSCNhUUUUUUk lhXNhUUUUUU
^WNQngdBN ^WdXkGPN
^TcEG Qgr
l`bNR_UUphpJ\ dGNrnhJm
RgJMWMl dX
lF\Rnem lcEdgmFXm
^JNeNeV ^PimNSJCVVcE^fXmbk
dGqSfqILVZfbIL QgL
$ qMih\
$ ^ThqBgJNL`FB
^CVaT`POcEdGN gl
lXMhUhUpM lPkdg\cXkd^eGNJ[mNSqZEM
lXWl`IPdNr dq^GSgGkGmDSCSfVVZIMgq
PNUUPjNjUPN\ dqBYbNY
QlXkGPkGKenq^GkGPNNWpdj `bkd_GNJEUpdj
lRdRdGkddXSgqmBXlkJdDS dhelDkJmcDEdqdalcBBdM\E
lmNDSgleBZILCSC QllUgnqB\RB\`\EC
lRXdbSCqkdlcEQlGNNhpdj dXNNNNYNndjhdjndj
l`I lblL
dlcc dGkGXSqBXnlc
dMLRlRgJrXgXkGYlGN ^W^CFKVJElhGN
lKaoj lhhUeg`FdeBj
$ QgMZMCkGRg
dlamB\` g
dhU QbkJdpljOXqaSklU
dGqSfqILVZfbI Qg
QT^` dghX
QgLg gh
^WlKXcB] ^YlaoB
^qY dXkGXqimJ
QlqmB] lhlLmjaBB
p l`IBgJQnLB\F
^Yg`DkdQgBVZL ^VJKElcimjfM`BQXRgJL
dX_S lPS
dX_ dX
^CkqXOGQP dg`POhGNA
XI^WQ ^JaqB[JCEGVX`Dkddg\
oPYdE^C ^ePC
d dKrdjqqjjnXQgQn^
dGk]RY QlgRY
^MpF^` ^LG
GdhqbkJPNind QlherNEnd
PNUUPjNjUPN\ dqBYbNY
^iqGMH ^qEMH
lcEpq QgSlcEdXkGmbSgq
Qb^rBgJnGkG`bkGKerNhpdjjUUUNhdj dhLnLBYDNfrndj
lRgJmmBNWUpd JdXNNhUHgpd
^VJElR dmB`QmB\ekJkR
dGSgq^XN lKSBmXdXNEj
N dherNAh
lXeZqKqB^mCFK $
` Qg
\SmB`FX ^CVaT`POcEd
Qlh ^VJE^eghq^q^qmj
Qb^L`BZMCSfV QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCSf
dG ^TKaoB
lf lmBSfVZMgh
dGkGXSqBXnlcm lgBYImjL^haB
^eZqKdjCEPeF[BjJBJNSFCEPJB ^ekMhUh^NJ^
^T`PQjOXJMHV `gXJMHW
l\gQ ^WQ^ZJQ
^JM ^MhUhUhAM
l gPSCS]XSfhg
dX df
Fml $
dGSfSVZIIILCCkGPSCNhUUUUUUk lhXNhUUUUUU
dgPSgGNNWUUUpdjnhJn rPkdQlXkG`eYUNjUUUUUUUUNhh
ecJTf_J[ ^CWaeZiJJB_CWF[JNSmeNNS
^VJElXV dFqmB
paE Qg
^Mh^F^JNSmNSJCEZi_eaJaSGNrj ^ePeaYhLnbkJMZILfVZIM`NNUUNjU
Qg\g lPkddq^
lXSfVVZIMfVVZILf QgBVVV
^TRYB lcELSgX
N Qlg`IB\F
l`F\`FneBZMfZLglcmBYPO`F\FL`m\bkJdIncoja hd
lcE^eGMEk ^
QgFmjamBXBZIL L^YgP
b ^MhU
dhR^qENJ[JCFKVJ BePCEGF^[^`VJ
NlPSghU Q
dGJgq QlqBYInbkJSdgPkGR
JeJ^`aMn ^q
QgrN Q_kJF^gP
^Mp ^ePUe
CWNPSS QbkJMZIIMCkd^JNJ
dqmBdGkJB dGkdgB
^TRgJB ^SgcEQg\EO
QgMVVZLgq^XkG\lgKSc]]]] qqmBYPOKScp]
^XloILqB dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQlqB
dXgRdRp^JVJEl dgXV
lRdGkJFmBgJMVVlVVV dgRdcBBgJrkGRdLnSBjf`jeM
^dKMpMHWaeZEaT`P ojf[oBPMl^j
lmF dGSgqBlRmjamMBYF
dg\lHGSC]fZ dleBZ
^W^eGNJ^]qaYW^eZB^ ^JNNS
lmplOhg ^TmBSRgApljOcEl
dhLB hLH
lXMhUhUpMH lPkdg\cXkd^eGNJ[mNSqZEMH
aqh` ^JF[`F
lPNNA QlNA
lcE^qi`F^mCVGFBJCWF[JN`MH ^qXlmbkGcE^qBB_C
D^X ^Vd^CVNeNCFj
^JVdQbkJUSQihaYB\FL lR\
lKcBf[IB\` l\g
l`FY dGk]RY
g ^ePJBmeF^qkVX`PhPjjhFX
lmFQ dG
dqnf`B\`MVVVZILC ^qB[qFn[JeF[me
lXMbni_BWFBqZEMH ^Wl`DSCkd^C
^WldOcEldDVSYBdS^rBXSl l
dlelkJ dg\lHGSC]fZI
dhaoJBXm\bkJFm ^ShcY
QllLmjRdGDSfZ dGSfZ
PNUUPjNjUPN\UU lKLBXMVVVZIMgXNhpdjj
oPYdE^C ^ePC
dIqNnG^r^ lPN
lcEdX mg\l
^HE`Cc lXYgPkd^qB^JeVJE^d
dglQVG lcE^qiJJ^_eG
Rdq^hfbJ QbkJlkJ
dGqSfqILVZfbI Qg
lcE^VJElcE QlGkdlKfR^W^MjpVJE
dGNddjhd l`pl
QCCC Q`CCCC
lRdeBVZMfZMfVZLggmI QllUlqmB\R^q^gRgJT
^MnX^qB^qPeN ^MpMHVFB`MQHVbim
^JdHFKT QbkJLgg
lRXdbSCqkdlcEQlGNNhpdj dXNNNNYNndjhdjndj
$ ^T`POlcE
lXeGNeGoQXR oPYdE^CWG_
dX dX_
lhGSgXSCSghG^L`F lKSmdamjL
^ePeaYhLnbkJMZILfVZIM`NNUUNjUU dq^XNEjNndjj
QlGSfVVVVVZMgXkdlmbSglRQg [fg
KmKLnaYjel ^WlX
Q dGkdlXdjeGadjKJHWaTnKSYjU
Qbk QEgdInGh
dgRYGN dGSCN
Ql_q^GkG\gMV dleB
^MnimVXm dg`plQO`
QgLgq^GNWU QgkCMGPNWUUUUDU
QlGSgXk lmIBZk
lh Kl
dlamjRQ ^SqneBVVZMfZLfZMCkGcEdXkGcElXJNCEZEMHVaeGaVXmInSBY
^W^JGirQR_Q lXGiQ
dhSYB\`QnSm dGSfVZMfVZLLpq
glPE ^YXN
lm $
dg l`
^d^ ^
^qB[qk A^T
^ePC oPYdE^C
dHG dq^lSBjG
lmbSfVVVMfVVZLf lRgJBVVZIMf
cjSS l`ImBgJNrmjLnaojRdXkddlLmBXNJbkJ\EfZIL
^VJ Qlmgoc_
^Yla lRgJdNLRmjernf[
lmbSggPSfVVVVZLgPlLBcE $
dXSCSCkGR\FLRnbkJ lKGJ
dqnbrr^I lKcB
D $
lgBYImjL^haBB lhheQB
QllUlqmB\R^q^gRgJT lRdeBVZMfZMfVZLggmI
lmplQQ Cm
DOqEBW^Wd ^Wl`DSCkd^CVNCF
^WQbkJLfVVZ QlGSfZMfVZQfZ
lcE lcEl\l
Fml $
Qll lhjhcmj
Qlg qMih\l
lmBkddl lXYIl
^JNNS ^W^eGNJ^]qaYW^eZB^
lhXNNAdj lPkGcN
dhgbk lXSlcoBg
dXSfVVAVZILglHYjeFB dgRYF
QgkCMGPNWUUUUDU QgLgq^GNWU
$ ^ePCEPJ[qkV
^VXm ^JVXcETl`
l`pljhIm QlhaD
lXJaePeG cFG
dqnR ^PimNSJCVVcE^fXmbkd
^WldOcEldDVSYBdS^rBXSl l
^B]KQ ^JaSqnf`BdU
QgnXNYUUNOIdj lcElcEdGSCNNhUUUUUpdjNpdj
lR\FL`BVZMCNrnd RdNdlOmDWpd
^W^CFKVJElh dMLRlRgJrXgXkGYl
lPSfVZIMfVLZILfZMg lcE^ShUl
dXSCN QT^`N
lcEWdXkddhL^g ^JVJEl
^qXeclKac] dhSc]
Qllc QllbkJnGSgqBdLm
^WldOcEldDVSYBdS^rBXSlhX dG
dlSc]] qqmBYPOKScp]
lcEQ ^JNN_D`iMHFKYqf`Bdn
lPkdd mS
dXNrFj dXNY
$ dXMGco`E
Ql QplhamjR
]eZQh d
Qb^rB C^VXR
dGoNAdjh ^VJEl`PhPhBNrNp
^T\lqmjmBXmK ^ekCEkYh
QlXN] lRXm`DSgGN
]J $
qm dgKf`
lPNYUNnh lXSgcEXeZB[PJBJN`VXrPfZLfVZLCNrNph
^dKekJF[`aMh^aeGGoQe_QXR ^eGUG_
^YqmjcBjc qiqkTmDQRmImjf`jS
dgK ^qXeclK
lcEQgngRYbSg ^P^Kb
lmbNNNNYN dGNddj
dX dlSYB
l`BSCSfVV QS^EkVdqQgBZf
lXeZqKqB^mCFK $
Qbk QEgdInGh
^WQ`CCCCCGC Q`C
dlRdgKLnaB rl`PhI
GdhqbkJPNind lPNNEnd
Qb^rmjf`B\e^rnU G
^dKjr]Z ^
dleBZ dg\lHGSC]fZ
^ePeaYhLnbkJMZILfVZIM`NNUUNjU lPNYU
^SgcEQg\EO dleLf
lRXm`DSgGN QlXN]
QRiI ^VdQb^LF
d QlhaYB
lhlaYjeBVVZLCNrhh l`bNNVWph
QgmhgKe\ECkdQllGkJnGSghUbkJBVZIL dX_S
^qi`NNS_N ^qBB_gXP
^J ^JNCWFBJCVNJ^JCEP[eNeNJBJ`B_CV
lPSCkd^MhUh^VJEl`PQOKf` dhc
^WlKXcB] ^YlaoB
lXW ^CWNNS_C
ddSCk ^V
^MhUh^MHE ^
lcEQlqmB\FrbR] $
QgL l\gdFdbkJm
^YXX lh
lhlR lKc
Q\EfZMfVV l`BSCSfV
^Sl lXTcEdlL
QRdeVZILCkdlFXEVgqn\k lPSglLBYFg
dlRlXSGN l]PNP
lXSfVVZIMfVVZIL QgMVVVZM
^Mh ^MhX
DmI^lR $
^ePN ^djeZrB[`FBJN
QgF^XSggRdao lmeYIncm
^YgXM ^q]XXFM
^e^Z ^JVXcE^Mn
^eMHF ^CEZiJJ^JCWNJ[_CF
lmBSggR ^MhU
dGJgq lmF
lXTRdRGN lmBSfVVZMCN
ndXd lmplQQ
^SGSghR dleMVZHMMfVZLCda
^eGN ^W^eGNJ^]qaYW^eZB^_
QgrSfZLCSfZLfVZ S
dg`ImjRlhh lRXSr
l`q ^T`
RlXJGiG ^JF^mNS`NNS_NSJeG_
QgSlP\N dXN
l`FgJ lKGJ
lP QlheLSI
^djeZrB[`FBJ ^eP
^Yle M
lKL^GkddhLnSoBYIm drglLm
dH dq^lSBj
dGSfZLCSghG^rneSQ Qc
^CFKTZXeZi`Gir ^JMHWGo
QllLmjRdGDSfZ QbkJBVZ
Qlqmj Qg
Q ^T`POlcEQ
QgMVVVVVZL Qgm`ImjeBVlSVVZIM
dXSghR^ ^CEVGMHVVJ^ePCFjTX
^JNeNeV ^PimNSJCVVcE^fXmbk
l`PhbSg[g l
lXqB[ lXeNNS`F[_qB]oNS_NS_NS
Qgm`BSghLnf[oj lcEdgOR\FLEn
QbkJrrZ lRgJ
dGNWphJ dXNIEjNjUUNjUNjNOdjNUUphJmJOJ
lRgJBVVZIMf lmbSfVVVMfVVZLf
r lXePeM
^JNNS gg
lXW^JMHVaC \lghJF[HJC
di`q ^MpaCF
^MhUhUhAMHE ^TXCE
d UE^g
m^TmDNhpodj QgBZIMCSgXNYN
lhGSfVVVVZILgghqBYFY QlqmUgd
Qgm`ImjeBVlSVVZIM dXSfVVVVZM
Qg $
$ dhRW
d lmXRBZMfVVZMg
dhcB\` Qg
lmplQQ ndXd
^JVXcElcE^VJE^SXkGKb^ Ycbd
lcE^qiJJ^_eGi XTYPhrp
^h^GoG ^CVNCWFB_NS`F[JNSmeadjqqK
lXeGaeZ ^MhUC
^dKVJEdlaYBd $
lRgJlkGmMll ^YlSYjL^l
gN Qgl^
dlfoBgJnNSfVVZ QlXkd^SqmjRQgLfVZMfZI
lmP Qg\\
Qb^LRnb^r^henGSfVZMCNYUNhhJOJ\J rPkdQlXkG`eYUNjUUUUUUUUNhhJ
^JV ^MhUpWV
Qcg dGSfZLCSghG^rneSQg
QllLmjRdGD lP
lcEF^qB^_JSB ^eGVd^qiqZi
$ lm
cKPONh lRgJmmBNW
dgXdKYGN dG^
dg`BSgXkGPkGhGN ^SGNNNEj
dgRNq lK
dqlaBgJBVZMCNN lPSCkGRdLmBXLfVVZIMCN
lK ^VX\lkGK
dl ^l
$ Q
dlcYBYpljOmImB ^V^dl\gR
lPNYUU BdLGNNhpd
l KGkGp
$ lcEdhR^YgXY
lhg elD
QgZMC lcEQ
$ ^eZ
lXT\lXSfZMgGNhUUp lmplQhDkGcElmPhDNYUUNhdjjUXNd
QgQBgJ lmBSVVVVZLfVVVZ
dhcBT dGSglLm
adf]h dqBYI^h
^WJElfBSC ^T`b
^Yq dlL^gKSc]]]]]
QgLfVZ dpSfVVVVAZ
l`KDE QgLgGNNYUUNNUpdjNpdj
nhqnamCBgJMVVZLfVZIMfZ QgBZMfVZI
PdXNNAdjjW lPNAdj
dh ^dAKeGVde^ShRlmFplOhqn
lhgcE ^ShlGkdqD
QlGkdlKfR^W^MjpVJ lcE^VJElc
dle\Eg[ l
dgR\RnSojSojGkJNrB $
^T\ gNrkJ
^MpaT\lle [fg
^YlSYjL^l $
Q`C[ l
QlgXT $
^CVdQlgKUgmXePS`FB`VKElXJGiC\Q ^eGadKMpG_QRieQRiLXRQ
lcEQlqmB\FrbR] $
mS ^JaMpVdd
QlGZN]Khpdj dgKSYBX\ECNY
^ekeG lgS^Mp
dXkddhbkJ\E ^qiSCFST\gBVZD
^TPSgXN QmmFbSU
cERYD lXVJElcE^CWaThlf[ojaoBgJBZMgl
$ Qg
QlX ddSC
^Vd D
\CJZ ^Y
RgJMWMl dlcBBdGkJdb
lPNrjNhdjjNjUNNpd ^Sq^XZWUUUUpdMnd
^ ^q
oPYdE^CW ^ePCW
QlqBYInbkJSdgPkGR dGJgq
lA Qgnl
Qg\\ l`bNEjNhhJ
dGSfZLCSghG^rneSQgQ QcgQ
^CWMHWVd^DMhUpG ^Mnq
^M $
dIqNnG^r^ lhqBgJFmjcYB\`QBXdD
dGkG\gFm dhepVZMZMfVVZMghSm
dqmjaBB lh\gqf`B
lPSfZLfVVVV lhGSCS
$ dhRW
^JF^mNS`NNS_NSJe oPYdE^CW
dhLnf`jaBBYbSgq ^MpFB_NSJJ^_CFjShSYB\RBXQmja^
^Yhf[ dhepVZMZMfVVZMghS
QbkJnGNENUUUUUpdjjNnh dGNWpS
^qEM ^iqGM
dq l`DkGcEQdqm
Qib dgKaojG
dGoNAdj QgrNWpdj
^ekqB[_eMHFKCVNeVJEdGNh `bkd_GNJEU
lcEQ lhhYcBB\FLekJmcEdhLBXnqmjLBWXFbkJd
^WdlSojf ^daKJVddqnf
dXN ^dLKT`FgJdB
l`I^GSfZMgq^X lPhG
qMhU ^W^M
^WQ[lhTLmBdaYjUlgcEd ^SXkGmDSfZMg
^ckRO lhgmI
dqBdR^JGopR_ QgLglRl\bkJNLekJF^gXJGieQXR
dhLnLBYDNfrn ^YXNEjNh
lKcBf[IB\`B QgMV
dlemXCEZqKCWF^_eFBqkC ^JMGWMH
lXMnB[ ^^qi
dlfoBgJnNSfVVZM lR\RBgJ\ECS
^YGkd^WdgRYPOhhGkJ\ECS VdX
^eGGi ^VbcE^ePJ[JCVHaJ
dqmBd dSfZYj
lcdl dh
dGNNNAdhjjNh lRgJLCSCNrNph
^eGNCWNNSJ ^eGVd^qiqZi
lXeNNS`F[_qB]oNS_NS_ ^JNCEP
lXCEk OXCFjqqjp
Qlla\Yjcm ^ThlLB\RmBdL
lPNnSYje^mBgJFn[S lKaY
QgCCH Q`CC
dhLnLBYDNfrn Qb^rBgJnGkG`bkGKerNhpdjjUUUNh
^CWaeZiJJB_CWF[JNSmeNNS ecJTf_J[
QlqBYIB dlRdrf`B
lhgcElcE l
QK[QYB\ Qb^L
QJqBgJSl l
lPSCkGR l
dqm ^rQlhG^rB\RBdaBjfJ
dGNNNAdhjjN lRgJLCSCNrNp
$ dFqmBd
$ ^Sg\
^hl QgMVZMgq^gK
Qlhe \eb
dgmbNhUUU dhGkJng`FLCNW
lXSqmjcBjf[mBYIB mlcB
lmplO ^MB^JCFjT\gnXSCkGmIm\`dPf
dSfZYj dqmBd
^TKaoB dXkR
dXkd^qB[_eneMHE ^e
QgF^XkddqBXngKLnLBYP $
CFj lXJNeFB`a
dGkGPSfZ ldalhFgPJMZ
lmImBYbSCSfZ dlfoBgJnNSfVVZ
l\g\EfVVZMfZMfZ lgRdUblgKbkJLfVVZcI
dhelDkJmcDEdqdalcBBdM\E l`PhDkGXYhbkJL
^qXdXNNAd ^Yqnf[mBgJdPhDNWUpedjhh
lMh ^Wl
elXVhRlR ^q
lRXdbSCqkdlcEQlGNNhpd dXNNNNYNndjhdjnd
dlLB dXkR
dGSfSVZIIILCCkGPSCNhUUUUUUkphJnJ ^MpVdlhhLmBX\ECNYNhhJ
^MhXU ^MhU
lRgJMZMggXMh^F^ ^eZqKdjCEPeF[BjJBJNSFCEPJB
Ql_q^GkG\gMVZ dleBZ
^JMH l^MCEPJBmWMHFKrPF[`aG
QlXNNhU QgdBNAjNh
dLlLBLJ l`p
^JV^^W^TP lP
CWNPSS ^Mni`F
QlGSgXk lmIBZk
Qg paE
lPNNEn GdhqbkJPNin
^CeZie ^JF^mNSqPJBqZE
QgN lkPkdQb^
DKNR ^ShamjaYB
QgMVZMCSfVVVZ lgRdUblgKbkJLfVVZc
^SXSf l\lqBYbkdlcBdglcE^YXSfVZqMfZILfZLfV
lPSfVVZLfMglleLfEZMCSfZMfVZghSY lcEdgXTKf`
QllSojaojaB ldSl
^^dGhSikGGXCE ^TXe
i dXSCkdQlg\gQ^Gk
g^YgP Qb^r^GSfZMglaYBYBSCkGhG
QgMVV QTXSCES\f
^iqGM ^qEM
lmF dGJgq
QllLmjRdGD lP
ldf lPSCkGRdf
dl lmXRBZMfVVZMgl
^JT ^JMHW
QllUgnqB\RB\`\E lmNDSgleBZILCS
lcEdXNrNUphJ\JnJ dXNIEjNjUUNjUNjNOdjNUUphJmJ
QgkCMGPNWUUUUD QgLgq^GNW
^fh^q ^JF^mNSqPJBqZEM
d ^aqprVd^Wd
^ePeMHWNJ[_J^qZqKTcElm NPkG`
QlheFmjRlP ^^WmU
^CVF^JJ[_eGoQeoQeo lXeYPeNNSJJ[`ahh^GogQRiLXR
^eZqKdjCEPeF[BjJBJNSFCEPJB QgrkGXqEF[
$ l`ImBY
dgc_ $
o^G l
^VXPNW dhGkJng`FLCNWUUU
^ ^d^
dleMVZHMMfVZLCdad ^W^JNNSJeaS
^SrB\RBY l`Ph
dGSCNhph lXMp[Je^mCEZB[_JVMHVVXXSXkGXPkddXkGUGNAh
V`PkGKf`B\e^ Qb^
^qqjC cj^C
dGNWpSJ\ QbkJnGNENUUUUUpdjjNnhJ\
^WJElfBSC ^T`b
dGNddj dq^XSfZMCNYNjN
^T\PhGkJNro Q
dX dD
lR\FL`BVZMCNrn RdNdlOmDWp
QgLCNNWpdjhhJ dGSfSVZIIILCCkGPSCNhUUUUUUkphJ
lhgcElcE l
rQgLg QbkJFBXQ^
QlqmB] lhlLmjaBB
dhLBg l`bNNVWph
^djeZrB[`FBJ ^eP
^qXlmbkGcE^qBB_C lcE^qi`F^mCVGFBJCWF[JN`MH
lRgJ h^WdqnRlYPhBkdQg
QllLmjRdGDSf dheB
l\gLgq^iNW lXT\lXSfZMgGNh
l`D lX
^CEkShcmoB dq^gR
^JNNS ^W^eGNJ^]qaYW^eZB^
QgCCH Q`C
lcEdgmFX lF\Rne
QgdDSCSfZIMCkGKSmBYB lXMpNhWF[JNS_NS_CFKVJdG
lRgJBVVZIMf lmbSfVVVMfVVZLf
lhXNhUUUUUUp dGSfSVZIIILCCkGPSCNhUUUUUUkp
dX ^WldOcEldDVSYBdS^rBXSlhX
lRdGkJFmBgJMVVlV dXSf
Q` dlRdgKf[mBgJmXePNSJNSmNS_
QbkJlk Rdq^hfb
^Y lp\Eg
a lcEdqBXF^q^h
dAcjE lcEQ
dGSfZLCSghG^rneSQ Qc
^T\PhGkJNro Q
dqlaBgJBVZMCN lPSCkGRdLmBXLfVVZIMC
MPNYU lPNr
dqnS ^qXeclKa
dG Qb
dgRY ^JF[_NS_NSJCFKdjSq^
l\ll qiqkTmDQRmImjf`j
Qb V`PkGKf`B\e
^YGkGR\`MVZLgG ^k
n^Jh dqBgJBZMCkddhf[oBXdPhplQOXM
l\g\EfVVZMfZMfZ lgRdUblgKbkJLfVVZcI
^YqnGkJNrBdf` QlqnSYBTb^LRBYPmPj
dq^Gkd^qBBqkSXSgq^XNNhUUph lRrLMCkd^VXPNdNYNnh
^eZi U^MNJ
dGkd^Jg ^JGijQeoQei
D^ ^Vd^
lXYIl lmBkddl
^CVF^JJ[_eGoQeoQeo lXeYPeNNSJJ[`ahh^GogQRiLXR
Qlh ^VJE^eghq^q^qmj
CWNPSSB ^eZB[
ldXSfVVZILCnZlRlKbbLe^ dlamjf[YBdUgN
