25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe fKhFkKF]edXRWK
fGZlZNGP[MM[iPEPE[ UWpLHTJfGXke[P[ZOGXke[P[
FNJJ SOhLPeEjrhPeEjrhg\IdPTPPT[iF
[LHgPTPTPTPT [g\g
AL L\
[FjIOTPT[imS[ \]`SJP`^
lSkRpT\[KTfY \HH\]`SW`SJP`^KTSD
UNl UGic[V
o[ fGic[
\]X^a`SE`S \HTJfnS
JkGP[Xkq[P[ZlXke[i o\UGXPMe[i
UGXkike UGZOPaq[kP[P
UpaQ\ FJ\hRkeKh]Oh
\hRkYeS]ToFkYDk\dXRP fG
\UPZ fRX
SDeLg\W\_DePlMmj [LbkLPeEjeEjYEj\EjeEjQ``olihjqq
]P` SO[a`SW`^
Uh SOh
\]`^L A
fp UpT\
fN fRNNR
Aa`^KfRn]`SJcQX \U
SO[a`^P`S AC`S
SOQ\SQTg SeNFR]THZ\jIDTPT
UVDDrF]kRXCT JkYkT
ALUiPP[ae[P[ZNKh]ehR]] SeSQ
SkXGaq[aik gXk
FNJSeejQYT [L
FJJUGiPEc[P[ZOPXkq[P[aq [RkcQRPP[imc[P
\]`SJP`SW`SJP`SW`^P` Aa`^F`D
Up $
$ FgN\
JGaq[aN[ic SO
UVDDrF]kRXCT Sk\dNOXT
[FjIDTPTPT[\g[i_DDeFF $
n^LQXVO] [dNNn^P`SW
mrS^DOUPZ ALUNO
A FJRHT\[L[
Aa`SJKTUeFFkYeRkn \]`SJP`SW`SJP`SW`^P`
UPP[aike[aq[iP UNTk\dPimP
SDO]` AiKDO[P`SW`
SDO]` AiKDO[P`SW`
\[J[SW`^ AKTJkpLQ\PbcToFkRO]`SoW`^
ALhF]DedPP[Xke[ZTk SO[Lh
SDeLg\W\_DePlMmjqqq [W\jeEjrhP\EjYEjrmjqq
[P`^P`SW`S UWpL[a`^P`S
U`p FNJUp
gJk UWKRk
AP \D
SkTrDVlD fRVkTrDg
Sk \
$ fcApTJ\]k^K
UrX UPP[P[X
[FR [dX\h_kXWchhkSQ``]`TPeEjAeEj\EjQ
fnJ AJ
JkGaq[P[Xkhq[Xke[c[aikq[ai UPai
fRPaqP[ZXT [h]OQT
AKT[L rYeL
FNJ[ \]P`^KTJkKdX\
AL[G \[a
JLbR``Tg\IDT[i [h
\ \TJFNJAL
$ J
UPaeIicZl UWcUXXNlP[ae[aq[P[P[ZOG
eP FJ\HH\HT\[L[KTFNJ\HT\hP
UWGP[PkZN Seh]O
f EI[F
YGJRk UNNGXkik
AKTUNTO JkcUXFk\Udpa
UXIVkXPZ JkGic[Z
SeSeEj\EMjrh JkGZOVk
jUGAi fGi
fRX\hkLbR`]````TokSrm SDeSYEj_gm
$ mrS^DO
Aa`^KT\]`S AP`JBS
FN\UWRWGic[iPEc[iPEPEc[ZNKhF oOWTrF
UPn UWpLHTJfGXke[P[ZOG
F\[ AKTFJ
\[LKUNTeF]k Sk
[h]OQT fRPaqP[ZXT
fKFkW hSDeF_eq
P A
FN\QT ET
fKSYEj\Ejrh jPi
SkTrDVlDr FJ\QTr
\U `UpHJfRXR
mLQ\Wg_ UWKFkLokhR`obr_SSn
AJ[^KTUpHJAKTfYeL ^cjg[iR`obG```]K``]T
fYOhPZ [hR`obM\EjQo
$ IQKT
fRX \UPZ
[hRTb_DOHTJALUpTJAa`SW`^KTfGXke[ URXFk][
X UPP[aq[ZTeSrmo
UGP[Xke[iPEPE fGE
UXTrDgrD \HrH`JTOV
JkcQXVOK]`SJJ[ AP`
GESePlg_S]l SePlGobr_
L\ SDOHT\
SDk\ KFN\`^a`^Lh
SOUbWRWRP fKdG
SDeFFOk AL[KTfRXRpHJ[h]OUX
SO]`SW`SW`SJKTJkYkXpH \HaZTJFJJ
FJJFJ\hRkG UNOQNN^
Aa`^P`^P [SrhPrho_O]`SJLL]
UPq[P[ SOUG
S[LbQkRNN]kG [RkcUpH\UP
FNGJfYOHH fKRkRpH\HT
FFN\h JkYkRNTOhhk
[LPrhojDT[ikLoE fGZlic[ZXRpH\UVDOUVe
[ UXXpahAk
fc]`[P`S UGXke[ZXRPZOWnS
[dVDeRkpL]`SW`SJKT\ \hdVeRkcHTJUXXp
FN\UMWcn U
UNl ALhdX\dNC
ALUiPP[ae[P[ZNKh]ehR]]o [h]kXVeP
[U AP`SJLh
UNOGP[Xkikikike fGZGaq
\TJ $
AJ[^KTFNJfGP[iPEPEc[ZX Aa`^LQRfXTSD
FNJ\]`mWY \hdX\F]O]
[hkSYEj I[dLP\Ej
AJ[^KTFNJfGP[iPEPEc[Z FJ\hFOhd
$ UGXkikq[ZON
[e $
UXXVOhFRol f
FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRk [h_DkRW
[LIOrTPTPTPTPT[\ Sk\hj
fYDDeW \HhPloR`obGol
FN\QXVOhdVOMKTSeSY [SeEjeEjYEje
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ fRPic[P[
Uh SOh
FJJf fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[Z
U FJ\Uj
AKTfYeSQ`]ToRTbjIOTPT[ijg[ [LHIOTYN[\g[
fn^P TAa`SJP`SW
o fGic[Xkq[aq
UXTrDgrD \HrH`JTOV
fpa`^P`^P` FJ\[KTfGXkik[ZlP[icc[ZNn
fpP \[IKTUVDeh_O]
JkpT ALHHJ
FN\QRpT\]` [h_DDO]X`gP`
fpa`^KeSFjj\g JkYeLHg[ijIDTPTPT
\UPZ fRX
UNNE UW
[hFkcHahFkRkKF]kXWp JkGP[icMXkq[aikq[ZTOT\B[
JkcUGXkikq[P[Zlic[P[ZOVOQ\FjW\_klWmmWmm \kYklW
[b UWYeF]eLHg[\IOTPT[\
eAJ[^LhR J
\]`LHTQm f
fpKT[W fYkp\W
ALQ\ hfK
AL[KTfRXRpHJ[h]OUX SDeFFOk
SmDe_eLHW\FkKRkUdVceW FJ\UWRXXGXke[ZXRWpKTSePleMob
AP`SJLHTJUNX\SeEjE [SYEj
FN\hRkYedVedWG o[
bkYOHTg\]`SW`^ AJ[SJ
[Lhj JkKSeEjgm
o\UGXPM JkGP[Xkq[P[ZlXk
QL [Plo_eh]DO
FJ\KXXRRGiPEc[Xike[Zl UG
AKTJkpLQ\PbcToFkRO]`So \[J[S
SeLg\IDT[iFkRVOhRkchRkYkl \HH\ZKTTJkSRVl
JkKp SDkRWYe
Seh]DDDD qD
[SeEjQ`] SOhLP\EjQj[
Jkkc[PO fc]`S
fc FVJFN\
ArW\hFkLDeSmj FNJAKT[W\jgmjqq
SDOhh \UNNKTfKh
FgN\ $
$ OFW\Y]n^KT
[PlMYEjQ``olr_ [WG]or_
fpa`^P`^P`S FJ\[KTfGXkik[ZlP[icc[ZNnS
ATfKZX fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k
UNTe [FjLiFkK
\g`hJa` AP`
L $
FN\hW [PbeM]`Tob
fnJAT[hkmr JkYeRkYkRWKLh
UZXXXX AK
XVJ $
JkKS fKShP
ALQXpHJFJJ IQKT
fKShPg FJ\[LhPbMg
[LokLo JkKLoRTgW\_
$ q
fYO \oNlZTkXVO
FJ\UPZTDeF]D $
UPPi[ZgIWnJP SDO[P`SW
fYDOHaUpT\[KT[dG SkdG
[dPXkq[ZTeWGol [jPlp`]ol
ALhS [SYEjg
JkYkT $
FJ\hhR`Th SJJFJ\QRWc]`SJLhLoFkpLhPgbm
fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`SJ Upa[
\[P`^KTAKTAa`SJKTFHh FJ
aFk_RToF [LgikRkYeW\j\EjQoloF
\UVOUGi U`GXke[iPE
iN\HHJSOHH\HT\h FJJSe
rY fY
SWWiP\Ej [LPYEj
\hWi fKF_egli
UVDDeLHWUEkSeEj [S
\hdNIO FNJFNJ[PloFkc
JkGP[ZXTT SkTrDg
[LoaR]]S SeP
\fIlmW SOQlWmW
AP`SW`SVJP`^KT[ UPZX\RkRpT\]`^P`SW`SJL]`^KTfK
SklWWW JkcUPXke[ZTOhFkh]jDklmWm
\WYklmmmXm \[KTfcUXlm
fGP[Xkq[aq[ R
UeP AP`SJP`^LUX\SYEjQo
[a FJJfKPl
FN\ Yn^L
[dVO] A
UNNl fG
F \QX
f k
[RkKF]Dk UWVqDCk
SDOQXUQ U
UW UPic[Zf
fRXTSDkgrDg FN\UXT
\]`SJP`^ [AFkn]
AKT AP`SW`SVJP`^KT
SDkXWYk F[
\hRFkRpHGJ[PbeQ``] SOhRkc]`^P`^a`SJa`^LhhR]
SpUWGZXXXRGZlP[P[Xkq[XkNke[ JkchdPiPEc[Xke[ic[Xke[Zl
FNJ\]`mWY UPic[P[ZNpP
FN\[L]`SW`SJLHTUV \HHJJkY
fYk\SghoDkdVeLg JkYOUWKLg
FJ\HaUVehkh]eLg\W\]ehR`]]Th ALhSm
JkKFR``]olG \hSEjQ
fYOhWGo[leM]hj fRX\hkLbR`]````TokSrmj
o ALUGZTO
fcUNXUpakhhRobV_SY [Wr_]
EfYk\dGXkq[q[aqc`[P[ ALQXP
PUOYRVDe UVePlG]THW\khk
JkGZOXP JkGaq[Xke[P[
fGic[ UWpJ[SmW`^K^FNJOUWeRPXkikq[n
\UNNGaikq[ZlXke[Xkq kRPZTkXPZOXhYkdGQeP
L\ FJ\HT\
[Lhj ALhSmj
fRVkX ALGiQ_h_D[L^GZ
UWK [P
FJ\H\hRk Jkn^a`^L]`^P`^LhF]O]`SJP`^KTf
UWYfeS fKS
FJJ\QX \^UWqP`SJLHHJfnP`JP`^KTfGZQTed
FJJ[RkRpH\HH\hF Ln`SJLhFkgqXk
PloE\k AP`^Lh
fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[ZG fYkRpTJUWYkXGP[ic[iPEPEPEc[
[SrhPrho_O]`SJLL] AP
fKP U[pH\hWMehEjYEjQ`]]o
fn^a`SW`^P`^KTfKFFknSW`SW` FJ\hRkeKh]OhRkn
SeF]O[KT FJ\HaPcKT
HgBfYePK SDePbKVV
FNJ[J fcU
[h_e S[Rkc[KTJkKdVehk
jUGAi fGi
[F]OH \U
o\UGXPMe[ FJ\UP
A FJRHT\[L[
AL[K Kp
[Pb N[W
\]X^a`SE` \HTJfn
SedGXke[ fGm[
UWR SDk\hjIOTPT[\g[\
UNNYa SO]`^P`^LU
C $
fpa`^P`^P`S FJ\[KTfGXkik[ZlP[icc[ZNnS
UpahdXlmm \HH\ZKTTJkSRVl
Up SDOQXUQp
Up SDOQXUQp
JkKhWF [hF
UXRpHJnfY fYOQRWY
U Y[HX
FJVADUWpSh FN\QXVDe
UPP[ZlXkike[P[Xkq[ZXTVlDTrDgV gfC
[dPplX FJJAKTFNJJkRGP[P[P[X
ALUX\iP[Z AKTJkYedpTJALUN
fcUVDehkRk ZeJk
UPP[aq[ZlZTOHT\hh]eFjgPTP APSW`^KT[LHg[\gPTPTP
J[SJP`SJa`SW`^a`SJa`^K \]`SW`^K
fGm[iP SedGXke[iP
\[K ACP`^KIAa`^a`^K
Sq ALUPXkq[ZTk\FRTPYEjQobib]edVDk\dVe
o FN\]`SW`SJJ[^
UVDkTrDTrDE hSDOQ
[FkFjIOTT[ijId[\gPTPT[ Aa`^LhF
SkRKS\Ejr SeL
fRGaq[iPE UNOpaQ\dp\]`SJKTALUPic[P[Xke[ic[i
J[SJP`SJa`SW`^a`SJa`^ \]`SW`^
oD\F[_QlmWSN FJJAP`SJLQlWWWWmmmW
UWY qS
fY IUPZNSW`^HKT\UpTJS
PkT UXT
$ \hLokF]DDePb
FN\Ha[P`S LAL[J[S
SDO[KTUNXRNXRNNchhkSQ` UGZNchWG`````oloR]Tod_eFR``
[PbeM]`T [LHIOTPT[\g[\g[iFkKSQ]
UpTJUWGP[Xkq[Xkike[Xkq[i fYkXWYQNUGaq[i
fYDDOLQlmmWW UVklmW
WfYeR FJJJ
FJ\KXXRRGiPEc[Xike[Zl UG
AKT fch
fBkY [RkY
FkR fKR
FN\QXV \QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNY
JkYDDOh SeMkLHIbT[\ZDR`]`TbFc[P`SW`SJKTXSOQ\
Jkc q
UGZOPaq[kP JkRPP
JkKRkp fcRUNlXkeNKdX\F_DX[KTFJJSkRpahdNlZOWnp
FJJSe iN\HHJSOHH\HT\h
[hkLoRT FJ\HahLbRFol
SDehkLgikFjg JkpP`^a`^fTUWKPbibjgPTPTPT
AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea[P fn^KT\UPaike[P[P
i AKT
fKhRTPghgiRTPrmjq SDeLg\W\_DePlMmjqqq
kXWGZTkRpH FJJFJ
\ fn^Po`^`^LhFkYeRkpLQ\CM
JkNn^KTZRk U
FJ\[P`SJa`SJKTUXT FJ\NQTSDT
`UpHJfRXRX f
Up SDOQXUQp
FFkRpa] FNJ\]
\hF_OHH\]`SJP`^P`SW JQkpP`^P
FJRHT\[L[ JkGZNn^
ALQ UWVqDCk
NX\RkRP UG
fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik oXXNNRGa
\ FJ\Ne
\hPl\jrh [JWoeSQoli
fc]` \^`
JkRVD lDDeqh]
fYOhWGo[leM]h fRX\hkLbR`]````TokSrm
JFNl[a`^J[^P`^KT $
JkKh]kTrDT \]`SJ
nfRTPSe[ZTklemWm [F_klmmWW
[dWGP[ZOX UXRpHJnfYk
okn^a`^P`SJLhhR``]]o [P
bkYOHTg\]`SW \]`SJP`SW`SJP`SW
[hRTPe UWYfeS\
GKTUPXkq[Xka[ZlP[aike[NpP` JkpP`
UPnX UWpLHTJfGXke[P[ZOGX
bkYOHTg\]`SW \]`SJP`SW`SJP`SW
U FgN\U
FNJfRpHFfIQY FN\HT\UVD
UNTDePboRTgi UXh_eF
\Q\D_\P SeWG``]o
AL]`SJa TAa`SJP`SW
ALUGP Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[aq
SOHah m\hi
fKRk Uch\bk_h_DDehdU
fc[P AC
Jkpa`S Jkkc[PO
fchdITmehjgPTPTPT[i_ JkRVD
SOUG UPq[P[
[h_DDDDklW [hR]Tb_DkTS`DTrDTSDElW
A [RkGXkike[ic[ZNcHa[a`SW`^J[Q
JkKpd SDkRWYed
JkKdpH\]`^L fcj
DhiJ[_Rpa[P`^KT[ fK
\H \PFkk\EojrhH\_UXp
fGm[iPEPEP UPP[aike[aq[iPEP
ALhF]DedPP[Xke[ZTk SO[Lh
UeiPEcc[i \h
bkYOHTg\]`SW`^ A
UVDDeLHWUEkSeEj [S
UX\LbPk UVk\
fYO[KTUGaikikik UPXkike[Pae[ic[^
JkcUGXkikq[P[Zlic[P[ZOVOQ\FjW\_klWmmWmm \kYklW
\HH\ZKTTJkSRVl FJJSklmWWmmWWWmWmWWWmmmmmm
FJ\H\hRkG ALUGic[
SDrDklWmWmmcWmm [Lgi_klWWWmWm
\]`^LUX JkpdThDOQ
J[ Jkp
Aa`SW` LAL[J[
fGm[iPEPE SedGXke[iPEPE
UXRVOda FJJAKT\
fKWo]DOhP UGZNchWG`````oloR]Tod_eFR``o
fGZlX JkHX
XdpV FNJFN\
fYO J
FJ\HaUVehkh]eLg\W\]ehR`]]T UXRWQSJJ[^a`^KT[dNXRpTJSDOQ\Wbk_DeFkL
Yn^L FN\
FJ\[nTJkiOUVeF] S
JkRVO]`^LUNNn^ SDOH
[h JkKhW
\UNOWKPb UWKb
SeLP\EjQ]]]ol \UpTDJFJJ[V
fYOUVOGPPbMghbR`T FJJFN\UPP[aq[P[ae[ZTDO[a`SW`^LQRGP[Xkike[P[ZTOUNNYDeRkKF]DeWeQT
ALUV UGk`e[aq[aeW[P[ZNC
AP`SJJ fnGSJP`SJKT\]`^J
UpahS\EjQob [WG]o
fpP`^K [LQ
JkYePlo]klmmWmW \QckDgVlDEl
UpWNT Seh_
GqfK JkKFjIOTPTPTPTPT[i]
fGm SedGXke
fK SOhdXRpHJ[SrhHId[\g[\W\kFkP
Jkn^L]`SWS SDO]`^L]`SW`S
fg_n fYO[P`
\g`hJ \]`^P`^
SDeF_DO]`^KT\Ha]`SW` fnJ[
$ [RSkpKT
fRPaqP[ZXT [h]OQT
[ \[L[LUV
UNB [hkRk
SDO] AiKDO[P`SW
fKP U[pH\hWMehEjYEjQ`]]o
UPP[Xke[ZX UP
[hFkcHahFkRkKF]kXWp JkGP[icMXkq[aikq[ZTOT\B[
SkXXTckD eTAfe
SDDk\Plg_]G_FeQ]TPghg fpa`^KeSFjj
S GpDlO[KTJkY
FJJSDD PloE\kF]
$ fY
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[i JkRGi
JkpP`^a`^fTUWKPbibjgPTPTPT SDehkLgikFjg
fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k UgNfXRNX
\[KTSQD [dVedpT\hhjIdPTPTPTPT[ijIdPTPT[i]
\hdN [dPfZlNXkikq[aik_ke[Z
SDOUpT]\HTJFEJ \Ha]`SJP`SW`^KT[h_DOQRpHJAKT
SOQlm fYk\dlmWmm
SQ`oljU fRVDeWg_SF\jg
SDOhRpITWK \UWpL[KT[Lgi]eL
FN\hLHgPTPTPTPT[\IDTPT[\ fYOUVOGPPbMghbR`TH
SDD \HT\hLoI_
UGP[XQke[ZT UNlP[aikq[ZTDkXGXki
S[LbQkRNN]kGZ [RkcUpH\UPZ
fm SOhFkF_D
Jkn pagSJJ
SOUWGa Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[a
[FR]`TPeE SDeSghP\S
]LcaS AP`SW`S
SDeSYEj_g fRX\hkLbR`]````TokSr
U JkYedNlXke[MZO
JkRVO]`^LUNNn^a` UVkXVDehR`ibFkpP`^P`
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aik fRPic[P[aik
JkGZOpaQ fcQ\
B[KTUVeLb] fcHHJfGZT
IfGZl fKdGP[
$ SGOhdpHJ
fKSeEjQThjq fKJS\Ej\Ejrmj
UXkRGic[Xkike[ZOX\hjIOT[iRolMYEj [FkS
[lb_D S
AP` \hdNIO]`
f FN\h
FN\hWGTPQ``ol\jQ`obG`]` [kWT
UGiPEc[Xkeai \UpH\UWRNXTrDTrDEXVkRPiPEPEPEc[P[Xkq[X
\]`^KTUVe \[P`JKfUWokhk
bkYOHTg\]`S \]`SJP`SW`SJP`S
\[KT\h $
[dKeRkKhkP [P
SDO]`^L]`SW` Jkn^L]`SW
KTSe \UpahhjW\jIdPT[\IDTPT[\g[i_DO
Jkc bFJJSDO
JkGZN FJ\hRkeKh]OhRk
bkYOHTg\] \]`SJP`SW`SJP
Aa`^J Y\HHJAJ
\HT\]`^LUNlP O]`DSW`P`^LQPiPEc
FJJAa` AP`JBSW`
AKT[ XdpVh
JkGP[ic[ [gFRTHD\]OQG
$ OFW\Y]n^KT
AKTfHRPP[l UGZOPXke[
AJ[SW`SW`SW`^KTUX\W ]h]]Ya
S ScDePlV_F_S]FeM]olib_
[Pl\j\ \hS
eSDehjIOT[\g[\g[ijg[i \HaHaQ\Lb
FJ\[KTfGXkik[ZlP[icc[ZNnS fpa`^P`^P`S
FJJ[ AKTUPZTDO
Aa` AC`
FJ]o\Q^ \UVDO[LHTJfRXTSDTVkD
fDiegRkY fRNNRV
\]`^P AL[KTUpHJSJ\[a
[P \]idc[Tk\Rak
[S\Ej\EjghgijIDT[iR`TP\Ej\EjQ`TbF gkZ
UGic[VZ UNlZ
FJJfYDOh \UU]e
UGP[ae[Xkike[Xkq[Z [dXXNYlZN_
[hRTb_DOHTJALUpTJAa`SW`^KTfGXke fYkXWYQNUGaq
FJSklWqmWWWWmmWWWmW SDklmWmmmmW
jkdKp [
SO[P`S UPNnC
\Q\D_\ SDDeWeMTb]Oh
FN\[KTfpP`^KTSD jfrpY
o\UGXPMe[i JkGP[Xkq[P[ZlXke[i
FN\ A`W`^KTfRpja
Up SDOQXUQp
SDOhSr JkLKS
fpL[L[KT\Q\ ]H
JRp\ FN\Ha
F \HaHaHH\]`SLHH\[J[^KO
oFJ^K\hHgi[ijg AKTfYeSQ`]ToRTbjIOTPT[ijg
\HH\]`S AP`SW`SW`RW`SJP`^`
$ J
JkcQ\h_kTVe fRXTSDkgrDgVe
AP` a`SW`SW`^P`
SOQlWmm AKTdVDOUPZTklWmI
$ ALQXpHJFJJF
SePbr_FoRo [S
OV^ FJ\]`SJP`^KT
\QlS \HTJUXRVklmmmm
rrkRV S
UNl ALhdX\dNC
fcj JkKdpH\]`^L
JkGaq[P[oTeLP\EjYEjQ UPic[ae[ZlZTDeLbR``
Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[ SOUWG
SDedW_LQX [RkR
Se UXXVk\g
UNOpaHHJ\Ha[P`^ JkpPS^
gJk Jk
fGP fLYDORPaq
UNlZ SSO]`^LPRN
[RkpL]`^LhLo_OhLoRobg_nn [h]ehkFRolaG``]```]olV_]
[ [U
\Hf\QGkE[ FN\UGP[
SOUWGaq[ UWYOHHo\hdDGaq
SOUpT\HM\Ha]`SW` Aa`^a`^P`
JkKp SDkRWYe
FN\[P`^ AKTJkpLQ\PbcToFkRO]`SoW`^
Aa`^Lh PloE\k
FN\[CT` AJ[
\UpHJUPaq[Xke AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea
SeRkGaqj[ZNn FJ\[a`
JkGP[ FJJSQRPae[
Seh]DDDD qD
Jkpa`LhLh FN\hWiP\Ejgm
Aa`SW`SW`SW`SJa \D
JkYDeW\jQ` Sk\LgIDTPTPTPT[\Z\R
FNJfKhFkRKFkn[SW`^P`^J SOHT\]`^P`SJJ[^KTFN\]`SW`SJP`^J
JLbR``Tg\IDT[i [h
JkGZOpaQP [SQ]`o
\QlmmmWmWW fGXleWam
SOUNlP[ZO FJJALRUpHJSOYKT[FkR
FNJJkcQ \VDkI
SWWiP\ [LPY
SeS\EjQ]] Sk\LgIDTPTPTPT[\Z\R
JkGic[P[ZlP[P[olP[P[Zlaq[Xkq fGic
JkpJ fKRkPpaU^r
a\kKh_[ fKh_D
JkYkXXTVlEDERpaHT\ Aa`^L
a J
FgN\UN UN
$ FJ\
fKh_D a\kKh_[
\UU]e FJJfYDOh
[SrhHgPTPTPT[i UXReNlaiknqh[ic[aie[ZTeFkFkPlo
[RQ` A
A fYOHJ]`jSW`^
FJJSePlGol\jeEjQol q[Pb
FNJSehjgPTPT FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THg
[Srm jPih
JkpJ[S UX\SrQTgQikdNTOHa[P`SJP`S
SDedWGP[P[ \Hf\QGkE[
[ A
JkYeRkYOUNOXVhkSe [dVeFkSYEj\
\[KTGXkq[iOc[PL JkGaq[
oFJ^K\hHgi AKTfYeSQ`]ToRTbjIOTPT
n^LQXVO fc
oFJ^K\hHgi[ AKTfYeSQ`]ToRTbjIOTPT[
I[dLP\ [hkSY
UVDkTrDTrDE hSDOQ
[Lo fchdITmehjgPTPTPT[i
ALhLb_ a\kKh_[
fg_n^ fpP`^a`^L]`SJ
\[a`^LQX FJkHHJUN
JKrkH S
SOQ\FFkGZOVkTc \UPP[ZlZNcGZTkXNlP[lic[ZXk
fYOWTJ AKT
\kYklW FJ\HTJ\QlWmWmWWmmWWWWmm
TAa`SJP`SW fn^P
AnHJfnS]`SJK SO[a`SW`^K
[dPplX FJJAKTFNJJkRGP[P[P[X
UG \[KTFJ\QRN
\Ha]` FVJFN\]`
[RkpL]`^LhLo_OhLoRobg_nn [h]ehkFRolaG``]```]olV_]
$ fcQXW_cUpT
\]`SC`SJPMS \hh_OQ\FFkn^a`^L[L[J[S
SkRNN UNNE
ePb [Pl
UVO[P`SW`^KTSOUGiP FJJSOHQRGi
[FR [LP`
fYOQRW UXRpHJnf
ALHHJUPXk_ SDDedPXkeXrkq[aik__
SDOhRpITWK SDeF_eWeMT
\UNX JkcUPXke[ZTOhFkh]jDk
fKdNNpKT\HTJFNYJ \[J[^KT\
JkpJ[SJKTUXXpa]`SW`SJP` UPNnCW`
FJ NgDT
[ rrkRVe
SkRVkR FJ\Uj
fYOhPZ [hR`obM\EjQo
kXWGZTkRpHJ FJJFJJ
J[SJP`SJa`SW`^a`SJa`^K \]`SW`^K
\]`SW J[SJP`SJa`SW`^a`SJa
Jkp `
UGae[iPE Ri
Ue \hLokF]DDe
$ L
FJJSk [Pb
[h]ehjIDTPE^T FNJSehjgPTPTPT
FNJSk\Rkpa`SJL[L bFJJSDO
FN\QlmWm FJSklWqmWWWWmmWWWmW
\]`SJP`SW`SJP`SW bkYOHTg\]`SW
[XZPb [Pbr
JJRIN Aa`^KTfGZ
LgiTDeSeEHrhb SDOUWYeLgi
[dVeFkSYEj\E fKJS\Ej\E
FJJ\QX mrS^DOU
\HHJJkcHaQXWfP[iPE[Xkikike[P[aq[Xkq[Kaq[ZOWYe fK
FJ\UWKh J
\QRpHYJFN\HTJFN\HH AKTFN
\UNXTVkD ]
FJVADUWpSh FN\QXVDe
jUGAic[ fGic[
$ \]`SW`SJa`^LUpH\
FJ\HaPc FJJ\hdGZTO[
\WYklmmmX JkKh_O]`^L[LQlWm
JJAKTAVEhS\j ALhLP
AL[KTfRXRpHJ[h]OUX SDeFFOk
EfYk\dGXkq[q[aqc`[P SDedNOPP[aike[ZNYedGiPEc[ic[ic[Xkikikq[P
AK Bho
UXXGic JkGZOXPP[P
fp [FjICYT[VFkp
Jkn^P`^KT nchRkpKb
SDeSghP\Sj [LP
[hkRk UNB
FJJFJ\hhkF]e fY[KTFON\RPbok
UGP[i SOUbWRWRPP[i
JkcUPae[ZNKLHZ\FkG AaF^a`dKTSedPP[oXkiq[
[LIOrTPTPTPTPT[\ID Aa`^LHahhjIDT[\IOTPT[\gPTPTPTPTP
JNJfI A
fYO[KTUGaikikike U`GXke[iPEc
UWcHH\]`S ]LcaS
fRpTJWWokPloR`q```T_YEjgm FJ\hhR`Th
UNOGa UPnXk
A fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`SJ
UNTDe SDeYjc
[dVeFkSYEj\ fKJS\Ej\
Jk FqLfKTJRW
ffnSJL \
fchdITmehjgPTPTPT[i_ SD
JkGaq[P[Xkhq[Xke[c[aikq[a [dNlZOPXk
UPP[P[ Ur
FJJ[Rkc]` \^`SW`
[h]k JLbR``Tg\IDT[i]k
[Sgmj BchW\cjrhh
UNWK FJJ\[KT[
ALHa]`SJaa`SJKTSO[LQX Seh]kRGic[P[ZO
oGP[ZNYehOR`]]o FN\hP
oFJ^K\hHgi[i [F
UVkXVDehR`ibFkpP`^ fc[a`SW`SW`SJJ[^
fc[a`SW`SW`SJJ[^ UVkXVDehR`ibFkpP`^
\[P`^KTAKTAa`SJKTFHh AKT
AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea[P[ fn^KT\UPaike[P[P[
AL[LHaUG fDkRGXkq[Xke[ae[ic[
UpTJ[FR]obMQ``]]Tg\gPT fpa`^KeSFjj\g
BO[J[SJP`S UNNRpa[L]`SJa`^P`S
\HT\hLoI fchh
fYDOh AP`SW`SVJP`^KT[
lDDeq FJ\UWK
fRX JLbR``Tg\IDT[i]k
UPic[P[a \QXGi[Xkq[DP[a
FJ\HaPcK FJJ\hdGZTO[K
AP`^P` ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^P`
SeRk $
X\ Sk\
\QlW SDrDklWmWmmcWmmW
eM[EW]SJKTUVeFkP FN\hLbkRkKP
[hR`obM\EjQob FNJQFJJUVDO]`SJKTSeW
[Rkn^Ph^ UpHJJkp
