46193
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
AA EBC
BCEC EDBEABADBBACDDDADDA
EDBABDEE DDCD
AACE CEDDDDABDBDDDADCCBCE
DAAB $
B BBE
BDEB AEBCED
$ CBA
CAACC CEB
CD C
EDBDCDBABB CBC
CCAE AEDEDBCECCCCCE
A BDEA
DAA BD
$ EBDAEEC
$ DAAB
BBEBBDEB CC
EC EEE
DAEDD ADBA
CEDDDDABDBDDDADCC CECAABBCC
AC BCEDD
EDBDCDBAB BEDEBB
BE D
ADCB CC
AD EBDBBB
A EB
DAAAABADE $
DD DCA
EDDD E
AC DBBDBCC
ECB AC
DBDE DDC
$ DAAAABADE
BCBEBCEB AA
AADDEDBCCA DE
BAEB E
AEEB BCBADBADAE
AA BCBEBCEB
CEED DB
EEEEE CB
CAAEEEDEACADECCA DECEE
DED DBED
DDDAC A
CBAED BAEDCDDD
D CDBB
BAEBD BEEBA
BCB ACE
D BCBDABDBACDDDBDB
DAEDDACDCEBEBD CC
ECB ECBEBECADC
$ CD
D C
ACCEB CAABCDEB
CE $
BCBDABDBACDDDBDBD DD
BAEDEDAE CB
CECAABB CEDDDDABDBDDDAD
AEBCEBADBCE CBDEBDDEA
DAEADAAA B
CCAEDBBDBBDEDDDDECDC AADCEA
BBE $
DACDEA ACAE
DDCCACBBB EBCC
ECBDB AE
BEAADABBAD E
ECACBEDDAACEDEEC DBBCD
EEADBCBDBDDECBB DE
DCAAED AEBECCDDDBABCED
CECAAABBEDAABC ACD
ACE E
AECDD CBDEABCEBEEBCDBEABEADB
EDAEA EE
CBBEBA CEBEB
BE ACDBCCCA
CECEB BCBDDCDA
C EBCC
B BDEDBAA
BDE BCDBE
ACA ECCE
DAEDCDD CCECD
AA CEDDDDABDBDDDADCC
CEBE ACD
D CBEACAACCDD
B CBDEAA
D AEBECBDBBBCBE
ACDECE ACDBCEEBADA
A DBBDBBDDDBBCD
ECBDBE DAABAAC
CCE CCAEB
AAB C
BBEDCDDD CBDDA
DEEBDBAABCBDCA DDEDAABEDA
AADDEDBCCAD DED
CDCBCEADAC BBEDCDDDDDD
EDBBCCED CBCBBBE
CCC CACABEB
ECA D
$ CEABBEEBD
BAE AABADEABCEAEDAA
B BDEDBAA
AEBECCDDDBABCEDC BAEABAEDDEDAC
CC CAEAE
DC AEDDD
ECB BEEB
BDEAB AD
DDEE BDEB
$ DAAAABADE
CECAABBC CEDDDDABDBDDDADC
C EBDDBEAADDBD
BAEDEDAE D
CEB DDB
DECCD AEBECCDDDBABCE
CBB EC
CBDEDBCEADCDDD DBBD
BCBDDCDADDC DAECE
DC BEAADABBAD
EB DDACDA
CC $
CCEC DAEDCD
BAEDCDD CBAE
EDBDED BCCDCBDEA
AEDEDBCECCCCC CCA
DCA DD
CADACD BBEA
CCAEBEBADAB EBBD
DEEE CCAEDBBDBBDEDDDDECD
DBE EDABD
ADE A
CC AAEACE
CCEBCEEBE CADEA
AABCEDAD CBDDADDD
CAEAEB CAEAD
DDBCBBCD EBEDEDB
$ CBEACAACCD
DAAAABADE $
BDDCCAEDEEDA DAEBD
BECCE ACB
DCBA EBABDAC
CEB CADAC
B DCE
DEEBDBAABCBDC DDEDAABED
EEEDDC CCECBAECAD
EBABDAC DCBA
ECBAA ACAA
B BBE
DEEBDBAABCBDCAA DDEDAABEDAA
BDCCD ABDDBBDBDBAB
CEEADEADA DCBBBBBACBBCDBDE
BCACEBEEDDEAEDBEBDAA CED
DAADAEADEBDA $
CE ECEECBDCE
BAEBDDEEBA DEBBEDEABEABADB
CEDDDDABDBDDDADCCB AA
BCBDDCDA CECEB
ACEDBB CE
CBBE D
CEABBEEBDCE AEABE
A B
AAC CDEECBCE
A D
DBEB AEDCBAEA
EB EDD
EBACCA EDDBBAE
DD DECAAEADEDCEB
ECAEDBABCADDBB EB
EBABBBDBD ECACA
CEACCEAE AEBCEBADBCEB
DEBDBCCEACA BAAC
CC EEECBC
CCCECDDCAEBCCCC D
AAEEBAABDBDA BEAAABCC
DBCBDDECDD CBEDAED
CEAEE E
ACBBEBCCAAD D
EC CD
CAC BCECB
CBE DAAAABEBED
BB ECB
AEE DAACBCCD
CDEBCAEBAE BAEB
AE $
EDACDA EED
EEECBCEA CCAEBDBC
DDDAECA AAEAC
BCEA CDEECB
AAB C
CAEEEDE A
AEBECCDDDBABCE DCAAE
AEBECCDDDBABC DCAA
E EBB
BBE DCBAAE
A BD
CCBE ECB
DDBCEDCCC DAECADC
D ECEE
D BBBEA
EDEBCE AEEEEE
B EEDA
C ECDDDEABABEA
DDCD DDCCEABCEADC
BAEBDE A
CEAABCA EDC
EB CCDE
AA ECAB
DAEAABBB CEDDDDABDBDDDADCCBC
EDACDA EED
AACA CDEECBCEA
CD DEE
CCCECDDCAEBCCCC D
BCAAEB A
EBA EBABCADB
$ BBE
BECAB BBEBBDEB
ECACBEDDAACEDEEC DBBCD
DEEEC CCAEDBBDBBDEDDDDECDC
AED CBECB
DC AEDDD
AADAEDE CEAEE
DDBA BE
BDCCD E
EDABEBBD EDEBCE
EC B
EDEBCE AEEEEE
BCDCABBDAACDC CA
D ECA
EBEADBD A
BAEBDDEEB DDEDAABEDA
ECCE DEE
CECEBDD BCBDDCDADD
CE CEBEBECE
CCDEBDEBECC EBAEADBAD
E BEAADABBAD
$ CEBEBE
EBDDBEAADDBD C
ACBEBBAEBEC CBEAEBCEBD
ED E
ACC CAABCD
BBEA BA
$ DC
EDDDBD AA
ACBEBBE CDEECBCEA
BDE $
D BAEDEDAE
A CAEEEDEEA
BC DBE
EBB ADEA
A BAEBDE
C ECB
EC E
EB A
EBDBDEEAE CEC
CBEACAACCDD ECB
CDCE C
C D
CEAE $
BDE $
ADEC EBA
$ E
BCBA CCECDC
EDDBBABB AEEBBBECD
CED $
BECAC BBCCEEC
BCBDDCDA CECEB
BE BBE
D C
CCECDC AABCEABC
CE E
BBE B
ED ECCEBDAE
A EB
CAACCEA BBEBABEA
AED C
DEADEACAB CEEB
BAEABAEDDEDAC DAECADCC
AEDECBEE CCAEBD
DAEBEEEBBA ECCEBDAE
CCECDDBD AC
C D
CEBEA DD
CCB ACAED
CEDDDDABDBDDDADCCB CECAABBCCB
ACAAEEEEEAEA DBDD
AD BCEEEEDABACCAEB
AB B
DCCD DBBDDB
EBED E
CCC EBCDBA
EA EDADBEABA
EB EDBBBDD
AADBA BEC
$ BDEA
AA E
CAEADE AABDD
DAEBCDBAEBD CECAAABBEDAAB
EBDC BAE
$ AC
B BB
DD EDCEE
CDACEBBDA CAABDCABEE
BBBBAC CB
A $
DAAAABADE $
CEABBEEBD AA
CDEBCAEBAE BAEB
CBECB $
BEAED EDEBC
CDEECB EECE
AEDE BAE
ACC CAABCD
ACBBEBCCAA $
BEEDDBBEAB AEC
BEA BEAEBECCAB
CDD C
EB $
BE A
CDCE D
CD B
A DD
DE AADDEDBCCA
A B
E EDADBEAB
AAD ABBEBDA
EE BDEB
AEBECCDDDBABCED DDEBB
EE AC
BEEDDBBEABDD B
ECCEBDAE DDBAE
EC BEE
EDBABDEE DDCD
CDEECBCEA BEA
CBAED ADED
EDADBEAB E
AC DC
DEBDBCCEACA BAAC
BEB AADBDE
C CAEA
DDBBDD DBBC
$ D
EBDBDEEAEE CAABEAC
BCBDDCDADDCD CBCBB
B EDCE
AEBECBDBBBCBEA DA
CBDEAA CCCBE
ECAEDBABCADDBB DCAAEAAB
DECCD AEBECCDDDBABCE
CBBEBAEA $
$ CEBEBE
BB DCBAA
CCAEBEBADAB EBBD
AA B
AC D
BCBEBCEBC AAC
AC ECB
$ CDDADBDBBD
CDCACC AAD
ACCE CAABCDE
AA CEABBEEBD
DAEDCDD CCECD
ABCDB DEBA
$ AE
DAAAABADE $
AED BA
B EBBCBEABEAD
BBE BE
B BDEDBAA
$ DAADAEADEBDA
DBBDEDBBDD DCBBBBBACBBCDB
ACB BECCE
DDEEDBDEA B
BAEDEDAE D
A B
AE CADAC
CCCED CD
CEDACBCDEDCCD AEBCEDCDD
EBEADBDE AE
CCEEA CACABEB
C CBA
AABCEDA BDEBCD
DEBBEDEABEABADB BAEBDDEEBA
$ CC
DAACBCC EA
DDEAABEEE DEDCEBEEB
EDBCA DDCEDDAEDBDBBD
DBDE DDC
DAEDACDADEAABDEEBBDDAACEADC BCEECBADEBDCCDEBAB
ABDDBBDBDBAB BDCCD
AEBECCDDDBABCE DECCD
DDEE BDEB
E DECDAEBDDD
CECEB BCBDDCDA
CCDCBD EDBEABADBBACDDDADD
DEBDBCCEACA BAAC
AE ECBDB
E DAACB
DCBA EBABDAC
D ECA
CCEBCEEBE A
ECCEABD BCDCBEBBAB
D $
ACBC ACEDBB
A EB
AE $
CEBEBECECEB E
$ CEBEBE
DEBDEAB AD
BEACEACBAAEBEECCCB DAAACCDDBC
C DDDADBCAACADA
$ BDE
DC CA
AAEDE AAE
CCA ADCBA
C ECCEAB
DDACBBEDC AABCEDAD
DAECAD DDBCEDCC
BACEC CCAEB
BAB DDEEDBDEAAB
ACAAE DAADAEADEBDAD
CEEAEDCAE BCB
$ BDEA
B BAEAAB
DECAAEADEDCEB DD
$ CEBEBECECE
AD BCEEEEDABACCAEB
CCC CB
DBBDEC DEEEBDADDB
EA DAACBCC
BEEDDBBEAB EDED
$ CBBEBAEA
AEBCEDC BDEBC
AAC CDEECBCE
CAACC AEC
BDCCB CEACCEAE
CAEDDEBDEEBD AEE
$ CD
EBBBDD C
AADB DDDEDCEADAEDECABCC
DDDACB DECAAEADEDCEBD
ACE E
$ BDE
BDE $
DC AC
BAACBC AEDAA
ED BBE
E AA
AA E
ACB DDEBBC
DCBBBBBACBBCDB DBBDEDBBDD
EBBCB BE
CC ADCB
CCCECDDCAEBCCCC D
BCBDABDBACDDDBDBD DD
ECEECBDC C
BBEA A
CC BCBDABDBACDDDBDBD
DB AAADCBEBEBDDAD
BDEBC BBEDCDDDD
CBAEABD ADECDA
CECAABB CEDDDDABDBDDDAD
$ CED
ECAE AD
$ D
BAEDCDDDAD DAED
$ D
$ CC
AA E
CC AA
C CBA
CBAEBBA CACAAEECBBE
BDEE CEDCBBDBDA
EED EDACDA
E DAACB
BAACB E
ACBAC BBEBDEDAEC
EA EDADBEABA
CAEADE CAEAEBE
DCA DDC
BBEDCDDDD BDEBC
E EBBDAADACAB
DDCDD DEEAEACCB
EC CADEBEC
ACBCEDAA AEE
BCEC ED
EA C
CBDEAA BEB
CCE ACEDB
D ECA
BEDD E
BBB CEC
BA CEBEB
DBBCD ECACBEDDAACEDEEC
AEBECCDDDBABCEDCCC DDCDDC
DD CE
EDBA DAE
A DD
CEA DDDADBCAACADADD
DDEBBCAC CDDDBBDCEEBABC
D C
ECDED DEABDEBCEEECAA
DBEB CEBE
B DAEADAAA
EDDDA ECBDB
DDDAECA AAEAC
CECAABBC CEDDDDABDBDDDADC
DEBDBCCEACAB BDDC
E BDCCD
D DC
AAC CDEECBCE
DAAABABBEDCDDD BE
CBE DAAAABEBED
D DB
CCAEBD BD
ACE BCB
CECAABB CEDDDDABDBDDDAD
BE CDEECBCE
EDBEABADBBACDDDA BCCDB
CBAEBB DAACEACBAE
EBBBDD C
EBDBDEEAEE AABEEAECEBEEC
DDDACBA EEDEA
AABCE DE
AEEB $
C D
DD CE
E ECAEDBABCADDB
DAEEB ACDBCCC
ACEE CBAEABDAE
AAD CECAACD
BCAAEB A
EBB B
EDADBEAB BE
CEDDDDABDBDDDADCCBCE CECAABBCCBCE
DBBCDECDEDEDEDBBCDECD BCBABDBBEDBBDC
CCC AAED
AEDACDC DAEDCD
DDEDAABED DEEBDBAABCBDC
AEDEDBCECCCCCE CCAE
BDEA $
CEAE $
AD ECAE
DC D
BDEBCC DDEA
AE $
ACBBEBCCAAD D
AAED EBAC
C EA
D BCBDABDBACDDDBDB
DDEDAABEDAA BAEBDDEEBA
BCE AAD
CCA CEC
CEDEDDBCDCDEEACDECCA ACBAC
CEDDDDABDBDDDADCCBCE CECAABBCCBCE
EDAEA EE
ECDBBEBDBCAEEBACDBDBCBBDDBBD DAADAEADEBDADB
AA EDDDBD
BCCDB EDBEABADBBACDDDA
DACDEA EBBD
AEB ADECD
CCEC DAEDCD
$ AE
DBB BE
ADECD EBAD
CEDDDDABDBDDDADCCBC AAC
BBEBAB CAACC
EBDDBEAADDBD C
ACAAA BCBBDBDBCADDBCDCBE
DBDA $
$ B
BCCDBDD $
EB DEB
A B
CECEBDDC BCBDDCDADDC
AECD DAED
AADB DDDEDCEADAEDECABCC
EDBDED CEDEBBEA
CCDEA EB
BDE BCDBE
BAABC BECACD
$ DB
CA EAAAE
CAABCDEB ACCEB
DCCCA CE
BCEDD AC
AD DEBDEAB
AAEDE BCBADBADAE
DACEC DDBDEA
BCEECBADEBDCCDEBAB CECDC
DEBDEABE CABC
BD DED
CAECEBE BEAED
CCEBCEEBE A
DDEDAABEDA DEEBDBAABCBDCA
C CD
$ EBABECA
CCAEDBBDBBDEDDDDECDC DBBDEDBBDDD
EDBB BCECBB
EBDDBEAADDBD C
CBCA AEDCBBEBD
ECCEABD ABAE
CEDCABEDAE ACA
ACBBBEAABADDAE $
BAEBDED ACEEEEEE
D AED
DCBAAE BBE
DD DAEE
ACACCA BEDDAADEEB
ACAAE DAADAEADEBDAD
BCD CBBE
EBADBDD $
AACE DE
DBBDBC DBBCDECDEDEDEDBBCDE
CCA CEC
EDA A
BEEDDBBEABD BDEA
BABA ECAABDE
ADCBAE AADBDE
AEABDEB CAEAD
C CD
B DC
CADAC AE
EB EDD
CADAEEDAE BAEBC
CECEBD BCBDDCDAD
EDEBC CEDE
DCBBBBBACBBCDB DBBDEDBBDD
D A
EDDBBA CDDE
ACB DC
CBDEBDDEA BDCC
DAAB $
CD DEE
CC CAEAE
E $
CEBEBECEC CEC
BCEEEEDABACCAEBE EBBDAADACABB
DBDE DDC
BEA CDEECBCEA
BA EBA
CEDDDDABDBDDDADC CECAABBC
CADAC CEB
CEDDDDABDBDDDADCCB AAB
BAE BDADEA
$ CCDCBD
BD CEDBECAD
BDEADD DAED
BEE EC
CBDDA BBEDCDDD
EEDA B
ADEC DAACEACBAEA
$ EDABEBBDB
CBCB BECACD
AEDEDBCECCCCC CCA
ECDE CEC
EDBCA DDCEDDAEDBDBBD
CECAAABBEDAAB DCC
EDBDEDDA DBBDEDBBDDDE
CEDDDDABDBDDDADCCB AA
$ BDE
ECEECBD $
CDEBCAEBAE BAEB
CCC CB
C $
CCD BCBDABDBACDDDBDBDD
DDEEDBDEAA BA
CECEB BCBDDCDA
ADE CBAE
DD $
E $
CEBEBE $
$ EDBBCDDBAD
B CEDB
CC AA
CCB CC
CCA AEDEDBCECCCCC
DDC DBDE
DAEBCDBAEBDC CECAAABBEDAABC
ACB DDEBBC
DD DAEE
DAED BBBBACBEA
BB B
$ DBDA
ACC CAABCD
AED EBE
BBEBEC EEEBDBDDDBBBDAACBCE
BEEDDBBEABDDD BCDA
$ EB
CEDB B
BDEA A
BBEBABDAA CCCDDDA
CEBEBECE CE
DE C
DACDE CA
C CD
A CAEEEDE
BBEBABDAAD EDBEBACDBEB
DAEBBBEE CDE
CEABBEEBD $
DDEE BDEB
EBEADBDE ECD
ECDDDEABABEA C
EDA A
$ CE
D CCCECDDCAEBCCCC
ECAE EDDEBCD
BCBDDCDADD CECEBDD
DCAA AEBECCDDDBABC
ED AAD
CBA $
AC $
ECAABAE ACDECE
BDEB DDEE
BD BCDB
EBADBDD $
CBDEBDDEA AEBCEBADBCE
ECCEBDA AE
CEAE AADAED
B BAEAAB
BDE DAAABABBEDCDD
CCCECDDCAEBCCCC D
C D
DDEAABEEE EDBDEDD
EBED BEDDB
CEAE $
EEBE BDEE
BAEB CDEBCAEBAE
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
E CADEBE
BAABC BECACD
BED AD
C ECDDDEABABEA
AC CCECDDBD
BBEB EBABCADBB
CDEECBCEA BEE
C D
$ EBDAEEC
CC CAEAE
CBDEE BCBDABDBACDDDBDBD
BAED CEDACBCDEDC
CBBE DAECC
AEBCEDCDDD BAEDCDDDA
$ BEEDDBABBE
$ D
DBDE DDC
CCCECDDCAEBCCCCA DA
BC EBABEE
CA BCE
ECAABDE BDEBCDEBD
ECBDBE AABEED
BECBCDADBEADBD AD
D C
BDEBCDDD CBECEBEDC
AA E
DDEECC ACEEEEEEC
ACAB DCAB
AED D
$ CED
AC DEEEBDADDB
CE CBCBB
EDED DAE
BDEDCD DBCCD
D AED
DDB DAEEB
E ADDC
C AEEEE
EDACDA DC
BEE EC
AED BA
CCCE EBCDBAE
AA CEDDDDABDBDDDADCCB
DBBDEDBBDD DCBBBBBACBBCDB
ACEDBB CEAECBD
EBA ADEC
DBBDBCC AC
DCDD ABB
CDDADBDBBDA CEAEED
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
ED $
AEDEDBCECCCCCE CCAE
BCDB BD
A CAEEEDE
AD DCAACAA
CD $
BE BBE
D C
CBDEABCEBEEBCDBEABEAD $
AEEEE EDEBC
CCAEB E
CCB BAEBE
A EDEBCE
B $
C BCE
C CDD
EC BEE
ACB BECCE
CDC C
AEDEDBCECCCCCEAAA DECEDECA
C EDD
CD DBBDBC
AEDCBBEBDCB CBCACB
BCBDDCDAD CECEBD
CE AEEEEE
ECB CCBE
AEDCBBEBD CBCA
CBAEBD C
C AED
$ AC
CECBBBEB D
CEDDDDABDBDDDADCCB CECAABBCCB
CEAB ACA
EED EEEBDBDDDBBBDAACB
EBEB DEA
DD DCA
EBDBDEEAEE CECE
EDB CDD
BD CBC
A DBBDBC
BCBDDCDAD CECEBD
B BB
BCB B
BBE $
BBEBABDAA EBEABEB
CBDEABCEBEEBCDBEABEADBDA EEAEB
C CD
AAD BCE
E ACBBEBCCAADA
DCAB DDE
CC CAEAE
C EBDDBEAADDBD
CAABCDE ACCE
AA BCBEBCEB
BEE EC
AD BCEEEEDABACCAEB
BCBDDCDAD CECEBD
AD DCAACAA
EB EEADBCBDBDDECBB
EBB E
EBE DCBB
ED AAD
CCCECDDCAEBCCCC D
AEEB $
E EDBCAA
EBABDAC DCBA
CCCDDDAD CBA
C CD
A AEEECBDCDBDBEBDCED
ACBEBBAEBE BEC
CADAACBDD ADCBA
CCAEDBBDBBDEDDDDECD DEEE
AEBA AACDACB
BECACD BAABC
AADCCEAADDEDEEEBDB DCBBBBBACBBCDBD
AEDCBBEBD CBCA
$ CE
BC DEE
AB BBBCAE
DCAACB CE
ACCC $
ECACA BBEAC
CEBEB CADACEB
CCDCBD $
ACAAEEEEEAEA EBBDB
EEEDB DEB
CAB ACEDBB
BAAC BEDD
EEDC ABBABACBB
DDEDAABEDA DEEBDBAABCBDCA
$ CADEB
B BCB
CEC EBDBDEEAE
AB BBBCAE
BCCBA $
DB CB
EB EDD
CEE DEC
D AED
CADEBAE EBBD
DAAAABADE $
AABEEAECEBEEC BAE
BCCDB EDBEABADBBACDDDA
CD DEE
D ACBBEBCCAAD
EBABDAC ACEEEEE
CB C
BCBDDCDA CECEB
ECBDBE AABEED
ADD CAEEEDEE
CABBB CADAACBDD
BBD EBBCBEABEADDB
EC ACDE
EBEB DEA
AED D
D DAADAEADEBDAD
AAB C
$ BDE
CEBEBECECE CECE
CBDDA BBEDCDDD
CC ACBBBEAABADDA
BAEB E
ADEC EBA
CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB DBBDBBDDDDD
CBCA AEDCBBEBD
CEAB BEEBA
B BDEAB
DAAABABBEDCDD CBECEBE
CBAED ADED
E BAEB
AEDBB CEBBBEBD
A BCAAEB
CCEBBEBAEC ACEDB
AA E
EDBDEDD EBE
ECC DBDD
DEEBDBAABCBDC DDEDAABED
BDE $
ECEECBDCE CE
BACADABEDE DAEDA
BCBBCDDCDDB EBEBBBBCDBEEEBBEECBBCDD
B DDEEDBDEA
DBBCD ECACBEDDAACEDEEC
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
$ DAE
CE E
CDBB BED
CAAA CB
BAEDEDAE CB
EBBDAADACAB E
DEADEACAB CEEB
EBBD CCAEBEBADAB
ACEDBB BCCAAB
BCBABDBBEDBBD CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDBB
B DE
B A
CECAABBCC CEDDDDABDBDDDADCC
BDEB AEBCED
CE BEDEB
BAEB E
CE BEAEDE
CAABDCABEE EDDEBCD
CB ECDDDEABABEAB
DEAD C
EBEDEDB DDBCBBCD
AEBECCDDDBABC DCAA
CCEBCEEBE EC
EBB B
CCCECDDCAEBCCCC D
CAAC AE
C AAB
DDDA E
C $
C BCE
D DAADAEADEBDAD
DEBEC CBEEEEDBE
ACCE CAABCDE
BDEB AEBCED
DBB BE
CCAE DECDAEBDDD
B CD
D $
E CBAE
CCA AEEECBDCDBDBEBDCEDEE
A DD
BEEBA BAEBD
DEEBDBAABCBDC DDEDAABED
AEEEDDACDBCBE ABDA
AEC DAE
ECC DBB
DDBDEAE ACBAC
E EDADBEAB
CEDDDDABDBDDDADCCBCED EEEDD
$ CEAE
EC E
AC DC
CBDEBDDEAB CBB
E $
DDDBDECBACDCBACEBE ACAB
E EBBD
BCEDD AC
AEDEDBCECCCCC CCA
AAED CCC
BDEE EBEBBC
CCAEBEBADAB EBBD
AEEECBDCDBDBEBDCEDEE ECAEA
CCECDDBD AC
ECCEABD CAEAEAB
D C
A $
CEB DA
ECBE CE
CECE BAE
ACDE EC
E BAEB
DED BD
CDEEC CE
$ CEAE
DB CB
AEEECBDCDBDBEBDCED A
BD CADAACBDDED
DCAACBD CED
CEDDDDABDBDDDADCC CECAABBCC
$ CEBEBE
CEAAACE BAC
BBE BE
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
BDE DAAABABBEDCDD
ACEE ACCEBA
DD CE
DAECAD DDBCEDCC
$ DAAAABADE
DAD BDEAB
CE CEBEBECE
EBACE D
DDBCBBCDD EBEDEDBD
BCB ACE
EACB ECBAAE
BEDDAADEEB BBEBDEDAEC
BEEDDBBEAB EDED
CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDBB DBBDBBDDDDDB
BAEAABEB AEEBDA
$ BDEA
ECDDDEABABEAB DDEAEDEACABDBAAED
$ ECDE
DDCDD DDCCEABCEADCD
$ AC
ACEDBB CAB
E EBB
DEEBDBAABCBDCA DDEDAABEDA
BEDAEDAEEEEEBEABAC AED
E BAACB
EB $
BEDAEDAEEEEEBEABAC AED
CA DC
D CCDEBDEBE
CB DCAACBD
AADB DDDEDCEADAEDECABCC
CEADB DEEEBDADD
DECBACEC DE
CEBEBEC C
BA DDEEDBDEAA
BA ECCED
CCBB BA
AE CCCED
DDEE BDEB
AEDB CBE
C CB
DEBDBCCEACAB BAACB
CACABEB EAEDA
CEACCEAE BDCCB
DEBEC CBEEEEDBE
BDCCD ABDDBBDBDBAB
BCCDBD EDBEABADBBACDDDAD
D ACBBEBCCAAD
CBEDAE $
CEDEDDBCDCDEEACDECCAC BEDDAADEEBC
AEDEDBCECCCCCEA CBDE
BDB BED
AEDDDC DCC
A EB
B DAABB
B EBBCBEABEAD
AADCCEAADDEDEEEBDB DCBBBBBACBBCDBD
BBE B
BDEB EDBDAADADAADCBADA
DDDADBCAACADA C
CD $
CEDCABEDAEB ACAB
BAED CBDEDBCEAD
A EDA
CBEC CDEBCAEBAEA
B CCB
AE $
DBEED DE
ACBEBBAEBE AEDECDC
BBE ED
DAECE BCBDDCDADDC
BB DCBAA
EBABECA $
CEEB DECB
C E
CBCCA D
CDEECBCEA BEA
EBEADBDEB DA
A EB
BEDB DD
DDDBDECBACDCBACEB AAC
DAEADAAA B
B CCB
$ BDEA
EDA A
AA CAEAD
BECCE ACB
AABEE DAACBCC
EBA $
DAADAEADEBDAD ACAAE
AEDEDBCECCCCC CCA
CCDEBDEBECC ECCCE
CAACEEDEBCBE ABD
CEDDDDABDBDDDAD CECAABB
CDEBCAEBAE AA
CCCECDDCAEBCCCC D
BEEB ECB
$ D
DAEBBB CEDCBBDBDA
EEECBCED BA
EDDD CADEBAE
$ CBBEBAEA
BBEBABDAA EBEABEB
BE DED
A EB
CEDCABEDAE ACA
DDEABBCAAECC DAA
BAE CBDEDBCEA
DD DECAAEADEDCEB
E ACE
$ CC
ACBBEBCCAA $
DA ECBE
BBEDCDDDD BDEBC
ABAEDEE DBBDECDDBD
BDE BCDBE
AA E
EBBCBA CEED
BEDBCEECB DAEDAE
AEEECBDCDBDBEBDCED A
CB DB
C $
EC AAC
DACEC DDBDEA
DDEEDBDEAA B
BD DED
ABAACDEBD CC
EEED DE
CDEECBC B
DBBCD CCAC
$ ACBBEBCCAA
EBEBBBBCDBEEEBBEECBBCDDE BCBABDBBEDBBD
CC $
EAEDAB EBADAA
CEECEA DBCDCC
CDEECBCE BE
CDEEC E
$ CD
EED EDACDA
BAE $
DEEEBDADDB DBBDEC
ADE CBAE
AEDACDCDC BCBA
EBABDABCCEBA BBE
DCBAAE EBA
CDEECBCEA ACBEBBE
BAEAA $
DACDE CA
EB A
CACABEB CCC
BEDAEDAEEEEEBEABAC BDEBCDEBD
CAABCD ACC
BEDD E
CBCDDDB D
EBACC AADB
CAEEEDEE ADD
CACABEB EAEDA
CDD DECE
EC E
E CCE
BAAC BEDD
EDEBCE ABEEBB
E $
EDBDCDBA DBBDD
EBBD DACDEA
CC ADCB
D $
BBEDCDDDDD BDEBCD
DAEDCD CCEC
DAEDCD AEDACDC
BCBEBCEBC DAEEABA
DEAD C
D DC
DBBDECDDB DECBE
AEBCEBADBCEB BAEBE
CAEECBDDBCDBEAADEBBEED CDBB
CAEECBDDBCDBEAADEBBEEDE CDBBE
BCDBE BDE
EDDDBD AA
CCAC DBBCD
CAABBBE DEEBDBAABCBDCAAB
DEBEC CBEEEEDBE
CCBEA BEDCAAAEEB
EEDAE BDED
DDDA EBBC
DCAABB DDBBDD
C BCE
EDAEADE CBEBEEED
EDDDBDC CBAEBDB
A EDA
EBA DCBAAE
EBED DEBDBCCEACAB
BED CDBB
AEBCEBADBCE CBDEBDDEA
DDC DBDE
DED DECBACECD
$ CC
EBCDBA CD
DEBDBCCEACA BAAC
AABCEDADD CBB
BCEDD AC
A AEEECBDCDBDBEBDCED
CC ADCB
AEDDDC CBDBDAA
E BDEAE
CEDACBCDEDC BAED
CB DB
AEDCBBEBDC DEED
D AAC
DED AACED
EDDDADBEEDAE ECDBBEBDBCAEEBACDBDBCBBDDBBD
EBB E
EBAC AAED
AEEE BECACDBB
$ EBDDBEAADDBDEA
AE ECBDB
EEDA B
BEE EC
EDBDEDDA BECD
ECDDAEDAAAACAB EA
EDDD E
DAEBDEBEBB EBA
AADB DDDEDCEADAEDECABCC
BDEA A
ACA ACBCDE
$ CADEB
B BCCBAE
ECB C
BECBCDADBEADBD D
CEADB DEEEBDADD
CAABEACB EBDBDEEAEEB
ACBEDDEBAEACCABBBEADB DECAC
ACDE EC
DBDE DDC
CBAE BAEDCDD
CC DB
BD ECBE
DBECABD CEB
BBBA CAC
$ CEABBEEBD
CB DB
B EEDA
BADEBBA EDBEBACDBEBC
CBDEBDDEAB BDCCB
EB ECB
CDDDCBDB E
BCCDBD EDBEABADBBACDDDAD
BEA DBDAB
AEDCBBEBD CBCA
CCDEBDEBE D
$ CADEB
EEA AEDACBABDEBDEAACEBEB
$ E
BDEAB DAD
AACE CEDCABEDAEB
CEDDDDABDBDDDADCC CECAABBCC
CB DB
DDD DCE
CA ACBAE
DAADAEADEBDAD ACAAE
E EDECD
EDBA DAE
CD B
EDDDADBEEDAE DB
EDA A
BDEE CAEAEB
E CB
CBDEE BCBDABDBACDDDBDBD
EBEDEDBDED ACDD
BBE $
ACBEBBAEBE AEDECDC
DEED DECEE
BCCAABA ACEDBBA
