24676
BBBAABABB BBABABBBABBAABBBBABBAABBBABAABBAB
BAABAAAABBBAB AAA
BBBBBB ABBABABBABAAA
$ AAABBABAAAB
BAABAAAAA BAAABBAA
BABB BBABA
AB BA
BAABABBBAABBABAA ABABBB
A BAAAAA
AAABBBAA AAABBAABAABABAABABAABBBBAA
AAAAAAAAB BAB
BAABBBBAA AAAABABBB
BAABAA AAAB
AAAABABBA $
BAAB BBBBAAAAABABABAABBAB
A AABAABAABAABBAABABBAAAABA
ABBABBAAAB BBBABBAABABBBBAABB
BBBABBAABAAB ABB
BBAAAAB BA
AAABBBA AAAABAABAABAAAABBAAAAAAAAAB
ABBBA ABBAAABBBBB
BAB ABAABBAAA
$ BBABBBBBAABBBABABABBBBAAABBBABAAA
BBAAABAAAAABABAAAAAABABBBBBA BABBABAAB
BAABA B
A BBABAAAABBBABB
AB $
BAB ABBAAABABBAABA
AABBAA BAAABAAAA
AAABBBAAABBBABABBBBB BAABAABABBAAABBBBA
ABAAAABBAABABAAAABABAAABBABABBBBAA BB
AAABBB AABBBBBAAAA
$ AAABAABAAB
ABBABB AA
ABB ABBAAAABAABABBAA
$ B
ABBBBBBBBABA BB
BBBAAAB AABBBAA
BA AABBAABBABABABBBAB
ABBBABBB AABB
ABABABBBBAABBB AABABABBAABBBAABABBAAAAABAAA
AABABBBBBB ABBBABBBBBB
BABAAB AAABBAAA
AAABABAAAA $
BBBBABAABBBAAAABBB ABAAAAABABABABAABBAABAABBA
ABBBBBAAAB BAABA
AAAAAABABB AABBBA
AAABBABBABABAABAAABABAAAABAAABABBAABABAAAAABBABAAAB BBABBABAABBABBABBABBA
ABBA AABAABB
AAAAABABB AAAAAB
ABAABABBA B
$ B
BBB BB
BBB ABBB
$ BBABAAABA
AAABBBAABABBBBA BAA
BBBAABABBB BBABABBBABBAABBBBABBAABBBABAABBABB
AAB $
BABBAB AAABABAAABAAAA
ABB BAABBBBA
BA AAAAABABBBBBABBAAB
BAABABAABB AABAAAAABBAABAA
BABAAAA $
ABAA ABBAAABAAAABABBB
AABBAAAABBBAA AAAABBABAB
BBA BBAABABAABBABBAAABA
BA AAAAAABABBAA
BAABBBAABBBAABABBABBABABBABBAA BBBABBABBB
BBBBBABBABABBABA ABBBBBAAAABABAABAA
ABAAABAAAAABBAAA BBBBBBABAAABAAB
BABAAAAAABABBBAAABBBA BBBABAABAABBAABBABB
BAABBAABABAABBAABABB AAA
ABAABAABAABAAAA BAABBBABBABABABBBBBBBBA
AAB $
ABBBAABAABAAABABB AAABABAAA
ABBBBBBBAB AAABABABABABAAAA
ABBBBBBABAAABA AAABAABBAAABBBA
ABBABB AA
AAAAABAAABA AAAAABABBBBBAB
AABBBAAB BBAABBBAA
$ BBAABBB
AABAABABBBBAAABABAABAAAABABBAABBBBBAAAAAABBBBBAABABABABBBABBABABBABBABABABBAAABBB BBBABBBBBBBBBBBAABAABABBABBABAAABBBBBAAABABAAA
ABBAABABBBBAABB AAABAAABB
BABABA AABBBAABBBBBA
AAAB $
BBA BABABBBAAABBAAAAAB
ABBABBBBA AAABAABABABABBAAB
ABBAAABAABBABBBA B
BAABABABAAB BABA
ABBAAAAAAA BAAABAAB
AABA AAAAABBBBA
A BBABBBBBAAAABABBAAAAABAABAAABAAAB
$ AABBBBAABAB
AA ABBABABABABBABBAAAAAB
$ BABBABBABBBBBAABAABBAABAA
AABA AAAAABBBBA
AAABABABAAABAAAABBBAA ABBBAAA
BBBBABABBABAABAB AAABABABBBBB
ABBBABABBBBAAB $
B ABBAAABAABAAAAAABBBAABABAABBBABAABBAAAB
AABAABBB BBBABBBA
BBAAAAAABAAAABBABB BBAABBABAABBBAB
ABBA ABBBBBBBAABAAABAA
ABBABBBAAABBABAAAAAABB ABAAAABABABBBBABBBAA
AAABBBBBAABBAAAAABA AAA
BABBABBBABABABB BAAAAAAAABBBBAAABBBBABBABBBBBBBBBAABBBAA
BBAAB ABABBAABB
ABBBBBBABBBAB ABBABABBBAABBAAAB
BAABA AABAAB
AABAAAABBABAAAAABAB BBAA
BBBAABBB AAABBABAAAB
ABBB ABBABBBB
AA ABBBAAAABABABBABABABBBBABBBBBBBABBA
ABBBABABAAA BAB
BAABABBBABBBAABBBABB BAAAABBA
ABABAAAABBBBBAAABABABBABABBAAAAAAAA AABABB
AABABAB A
ABABAABABBBABBA BABA
BA BBBBAAB
ABABBBABBABABAAABBBBAAABBBA BAA
BAAAAA $
ABA B
$ BBABBBBBAABBBABABABBBBAAABBBABAAA
AAABBABBB BABAAAABBBAAAAABA
BABAB AAABB
BAABBBABABAABBAABAB ABBABAA
$ AABABBBABBABB
BAABAA BAA
AAABABA BAABBBBBAAABAB
ABAAABBA ABAAABAABABBBAAABABBABABBAABABBBAAAAAABBABBAA
BABBABBAB AAAABBABB
ABABAABABBBAB BBAAAA
AABAAAABBABBABAB $
ABBBBBBB ABBAABBBABBBBAB
AABBAAABABBAAAAAABABBBAAAABAAAABABAABB AAB
BBAABA BBBABAAABABBABAB
BB BBB
AAAABBB AAAAAAABBABABABBBBBAAAAABAABBBBAB
ABBABB BBBBBBBAAABAAAAAABAAB
ABBBAA BBAA
B AA
ABABBBABBAA $
BAA BABABBBAABBAAAABB
B BBAAAAAABBBA
AAAABAAAABABABABBBBBAABBAAAAB AAAAABAAAABABBAABAA
BABBAB BBBB
AABABABAA A
AAA BBABBBBBAAAABABBAAAAABAABAAABAAABAA
BA AAAAABAABAAABAAAABBAA
BBABAAAAABABA AAAABABBBAAAAA
ABAAABB BBAB
AAABAABAAAABBAAAB BBAABAB
$ BAABAAABAB
BABA BAABABABAAB
AAAAAAABBAABAABAABABABBABB ABAA
AAA B
A BAAA
BA BBAAABAABBB
ABAABAA ABBBBABABBAABBAA
AAA AABAABBAABABBABABAABBBB
B AAABABBBAABABB
ABABABABABABABBBBBABBAABBBBBBBBABAABABABBA ABAABBABAB
ABAAABAABABABABBBAAAABBAABBBBBBBBA BAAAABBABABAB
ABAABABABAAAABAABABABB BABBABBBABABABBB
AAAA BABABAAB
BAABBBABABAABBAABAB ABBABAA
AAAABB ABBAABBABBAB
ABBAB ABAAAABABABBBBABBBAABAB
BBABBBABBAABAB $
ABBBBBABAA AABBBAAB
ABAABABAAAABBAA $
AAAAA BAAABABB
BABBBBBBBAABBAAABAABBAA AABAAABABABBBBABBBBBBABA
BAAAAABAAABABBAABBABBBBBA A
$ ABBBBBBBABAAA
AABABB ABAABAB
AABAAABBABABBABBABA BAAABBAABAABBB
BABABAABBBA BABB
BAAAAB AAABAABABABBB
AAABABABABBAABABABAABBBBBAAAAAAB AAA
$ AB
AAAAAAAA AABBAAAABA
ABABABBABBBABABAABBBABB AB
AAABBAABABBABA ABBBAABAABAAABA
ABABAABBAABBAAABAB ABBBA
AABBB BBAABABB
BABBAAABBBBAABAAAABA AABBAA
ABB BAABABAAAAABBBBBABAABABBBAA
AABA AA
AABBAB ABBABBABAABBBBBB
BABAABBAABAABBBBA $
ABBAABBBABB $
ABAABBBAABAAB AAABBBAAAAAA
AABBBBA AAABAABAAABBBBABAAABABBBAAABB
ABBBBAAAB BAA
$ ABAAAABAA
ABABBABABAAAAABAAB AAAA
ABAAABAABABAAABB AAAAABAAAABABBAABAA
A AABAAABABABBBBABBBBBBABAB
ABAABBBABBBAAAABBBB $
BAA BBBABBAABB
ABA ABBAABA
ABBBAAABBBBABABBBBBAABBBB BAABABBABABAABBB
BA ABBBABAB
BBBABBBAABA AAAABBBB
AABBA AAABAB
B AAABBBAAAABABBBA
ABBBAB AAAAAAAB
BABBBAABAAABAB BAAAAA
AAABAA $
A AABABB
ABBAB BBBBABA
AAABAAA ABAABBABA
AAAAAABA AABAABB
A AAAABBABAB
BBBABBBAAAAB BBBABBA
ABBAABAB AAAAA
AAAABBB ABBAABBABBABB
ABBABAB BAAAABBBBABAAABBABBBAABAAABAAAABAABBAABABAA
BBB ABABBAAAAAABBAB
A ABB
AABBB AB
ABAABBBBABBBABBBBA BB
BAA ABBBBAABAAABA
AABAABABBBBAAABABAABAAAABABBAABBBBBAAAAAABBBBBAABABABABBBABBABABBABBABABABBAAAB AAAAAAAABBA
AABBABBBBABABABB ABBABAAABAAAAB
BBBBB BAABAABBBBBABBBBBBAABBBBBABABBBABAA
AAABBBAAAA BBB
ABBBBAAABBBAAAABBAA ABBBBBABABAAABAAAABAAABAABB
BBBABB BBABABABBABBBABABBBABAAAAB
BBBAABBBABAABB BABABBABBBABAB
BAAABBAAA AAABAABBBABB
AAABBBABABBBBBBBAAAABBBB ABAABAABBAAABAAAAA
ABBABBBBAABBBAAAA ABBABAB
AAABBAAA BABAAB
$ BAA
BBAABBABAABBBAB BBAAAAAABAAAABBABB
ABAAABAB BABAAAAABBABABABBA
AAAAABAAABA AAAAABABBBBBAB
$ BAAAAAABBAAAA
BAA BB
ABABBAAABAAB AABABAAAABABAAAAAABBBBABAAA
ABBBBAAABB AAABBAABAABBAABAABBAAAAAAAABA
BABBBBABB BBBABAABBB
BAAAAAB BBBABBAABABBBBAABB
BAABBAA AAAAABABAAABAAAABBABBABBAAA
AAAAABAABABABBBAAABAB BAABABBBAABBABAA
BAAB AAABBBBBABB
AABAAAABBBBA AABABA
BBB ABAAAABB
AABAAAAABBAA BABBAABAABA
AAABABABAAABAAAABBB ABBBA
ABAABABBBB BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAA
BAA BBBABBAABB
BBBBBAABAAAABA BAAAB
$ BAAAAAABBAAAAAA
ABBBAABBBABBABBBBBABBBBAAA ABBBABABAAABBBABABBA
AABAABBAABBABBBB ABBBAABABAABA
ABBAAABB AAABA
AAAABBBB ABBAAAB
BB ABBBABAABAABAA
BBBAAABABAABBB BBAAAAAAB
ABBBAAABBBBABABBBBBAAB BAABABBABABAA
ABAA ABBAB
ABBBBAA ABBABAB
AABBB BBAA
B AA
BABABBBAABBAAAABBBA ABBAB
ABBABAAB ABBAA
AB ABAAABBAAAAABAAAABAAABBBAABBAABA
AAAAAABABBAAB BAB
A BABB
A BBABAAAABBBABB
ABB BAABABBB
BABBBBBBBBBAAABBBBBBABAAB A
B AAABAAABBABB
B AABAAAAAB
AABABBBBABBA BBBAAAABAAAABABABBBAAABABAAAABBAAAAABBB
ABBBBABABABAABB BAAABBBABBAABAAAABBBBABBABAA
AAAAAAAB B
AAABABBBBAA BAABABA
ABABABAAAABBBAABBBAAABABAA ABA
AAABBABBA BBBAABABABABBBAABABAABBBBAAA
BBBAAA ABBB
B AAABBABA
B ABBBBBBAAABB
AAAB AAAABABBBAAABAABAB
AABBA AAAABBBABB
ABB AAABBAABBBAABABAABABAAAAAAAAB
ABAABAA ABAABAABBAAAAAAABBABAAABAABBABABBBABAABBBBAABBAAABBBABAB
BBAABAB BBAB
BBBAABABABABBBAABABAABBBBAAA $
ABBBBAAAAA AAA
BAAABAAABBABAAAA ABAAAABABABBBBABBBA
BABABAABBBAABBAB BABABA
AAAAAAAAAABBA ABAABB
AABABBBBBBBBA ABBBBAB
BABBAA BAAAAB
BABBAA AAABAB
AABBABB BABAB
ABAAAB BBA
BAABBAABB ABBABABBBAABAAAA
ABBAAABBAAABA ABBB
BAAB ABBBA
BABABBBABAAABAAAAA AAABA
BAB AABBAABBABABABBBABB
ABAAABAABABABABBBAAAABBAABBBBBBBBA BAAAABBABABAB
$ BAABBA
BB BAABB
ABBAABA A
BABBABBBABABAB ABAABABABAAAABAABABA
AAAABAABAABAAAABBAAAAAAAAAB AAABBBA
BAAAA AB
BABA BAAAABABBBAAB
AABBB AAAB
BBAAABABAA AABAAA
$ ABBAABA
AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABB BAAA
A ABAAABAAB
$ ABBBBBABABAAABAAAABAAABAAB
AAAAABABB AAAAAB
AAAAAB BBBB
BABBBBB AAA
ABAB ABAABA
A BBABBBBBAAAABABBAAAAABAABAAABAAAB
AAB BAAAABBBAA
AABBBBAABBBAA AAAABABBBA
AAB BBBABAAAAAA
BA AABB
BAAAABABBBA BBABBBABAAB
BABBAABBBABABABBAAA BAABABAA
AABABABBAABBBAABABBAAAAABAAAA BABBABABBB
BBBABBBBBBAA AAB
$ ABAAABBBAABAABAABABAABBBBAABAB
BAAABABAAABBBABA B
AABBAA BBABAB
BABB BABABAABBBA
ABAABAA ABAABABAAAABBAAA
AB ABB
BAAABABBABAA ABAABBBBABBB
AAABAAAAB AAABA
BBBABBBABBAB ABABAABBAABBAAABABB
AAAABBBABABAABBB AA
BAA BBBAABAB
BAABAAA BAABAABBBBBABBBBBBAABBBBBABABBBABAA
BABBA BABABAABBBAA
ABBBBAABAAABABABB BBABABBBABBAABBBBABBAABBBABAABBAB
BA B
ABBABABBBBAAAB BAABAA
$ ABBABBAAAB
ABABAAAAAAAABAAABBABBBABABBBBAAAA AAAAABBBBBBAABBBAABBBAABAABABBBAABBBBABABBA
ABBBB ABBBBABAABAABABABAABBABBB
$ ABAA
BBB BB
BAABAABB AABBAB
$ AAA
A AABAAABAB
B BABAAABABABBBABBBAABBBBA
AAAAAA ABABBABABAAAAABAABAA
ABABAAAAABBBAB B
AABBA AA
BA AAAABAAAAABABB
ABBBABBBABBAAB BAABABBABABAABBB
AB BBBAAABABABABBABABA
ABAAABAAAAA BAABBBBABAAB
BBBAAAAAABAABA BAAA
AAAAABAAAABABBBABBBBABBBBAAAABAAA $
ABBABBABAAB $
$ ABB
ABAAAABABAAABAB AAAB
AAABAABBBAAAAAA BAA
AABBABBABAA BAAABBAA
A BAAABABBAABABBAABBBBAABBBBAAA
BBAABAB AA
BABA $
$ AABBA
AABA AABAAAABBB
ABBBABBBBABBABBBAAAAA ABBBAABA
ABBBBAABABAB BBABAAAABBBABBABBA
AAAABBBBB AABAB
$ BBABABBABBBAAA
BABBABBAABABAB AB
AABBBAB BABABBA
AABBBABB AAAAAABABBBB
ABAAA ABABABAAAABBBAABBBAAABABAAAA
BABBABB BABABAABBBAABB
AAABAAAABBAABBBAAB $
ABBBABBB BBBBAABABBABBBABBAAABBABAABBBA
BABAAABBAABBBABAAABBBBAAAAAABABBAABABBBBA BBB
BABAAB AAA
AAAAAAA BBABAAB
ABBBB ABBBBBBBAB
ABAABBABABBBABA BAABABBBBBBBBAABA
$ AAABBBABAABABBBBB
BAAABAABABABBABABBBA A
BBA AABAABAABB
ABBBBBBA BABBABAB
BBB ABBABBABAABBBB
ABBAAABA ABABAAB
AABBABBAB BAABBAB
BA A
$ BBAB
BBBB BBBABBAAABABAA
BBAABBBBBBB ABBBBBB
AABBAABABB AABABAAAABAABAABB
BBAAAB AABB
ABAABBBBB $
ABBBAABBBBBBABABAAAABBA BBBBBB
ABBAAAABAABABBAA ABB
$ AB
AAABAAABBAB ABA
AABAAAABABABAAABABABBABB ABB
BABBAABABAAA BBBAABB
ABBBAABABA AAAABBABBBBAABABBBAAAAAABBAAAAB
BB ABABBAAAAAABBA
ABBBA AAAAB
BBBABBABBB BAABBBAABBBAABABBABBABABBABBAA
B A
AABABBB BABAAABAAABBABAB
AAABBAABAABBAABAABBAAAAA BABABBAABAABBBBA
ABBBBBAAAAABABBABAAABBBAABBA ABBBAABABABBAB
BBBBB BAAABABBBABBABABAAA
AAAAAAABBAABBBB ABABAABABBBABABBB
ABAAAAABBAAAABBBBBAABBBBA ABBAABA
BBBBBBAA BBABAABBABBBAA
AAAAAAA AAB
BAAABABB A
BA AABBB
ABBABAAAB BAABBBABABAABBAABABAB
BABA BBAB
ABAABBA ABB
B BAABA
BABABBBAAAABBBAAABA AABABABAAABABBBABABAABABBBBBBBBAABBABBB
ABBABAB A
$ AAABABAB
BAA BAABBBABBABABABBBBBBBB
BBAABA BBABBBBBABBB
AAABBABAAABA BBB
ABAB BBBAAAAABBAAAABAAAA
ABBBBAA AAABBABBABBABAB
BABABAABBBAA BABBA
AA ABABBAAABA
BBAAA BAABBBBAA
B ABBBAAAAB
AAABABABBBAAAABBAAAAABA AAABBBBBABAABAAAAABABAAA
BAABAABBAA ABBBBBBAAAB
AABBAAABBAAAAAA ABBB
ABB AAAAAAAAAABBAA
BBBABAABAABB AAAABABABAAAA
BABBBA BBAAABBAB
$ AABABBBABBABB
BABAAAAAABABBBAAABBBAB BBBABAABAABBAABBABBB
ABAABABABAAAABAABABA BABBABBBABABAB
AAB BA
$ ABBBAABABA
BABABBBABBAA ABAAAAABAAAABABAAAB
BBABAAAAAABBBABB ABBBBAAAAAAABBABAABAABAAB
ABAABA BAABA
AABBAABAB A
AAABAA BAAAABBBBAABAB
BABB AA
BBAABABB BABAABBBBBBBBAAABBBB
ABBBAABAABAAABABBA ABAABABBBBAAAAAAAABBB
B AAAAAABAABAAB
B AAAABBA
ABBBBBBABAAABA $
ABB ABBABBBABABAAAABBAABAAAAABAAABABBAABAAAABB
ABABABBABBABAA A
BAABABAAAAAA $
AAAABAABBA $
ABBAABBBABBBBABA BAAA
ABBBABAABAABAAA ABABABABBA
ABBBAABABA AAAABBABBBBAABABBBAAAAAABBAAAAB
ABBAABAB $
BB AAABAABB
ABA ABAAABAABBBBAAABBAABBB
AAAAABBAABAA BAAB
AABAAAAABB BBAABAAA
AAAAABBABBBABB AB
ABBABAAABAAABABA BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAAB
AAABAABABABAB B
AABABBBB ABBBABBBB
ABBABB AB
BA BABAABABABBBABBABBBBB
AAB ABAABBAAAAABABBBABABBBBBAAB
AAAABA BABBABAAB
AABBBA ABAABAABAABABAAABABAABAAAABBABBAAAAABABBAB
ABBAAABAABAAAAAABBBAABABAABBBABAABBAA AAABAABAAB
ABBBBBABAAAAB AA
AAABBAAA BABAAB
BBAAAAAABBBA BABABABABBAABABABBA
AAB AA
B ABBBAAAAAABB
BBBBBAAB ABBAAB
BABBBAA AAAA
BAAABABBAAB AAAAAAAB
AAAABAAAAABBA BAABABBBB
BAABABBBAABBABAABBA ABBBAAB
AA BAABB
AAAAABAAAABABBBABBBBABBBBAAAABAA $
AB AABAB
BAABABB ABAAAAABBBAAA
BA AAABAA
AB BAABABAAAA
BABABBBABB BABB
ABAABBBABBBBBB AAABBBABABBBBBBBAAAABB
BABABBBABB ABAAAAABBBBBBBAABBBABBBBBBB
ABAAAAABBBBBBBAABBBABBBBBBBBB BABABBBABBBB
BAAABABAABAABBAABBABAABB AB
AABBABB BBAABBBAABBBAAAAAABAAB
ABAA BBBABBA
BBAA BBBBBAABAAABBBAABABAABABAAAABABBBABBBAABBBB
BAABABBBBBB AAAABAAAAABBABB
AAABABABAAABAAAABBB ABBBA
BABBABAAAAABAB BABB
ABBAABABABBABBAAAAAB ABBAABBBABAAA
BABBBAAAABA BABBBAAB
BB AAAABABBBAAAAA
BAABBAABABAABBAABA AAABB
BAAB ABAA
BBAAAAB ABBAAAABAABABBA
ABBAABBBBAAABABAAABABBBBBBAAAABA BBAA
A BBABBBABBAABABA
AAABAABAAB ABBBBABABBBB
A ABBBBBBA
BBBBBA AAAAABBBBAA
ABBBB ABAABBBBABBBBAABAAA
AABAAB A
ABABB BAB
ABBABBAABAA ABABBBBABBBBAABBBAABABABAB
AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABBABB BAAAABB
ABBA BAAAAABB
BAABBBABBABABABBBBB BBABBAABA
ABABABBBBAABABABAAABBBA A
ABAABAABBAAAAAAABBABAAABAABBABABBBABAABBBBAABBAAABBBABAB ABAABAA
AAAB BAAAAAAABBBBA
AA BBAB
BAAAAABABBABABA ABBBBAA
BBAABABAABBABBAAAB BB
BAAAABAAAB AABBBBA
ABAABAB AABA
AAABBAAABAAB B
BAB AB
BBABABBBABBAABBBBABBAABBBABAABBABBBA A
$ BBAAABAB
ABBAAAB BABBBAAAAAABBBBBAA
BAABB $
BABBA B
BABABBBABAAABAAAAAABABA ABABAAAAAAAABAAABBABBBABABBBBAAAAAAB
AB ABABBBBAABABAA
ABABAABABBBABABBBAB B
AAB ABAABAABBBBBABBABABBB
BABA BBBABBAABA
BBBABBBBBBBBBBBAABAABABBABBABAAABBBBBAAABABAA BBAAAAAABABB
AAB $
ABBBA AAABABABAAABAAAABBB
$ AAAABBBB
BABABBAAABAB ABB
ABBBBBBAAAAABBABBABBBB BABBAABB
ABABAA AAABBABBAAAABBA
AAAAAAABA BABAAABABBABBABABBBAB
AABABABABB BAA
ABBB BBAA
BABABBBBAABAAABABBB AAABBBB
ABBBBBBBAABAAABAAAAB ABBAAAB
BAAAABABBBA BBABBBABAAB
BBABAABAA AAAA
BABBB AB
A B
AAAB ABABAAABA
BBBAABABABABBBAABABAABBBBAAA AAAAABAAA
B AAABBBAABBA
AAABBAABB ABBABABBBABA
ABBAAABAABAAAAAABBBAABABAABBBABAABBAAA AAABAABAABA
AABABBBBABAAABBABBBAABBABA ABBAABAA
AAABBBBAAAABBABAAABBBAAABBBBBBABAB BBBABAAAA
BAA ABAABABAABABB
A BAABABBAABABBBB
ABABAAB AAABBABBAAAABBAB
ABABBBABBABABAAABBBBAAABBBAA $
ABBBAB ABABAABBAABBAAABABB
BABB BBBABABAABBB
AABABBABBBB AA
AAAAABAAABA AAAAABABBBBBAB
BABBBAA AAAAAAAABBABBB
BAAAA AB
AABABBA BBBB
ABBBBBBAAAA AABBBBBABBA
BBABABABAAAB AABABBBABBBABBBBBAAA
ABBAAAAABABB BAABBA
AAAAAB ABBBBBBBBAAABAABBAABAA
BAABBBB BAB
ABAAB AABAABBBA
AABAB ABBBAB
BBAAAAAABAABBAAB AB
AAABBBABABBBBBBBAAAABBB ABAABBBABBBBBBB
BAAB BAAABABBBABBABAB
ABBBBBAAAAABABBABAAABBB BAABB
AAAAAAAA AABA
AAABBAABAABABAABABAABBBBAA AAABBBAA
AAAA A
ABBBABAABAABBBAABBAAABA B
BABABBBAB AAA
AABAAB AA
AAA AABAAABBABAAABABABAAAAABABAAABBABBBAA
ABB A
A ABBBAAAABABABBABABABBBBABBBBBBBABB
BBBBAABBAA BABAAAAA
ABAABBABBBBAAABBBBBABAAAAABBAAAABAAABBAAABBBABBBABAABBAAA AAB
ABAAAABABBBABAAAAAABABBABABAAABA AABB
AABAABAABABAABABABB ABAABBBBABA
AB AAABBAABBBAABABAABABAAAAAAAA
BAB BBBABBAAB
$ AABABABAA
BABA BAABABABAAB
BAAA AB
ABBBA ABAB
BAABBAAABB BABBBAAABA
AAA AABB
AABBABBAB AAABBB
AABBABABB BBB
ABABAA BBBBABA
AAAABAABAABBAAAAAAABAABBBAABAA BBBAAAAABAAABBBBBBB
AB A
BABBA AAABAABBAAAAAA
ABAAAA AABBBAABBBABABAAB
AAABAA $
BAAAABAAB AA
AAAAAABAAAAABA BBB
BBBAAB BAAABBAAABAAAA
ABBAABBABBA AAAAB
BAAA BAABABA
BBAA AAAABBB
BAB AABB
AAB BBABABBBBABABBBABBBB
ABBA ABBBBBB
$ BAABABBB
AAAAABAAAABABBBABBBBABBBBAAAABAA $
AAABAAABBABBB $
ABB BB
AAABAABBBAAAAAABA BAABA
AAABAAAAABA AAAAABB
ABAABA BBABA
AAABAAB B
AABBBAA AA
BBA ABBBBAAAABBABAAABBBBABABBBBABA
BABABBBAA BAABBA
B $
AAAAAABAABAABAAA BAAAABABBBAABABA
AAABBBBBBAAAAAAABAAA ABBA
BAAAA AAABAABABABB
$ BAAAAAAA
ABAABBBABBBBB AAABBBABABBBBBBBAAAAB
ABAAAABBAABABAAAABABAAABBABABB BAAAAAAB
BAABABAA BAAAA
ABBBBABAABAABABABAABBABBBB BAAA
BABABBAAAB AAABBABBAABABAABBBBBBBBBAB
AB AABAAAAB
A ABABBBBAB
AABBBBBAB BABBAB
AAABA BAB
AABAABBAABBABBBBBAAAB AAAAABB
BBAAABAAAAABABBB A
$ BBAAAAABABBB
B BB
ABBA AABAAAABBA
BBBABBAABAB ABBBAA
AAABBBBBABAABAAAAABABA BAAAABAAB
A BAB
BAAABABBABAA ABAABBBBABBB
B AAABAABB
ABA AB
ABAAABABAABABBBBBA BABBABBAAA
AAABBBAAAAA BBBA
ABAABBABBABAAAAB AABABAAAA
ABBAAABBBAAAAB AAABABABABABBBBBBBAAB
B BBBABA
AABAAAAAB B
ABBB BAABAA
BABB A
ABBAABAABBBABBAABA BABBBBBBBAABABBBAABABABBAAB
AAAB AAABBAABAABABAABABAABB
AAABABB AAAAAABAA
AAAABBB ABBAAA
AABB BAAABAA
AAAAABAABAAAABBABBBAAAAAABABAA AABAAABAAAAAAAAABBA
BAA BAAABBBBBBBABAAAABAAAB
AAABABBBABBAB AABA
ABAAABAAABBAAA B
BABB A
B BB
BBABABBBABBAABBBBABBAABBBABAABBABBBAB AB
ABAABAABBB $
B $
BABBABBABA BBBBBAABBB
AAABBABBBABAB $
BBBABBAAABABAABB BBBBBB
$ AAB
ABBBBAABBAAAAA ABABAB
ABBAABABBABBAAAAAAAAABBBB BA
BAABB BB
BABBABBBBAA A
ABBBBABABBAABBA AAABAAAAAAAABBBBAABBABAB
BBBAABABABABBBAABABAABBBBAAA ABBBBBABBAABABBAABA
B AABBBAABBBB
ABBBA ABAB
BABBABB AABABABBBBAA
$ BAABBBBBABBB
ABBB ABAAAAABBBBBBBAABBBABBBBBBBBBB
ABABABAAAABBBAABBBAAABABAA ABA
ABAAAAAAB $
ABBBAABABABBB BBBAB
AAABBAAABBAAAB BBAB
AABBBBA BAAAABAAAB
BAAAAAAAAAABAABBBAABAB ABBBAABBA
AAAAABBABBBABBB ABB
ABBB AAAAABABABAABBBABAAABBAABABABBAAA
ABAA AABBAABA
BBA B
BBBB BBABAABBAB
BAABBAABABBAAAABBB ABBAABABBB
AABBAABAB A
ABBABA BAABBBAABBBAABABBABBABABBABBAAABB
AB BBBABABAABBBB
BAAABAABBABAA ABBAAABB
BBBAABAAABABAA BAB
ABBBAABAABAAAAAABBAABABAAABABA ABBBAAAB
BBAAABBAAABBBAA AAABBAABBBBAB
AAABBAABABBABAB ABBBAABAABAAABAB
BBBBA ABABAAABBBAABAABBABABBBA
AABBBBBABABABBBAAABABABABBB ABBABABBBAABBAAABA
A BBAA
ABBBBBBBAABAAABAAA ABBAA
AAAAABAA BBBAABABABABBBAABABAABBBBAA
A AAABAABAAABBBBABAAABABBBAAABBAAAB
$ BAA
ABBBBBAAAA ABBBBBABAAAABAA
ABABBAAABA AA
ABBBABBBBAAAA BAAAABBB
ABAABBAAABAA AABBAABAABBBB
AABBBBBBBBBAAAB AABAAABABABBBBABBBBBBABABBA
BBBABAAABB AA
BAABBBBBAABBBAABBAAABBBABAAABAAABABAAB ABBBBB
BAABBBBAABA $
A BBBABA
BBAABB AB
BABBBAABAABAAAAA ABAABBABABBBABB
AAA BABABBBAB
ABBABABBB AAAAAABB
AAABBBBAAAAABAAABBBB BAABA
ABBAABBAAABA BABBBAA
AB $
$ ABBA
ABAABA BABAABBAABAA
ABBA AA
A BAAAAABAAABABBAABBABBBBBA
A B
BAABBBABABAABBAABABAB ABBABAAAB
A BAB
BBBAAAAABAAABBBBBBBB AAABAABABABBABBBBBBA
ABB A
BBBAABABBB BBABABBBABBAABBBBABBAABBBABAABBABB
BABBABBA AABBBBBABBA
BAB ABAABBAAA
BABAAAAAA $
$ AAABAAABBAB
BAABABA ABBBAABABAB
AAAA AABAABBAABABBABABAABBBBA
BABAAAA ABAB
BBAABBBAABBBAAAAAABAABA BAAB
BBBAABAAAAAAAAABABAAAAA BAABBA
BA AB
BABAAAABABBBAAAAAAAB ABBA
BAA AAABBABAAA
$ BAA
AABABBBAAAABAAAA ABBBBBBBBBBBAAAAABBBAA
AA ABBAAB
$ BBBAAB
AAABBBBBBABBBBBBAAABB AAB
BAABABBBBBAABAAB AA
B BABBB
BBAABAABBBABABBAAA BABAABAAABAAABB
AA BAB
BBA BBBAABAA
BAB AB
ABBBA BAAB
