38134
W[PZ ak[SZifiCBpHdgP
$ WPFq
oO^lKZEXkoOCpOKNVRYOi aiH[FDFGB
WDKkWkO[WW gPG^DKckkkWWWW
pifbH XGfbHYbGHcYoHYKH
eVWboWo_ AVWpWpW
bWPFY gP
cdh HdcSS
YfiBfi Rk
fiBTPUh gHPUhLLWLLLmhWh^LWhWhWhLL
OhiOd^ fiB\O
p R`V[]OifiBfigBWFDdf
aCFI Od^hFI
g TT
iBTdfBVL eVWoWo
RRlCTOkkfr_prr_prr__ fiBAGCfr_
WFG R`ZGSlgdWfi
fiBA pBTFGBAVW\VW\VW\
O $
heVWpWpW\VW\ A
R`ZGSlgdWfif pifrprbnWerpr
pifr_prbH TNFGfbnebN
g] PGej
$ O
Wd T
piBfi pW
cj cSVG
cSmiB VFBRkB
W[dcmiBdWFGBW[F fi
fiBaG]OiO OFGBdK^^d^
cmnABfiRBXDDK W[DK
pifr_prr_pr fiBpdfanc
XWDB g
mpYiZBk AV
eVWpW\VWpW eWoiW
RR OR`
pifbnWer___p cmifrQp
g $
R`DbMS RR
mXD W[dW[[
aKEV RLYO
dfiXr_prrD_p XGfrprrprrprrp
fifr GBRkBcmifr
cVGGGG cdhV
fiB r
p[W T[dXG
fiQbnWbWWnW pifbn
pifr__prrp cMmifrp
fiUf fif
eVWpW eSWEpW
WFD]hKTlk XaBak
RRTOCTOg HF\V
fifrIKpSrr RRVRVoOkkfrprr
RRlCTOkkfr_prr HFLGfrprbYner_
ff cSmif
XGfr_prbnWerprpHr gdfifrpr
XGfrp ffrp
HFDP D
pifbHYr piBTdfifrprrprprrprr
aiH[FDFG `
cmifrprr_ pifbnerrr
eSWE eVWoWoW
aDGSYOkR R`
cSSS cf
OKql OhK
XDO[D TdW[[dTFDD
Ydpig] T]
$ XGBfiBg
OhKEVk`l MX`h
TDPnd gFDDX
W[PFD[dR aiOhk
WdOhCpOk RGFDdWFDdaClk
XGfr_prbnWerprpHr piBfiBfif
XG f[j
BiBfiBcVo fiBcVG
ZY g]hKE
OR[ZOnd fiBTd
eVWoW\VW\VW eWoWI
XDdXGBTPq T
cSSmiBa IOh
RRlCTOkkfr_prr_ HFLGfrprbYner__
XGBRk cMmi
Lo XGf
$ RRlCYOK
W[dW[[PPXaa oPFqdT[PPXaaH
fBkGJb cSV
pifr f[ifbnebHYr_prr
foc cSmi
]R TFDdH[PG^[]hC
mXDPP W]d^j
cmifrpr ficl
fiBiBR[ R[
GBRkBcm f
T[G^ fiBg[[]hg
fiBiOTaaaaaa TDXaaaaaaaa
eVW\V edmp
T]d fip
gnTG^P WFGBfiBXDP
aA` AVWp
pf f
aKES akOKFZjGGGO
RRoBODkeOk[] Od^hk`Y
pf f
HFDFDP piBR[ISZOi[]h
gFG MgFDpGIS
XGBRkf f[ifbnebHYr_prr_pr
R` HdArn\
AVW eVW\VQWpW
fi G
WPUhLLLLLW Hg[VPUhLW`LLLWhLLLWhLWhhL
XZDbb XDd
$ \Ng
gdfifrprb XGfr_prbnWerprpHrb
R`V[]OifiBfigBWFD g
RRp Ofhk`
p $
bWPFY gPGBE
eVWpW\VW cSSSmieVWpWpW\VIW
T gd
ZY g]hKE
Od^CKNV`VZOiXBOd^ O
cm $
piEA_ fiBg[[]hgPZ_Q
HFGfbe pifbnWebH
XGBeVW\VWoW\VW eWoWffoW\VrpWpW
g[PU TP
fiBOd^hGSYOF aXF
piHbRX ak
GoOg Tdg
g[GBUPhRPSC fiBOjKbRPSC
XDdXGBTPq T
AVW\VWpWoWpWoWoWpWo AVZ
Od^CKNV`VZOiXBOd^j gD
Hdfi cMmi
RRVRVoOkkfrprr cSSmiBifr
HDKHR WFR
pif_ Rkfr
eVWboWo_\VW AVWpWpW\VW
aWX WdH]hig
AVWoWpW cmiBAVkoW
W Z[PGM^
a DmUF
TDK mUgWoW
WFGBr Wd
cSmi foc
piBcimPa`` cSSVP`````````````````
cSm qpnQ
a R`DbMSpO
PUhWhLLLLLWhWhLLFWh TPUhLWhLWhWh
WPFq[dOd^ OdBSP
WHZpVp p
p[W gFG
TYac cSS
cSSSSSmiHPTZ RkBcSmiBTPZ
g[FGBpiBgPoK g]d^jK
TNFGfbnebNYrp fifr__prbHYrp
HFDPUhL agP^PUoLL
TD HPGK[
eVW\VQW eVWoWoWpWpWpW
O TPG
eWoWffoW\VrpW eVW\VWpW\VW
f pf
] R
cmiBe R[SpOC
T HFDPG
fiBg[[]hgPZ_Q kF
eZV T[d
T WPFq[PU
Tdpifbne cmifrQpr
cSGm Wdf
f Wdfi
HFD $
CDdRk ak`lgFG
fiBAVWo pfiBAV
mVWWoq\VW g[dAVW\VW
AVW `BeVW
Odd gd
_kfb XGfbnW
bWPFY gP
XDFGBIgDR TFDFDDR
TFGBfiBpifbn H`GBfifr__prbnW
pifr pif
WdpiB fhBS]d
\Ng $
RRpO HPFqe]hG]OG]P
gdc [BB
TPFq\FGBcVP cSVP`
O[j TD
[D piBT]hKNYOCYOCV
pifbHYb W[[FDiFdffr__prL
dfiXr_prrD cSSSmifr__
g[PGj R_kCBXDFGDBa`Gj
g]jXa WfXa
A heVWpWpW\VW\
fifr__p ffrp
WFUGfrQh pifbHYr__prr
\Ng $
mn fiBOhK
TFDDK SPfK
Od^jRPfSSrfSC HPPRPC
XGBoR` RR
qpnQi cSmi
gd RkP
GBX R`VRlKN
HFLDrT W
_R` $
R[[ aig]d^hK
TDXf XGf
g[GBUPhRP fiBOjKbRP
AVW VWW
gFGB MgFDpGISB
pif XGfr_prr___
aG]O aC
eb fiBAVWo
XDSP] g]
cS TPFq\FGBc
edmpWoW RkBeVW\VWpW\VW
agFDDR i
cmiBd^d^d^ TFDdH[PG^[]
fifr__N H]hkkfr_prr
HP T[G^P
fiT $
AVW\VWpWoWpWoWoWpWoW eV
XGfrprrp` fifr_p
eVW heVWpWpW\VW\VW
TFGfr__ fiBAGCfr
XaBa WFD]hKTl
piBfiBfifbH cSmifbnWOb^
piBRkBWdg gFGBT[FT[[
RLYO aKEV
XGBf R`ZDOKqicSmiBp
AVW\VW\VWoWoW eVWboWo_\VW
WHZpV HPFqdRkB
piBTdfifrprrprprrpr fif
PUhWhLLLLLWhWhLLFWh TPUhLL
pi XGXG
ZY g]hKE
WdTP WqdWP
XWDB g
$ ak`lgFG
H T[G^
cDSpm cSSm
fiBiOTaaa gDX
fiBg[[]hgPZ T[G^PZ
RoVQk fiB
XGf ff
R gFDdR`p
g[ aClOhpOg
HFLGfrprbYner_ RRlCTOkkfr_prr
$ p
T Ydpig
TdpiBaK aH
HDKcWWWW g]hiXDFD]fjKcWkk
agdfifbnWebHYbner__p XD[DGfKbnReg_p
WdR RGFDdWFDdaClk
HFLGfrprbYner__ fifrprr
fiUf fiBWFGf
RLYOk aKEVk
lg g
AVW\VW\V heVWpWpW\VW\VWo
T HcmB
Pr RoOigPF
pfiBAVWo fiBAVWoWo
agdfifbnWebHYbner__p cSSEifr_prbHYr_Vp
T[G^PZ_ fiBg[[]hgPZ_
TFGBa lcmiBR`YO
WFR HDKHR
T[G^P fiBg[[]hgP
aG R`Y
XDFGfrprrprr_p ^iqfrp
fofr_U_ pifr_prbHYr
g] TWYA
ei p
aKES akOKFZjGGGO
eWp`W\VhW AVW\VWpWoW
kBT] piBWPFq]
TdWdAVWf\J eVW\
XGBfiBAVWoWoWo eWoi
R`ZGSlgdWfi R`pOipi
W]j WUD
piBH[ $
TFDDKH W]d^jKHK
R`ZDOKqicSmiBp XGBf
gFG MgFDpGIS
` RoOK
c\ R[]Ok[SYOCVkBcS
HPGB XDGKB
fifrprrpr mQrMrrQ__prrpC
cVGGGG BiBfiBcVo
W[]ifiBeV AVW\VWo
AVW\VWpWo eWp`W\Vh
Od piBH
HPUhWh gP`L
aip Oh
gdf R`V[]OifiBfigBWFDdf
pfiB fiB
eV eVW\VQWpWp
AVW\VWpWo eWp`W\Vh
WdRX aG]
pifr_pr WFGfW
TdcSVGP TccSVP`
fiBiBR R
W[PFD[dR aiOhk
cSmiBOh Ydpi
m AVWpW\
XDdg gnTG^
pBO g]
_R`a a
fiBXGfb H`GBfifr__prb
S WdpiBT
fiBXGf H`GBfifr__pr
RRoBODkeOk[] Od^hk`Y
] piBTPFqd
$ T
A mVWWoq\
HdXGfrpr fiB]pBHFGf]pr
fiBXGf H`GBfifr__pr
XD HF\V
TFD]jK ATMUDb
TPFq\FGBc cS
gPZIAIA_Q TZIf_Q
gDK kLFKb
g[F cmiBpiBHdYWF
aG R`Y
XDdR`lg]d^jK fiWBT_T
XGf XGBfifObmne
eZV T[d
XDMD T]j
W[D cmnABfiRBXDD
cSLVaG cV
VfbiBP ako
FJ]^Gd^Qj H[]j
cSSVG VGGGG
$ Y
AVWp YWFBreVH
W HFLDrT
cSV BVG
fiBXGf H`GBfifr__pr
f pf
Od^hk`YO DPhDMOV
$ Y
eVWoWpW eWoWffoW\Vr
aip Oh
XGf cmDfbne
cSSEifr_prbHYr_Vp g[FDFGfrp
aGSD OR`D
TFDFD XDFGBIg
piBTdfifrprrprprrprrp pifbHYrp
pifbHYrprb piBTdfifrprrprprrprrprb
cqc gFGBXD[FGBTdcS
ak[SDSD OhF[
g R[]OGSTOip
TFD[dfi if
fiBW BfW[FD^
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR gPUhWhLLWhL
i[d] piBXGBWd
W[dW[[ mXD
W[dW[[ mXD
XD] Ydpig]
XGBH[dXGB fhBS]d
TF GX
IeVWpWo AVW\VWo
T gie[B
$ H
] Ohg]
FJ]^Gd^Q cSmiBO
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR HPUh
W]hK aH
OR[ZOn fiBT
H]hkkfr_ fiB]pBHFGf]
WFR HDKHR
iBTiBf Hd
RRYO f
XD[[P XWDB[P
fiB\Od XGBOd^d
HDKH WF
HFLGfrprbYner__prr__ fifrprrprr__
piBcV F
N piB
gPUh gHPUhLLWLLLmhWh^LWhWhWhL
eVlWQVWo eVWpWoWo
TdXmifbne gdH[[PFqFGf
XGf TDXf
R_kCBXDFGDBa`Gj HFDPFq[[dT[PGj
eVWpW\VW cSSSmieVWpWpW\VIW
T]j XDMD
H[ fiBHFD[FDCD
RkBR[STO IOh
fiQbnWbWWnWWeb fiBgPG^FGfb
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
cSSEifr_prbHYr_Vp g[FDFGfrp
$ piBH[
fiBdXGfbnJ XGfbn
GBRkBcmif pif
g[GBUPhRP fiBOjKbRP
GBT fiBT
SDD gPFq
T[] Odj
A eWp`W\VhW\
XD]hk mkm
VfbiBP aGSp
aci]PZ^ XDPZ
O gLS]
mXDPP WD
P gP
fifrprrp XGBfifObmnerp
XGBGB W
XG f[j
fiBAGC fi
XDPbq[ ag
XGfbnW XDMDKck
H T[G^
Rkfr_ RoOgdfifrm
l $
HFLDrT T
pifbHYr piBTdfifrprrprprrprr
piBfif HFjf
fiWBT_T XDdR`lg]d^jK
RRD] Ofhk`
pifbnWer___pr cmifrQpr
WdOhiO TWYA
HPZ T[G^PZ
cV cSLVaG
ak[SZifiCBpHdgP_ WFGBfiBXDPZ_
YfiBf cm
$ HFD
piB OR[ZOnd
XDPKck HDKcWWWWWW
aGSV[SZOgFGfrprb aiWB]^jX
pifbnW fiQbnWbWWnWW
fiB]pBHFGf] HdXGfr
gdH[[PFqFGf TdXmifbne
cSSEifr_prbHYr_Vpr pifr_prbne
XDP bg[d`g[HP
TD[haaa TPPXaaaa
WFUGfrQh XDFGBpifr__prr
XDSP g
eVWoWoWpWpWp eVW\VQ
fiBg[FDFD]d^ Odj
ff cSmif
T[d eZV
WHZpV $
SciS Tdc
OhG] Ofhk`
Rkfr____ XGfr_prpner
piBT[P g[PU
T]d^hiXGBHPUhLL gHPUhLLWLLLmhWh^LWhWhWhL
XDPG^PFqd iBTiBf
XGX piBgdgF
fiBiB $
XGBAVW\VW AW
O $
ak piHbRX
OhKEVk k
R`DbMSp WdagPG^dR`YOG]
fifrprr HFLGfrprbYner__
edmp eVW\V
Wdpifr TFDFQfbEnYr
gDg gD
WFD]hKTlk XaBak
XDMD T]j
agP^PUo gFGBTPUhL
XGq XG
g iBpiBpiBXD[
$ WFD
XGX fiBX
XDDFGJBg XDPG^
g iBpiBpiBXD[
fiBaG] WdRX
HdTdcm $
g]d^jK g[FGBpiBgPoK
gdfifrpr XGfr_prbnWerprpHr
g[dfiBWdT fUBg[
cSSSSSmiHPTZ W[PZ
g[PU fiBRoOigP
` RoOK
H fiTH
fifbHY HFLGfrprbYner__pr
T $
eVWo eVW\VWip
ak`D]O R[SKOc
piBaKNVRpOCVRpOk [D
H`GBfifr__prbnW XGfr_prbn
RoOK T
H`GBfifr__pr fiBXGf
pif GBRkBcmif
eVWoW\VW\V iBTdfBVL
Hg[VPUhLW`LLLWhLLLWhLWhhLhW HFDPUhW
T gFGBT[FT[[
TFDdH[PG^[] cmiBd^d^d^
H GoOg
WFGfrprrp TdXmifbnerp
XZDbbR XDdR
RR R`DbMS
cSSm cDSpm
HPFqdRkBp WHZpVp
R`V` hB
[D piBaKNVRpOCVRpOk
WFGfWr pifr_prr
eWp`W\Vh AVW\VWpWo
focB HFDd
XaBa WFD]hKTl
kBT] XD[]
aiH[FDFGB `B
eWoWIoW AVWpW\VW
XDDKc WDKkWkO[W
gDK HFBpiBRlB
HFDP D
mUgWoW OjK
aWXPZ WdH]higPZ
$ R`pOiXD
fiB M
gdc [BB
W[P gnTG^P
aWXPZ_ fiBOjKbRPSCp
pifbnWer___p cmifrQp
$ \Ng
`B XGB
T]hiQifbHYr_ aipifrprr__
W[a Wd
GBRkBcmi XGBg]d^hkk
f[jf XGf
eWoWffoW\Vrp eVW\VWpW\V
GB fiB
kBT g
eVW\VQ AVWp
nRTOiUiBk WdgPG^FGBc
D XGBOd^d^
R\I R`V[]OKBI
XGfr_prr____ pif_
XD] Ydpig]
g[FDFDF aiYX
cSSmiBifr_pr Rkf
XDFD TFDFDDR
HPGB XDGKB
agdfifbnWebHYbner_ XD[DGfKbnReg
RGFDdWFDdaClko RoOG]
f pf
XGfbne cSSmiBif
[kmfrp fifr_prr___p
R_kCBXDFGDBa`Gj g[PGj
p R`V[]OifiBfigBWFDdf
XGfr_ fifr^
]R RR
pif GBRkBcmif
OKql OhK
piBfifbnebH TdXmifbnerprbH
TFGBXG XGq
XD[FD $
RkBXGBHFGB XD
RkBcSmiBTP cSSSSSmiHPT
cSSVGGG X
g[PG^DR pWB
ffH WFDdcSmifrprb
T[G^ H
eVWpW eWoWffoW\Vr
H[DKHK HFBpiBRlB
ZT_ cmiBpiBTd
fibn XGfbn
agFG i
XDL g]d^hiWFDPG^
$ T
$ RRlCYOK
gDKc g]hiXDFD]fjKcW
aGSV[SZOgFGfr pifbnerrr
R`ZGSlgdWfif fiBXGfbHYrpr
g[FG GBRkBcmi
fiBRRYOk W[FGBMV
q gFD]
T XDdXGBTPq
H ]cSSSQ
Od^hk`V`l Ea
AVWpW\VW aieVWi
AVWpWo $
WFD[dAVWpWp A
XDdXD[[dA `Be
XGfr_ fifr^
eV eWoWffoW\Vrp
gdOdU^h cmiBpiBTd
eVW\ edmpWoW\
$ Od^d^d
R`YO aGO
l aGSpOKE
T[G^PZ fiBg[[]hgPZ
gDK MOjKY
XGBRkf cMmif
pifbnW fiQbnWbWWnWW
HPPFqdO T]
]cSSSQ cSmiBT
gXG fi
pifbnW fiQbnWbWWnWW
XDO piBg
R[]O fiR`fiR`IlKEV
VGGGG cVG
TdXmifbne gdH[[PFqFGf
mQrMrrQ__prrpC RRlCTOkkfr_prr_pr
W[dRkBOd^hi miBgFGBj
HdT]h WdRXO
aieVWi AVWpW
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
pfiBAV fiBAVWo
cmiBd^d^d^h ak`TOKNpOKEE
aipifrprr_ pifrprir_prr_
TPUhL Hg[VPUhLW`LLLWhLLLWhLWhhLh
WdRX fiBaG]
XDFD[dXGBT[dAVWoW\VWo heVWpWpW\V
jXD gF
gDg gD
Od^hk`Y RRoBODkeOk[]
pifbHYrpr XfP
HDKHR WFR
ii_Dd $
heVWpWpW\VW\VWoW AVWoW
W[D cmnABfiRBXDD
gHPUhLLWLLLmhWh^LWhWhWhLL T]d^hiXGBHPUhLLL
aKEX H
XGf fi
DPUhI XD[FD[FDdcSmiBWPUh
eWoiW eVWpW\VWpW
AVWp AVWp_c
agP^PUo WPUhLLWhLL
P $
gDK HFBpiBRlB
fiTH] fiBaG]OiO
ATMUDb XGBaiXDFD]hg[DK
cV cSSSVGU
gdH[[PFqFGfrprbH rifrrbnWHeb
XGfr__ fifr^_
miBgFGBj W[dRkBOd^hi
f RRYO
A oO^lKZEXkoOCpOKNVRYOie
eVWpWpWp AVo
RkBeVW\VWpW\VW edmpWoW
HdcSS cdh
fiUfr cSmifrprr
ngP aCYOgP
RoOgdfifrm_ cmifr_
piBWFG fOBRk
cmnABfiRBXD W[
T]hK mn
cSmifbnWOb^ gdfifrprbH
H[PC gP
g]hiXDFD]fjKcWk gDKck
f[jf XGf
cmifrQ pifbnWer___
agP^PUo OhgPUhWh
cSS cDSp
cmnABfiRBXDDKb piBg[D
TFGBTPG^dB ag
XG_^BfiBAWo AV
XGqfr_ XGfrprbnWer
AW XGBAVW\VW
edmpW eVW\VW
pifrprir_prr pifrprbHYr
$ Q`g]K
$ Y
p gFddiBbpf
aiOhk W[PFD[dR
cmiBpiBHdY piB
WD p
TZIf_Q HPZ_Q
pifr cmifrQprr
mV AVWpW\V
WD _lXD
Xa agF
piBeVWoWo XG_^BfiBAWoWo
fiBAVW pfiBAVW
XG f
Hdfi jDi
eWoWffoW\VrpW eVWpWpW
RoVQk fiB
RoOKNTOC aDGSYOkR
H[PC gP
piBR[ISZOi[ TdXDFGBg
g]hKE ZY
cmiBTDX pif__prb
gFGf TdXmifbnerpr
RRVRVoOkkfrpr cSSmiBif
GoOg] Tdg]
p[W XDdpi
IHerhb g
eVW\VWi AVW
RRlCTOkkfr_prr HFLGfrprbYner_
mdcVbG cSVG
TZIf_ gPZIAIA_
m AVWpW\
fiB\Od g[]d
IPeZJIAlSf HPZ_Q
T_jDpH XGBcm
RGFDdWFDdaCl WdOhCpO
piBfiBT] fiB\Od^
c`miBXDDK XD[PPK
rEhgd ai
Td ]cSmiBBOhi
eVW\VW AW
AVW\VW eWoWffoW\VrpW
O Od^CKNV`VZOiXBOd^
Ro a
WFUGfrQh_ pifr__prr
W[dRkBOd^hiW miBgFGBjW
VGGG cV
XDDFGJBg XDPG^
XDFGBcSV BVGG
HFLGfrprbYner__p fifrprrp
pifr f[ifbnebHYr_prr
pifbnW R`ZGSlgdWfifbn
MgFDpGISB gFGB
jXDDD eVWoWoWpWpWpWpWpW
TFGBaG lcmiBR`YOG
TPFq\FGBc cS
ag]d^ HcmB]
gd Z
cmiBd^d^d^hC RR
ADpc cSSV
pf f
cSmif fifc
g[ WqdW
$ W]hgdXGBW
mVWWoq gdeVW\VW\VW
rEhgda RRpO
pifbHYr____ WFUGfrQh_
HdcSS cdh
fifrprrp HFLGfrprbYner__p
fiBgPUhWhLLWhLWhBWhWhWULWL XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhLWh
H]I W[FD]
fiXBfKiBXDD[ gPP
AVWoWp cmiBAVko
WdH]higP aWXP
T[dT bWSG^
pifbn fiQbnWbWWnW
R`pOip R`ZGSlgdWf
a RLYO
AV heVWpWpW\VW\V
cSSS nRTOiUiBk
$ N[
XGBRl[ ak[SDSD
gHPUhLLWLLLmhWh^LWhWhWhLLW gPU
Hg[VPUhLW`LLLWhLLLWhLWhhLhW TPUhLW
cmiBpiBHdYW piBW
R`ZGSlgdWfifb fiBfiBcmifbnWeb
Z[PGM^D TFDFD]d^j
hSVGGTGP``O fiBpiBcVP`
pif f[ifbnebHYr_pr
hTPi RoOkRYOg[dXDdXGBg]h
cSmiBcm NcGBT
TdT[PFFqP^] WdcmiBXGBag[FD[]
TPUh PUhWhLLLLLWhWhLLFWh
TPUhL Hg[VPUhLW`LLLWhLLLWhLWhhLh
aiOhk W[PFD[dR
OKql OhK
PUhWhLLLLLWhWhLLFWh TPUh
g]hKE $
cmiBd^d^d^h ak`TOKNpOKEE
gdfif [kmf
RkBWdfifbnWWer__pS pifbHYrprr__p
gLS XDPFq
Tdc SciS
MX` g[PFqdWPFqPFq]
g[GBUPhRPSC OjRPSSfSC
TD[h g]jX
AVWoWp eVW\VWip
eVWoWpWpW eWoWffoW\VrpW
XGfrpr XGfr_p
AV eVW\VWip
cMm Hdf
XDPbq[ WFGBR`pOg[dT
c cDSp
mdcVb cSV
piBH[[]d^d^d^ bTOdY^
fifrprbnebnebncWWW fifbn
aiXD[PUhLLLLLWhLL gHPUhLLWLLLmhWh^LWhWhWhLLWh
R R`
eVWoW\VWo AVZ
fiBg[[]hgPZ T[G^PZ
BVG cSV
g[DKHRPSffCpPf g[GBUPhRPS
WHZpV $
iBGcc T[FGBcmiBp
piBRkBWdg gFGBT[FT[[
W]h FWJm]
EaIa piBT]h
pif ^iqf
fifr^ pifbnerprr
RRlCTOkkfr_prr HFLGfrprbYner_
XDdR`lg]d^jK fiWBT_T
WDKHKbK WdgWPGj
TFDdH[PG^[] cmiBd^d^d^
aClOhpO a
Oh_C RkBXD]hk`
R[]OC fiR`fiR`IlKEVC
fiBeVW\VWpW WFGBc]iBUeVW
piBH[PGjc YOhCag]jKH
cSSSVGU cV
W]Vd^jFKrne XDPG^PPKb
cV cSSSVGU
R R`Z
dfiXr_prrD cSSSmifr__
Tdc SciS
RGFDdWFDdaClk cSSmiBak
WPUhLLLLLWh Hg[VPUhLW`LLLWhLLLWhLWhhLh
n aG]O
$ H[
Oj Od^CKNV`VZOiXBOd^j
fiBiOTaaa Od^jXaaaa
WdH]hig aWX
RkBXGBHFGB XD
R`pOipif R`ZGSlgdWfif
gd R`V[]OifiBfigBWFDd
gFDd pi
pifbHYr dfiXr_prrD_
WFGfW pifr_pr
W[PFD[dR aiOhk
cMm Hdf
TDK fiBOj
gFGBT[FT[[[ T
heVWpWpW\VW XDFD[dXGBT[dAVWoW\VWoW
OjK mUgWoW
jDi TFG
RR OR`
XgdTgFGBfLFM]j TPP
fiBOjKb g[GBUPh
HFDFD XBH]hg
eVW\VWH HPPK
$ N[
XDFGBHD jdK
T \NgT
YV g]hgFGBAVWoW\VW\VWp
HFGBWFD RoVQkT
eVWpWoW\V eVW\VWip
TDXf XGf
cSmiBO GoOg]
a Od^hiX
YdW[q TPFqF
p HPZ_Q
WFGBfiBXDPZ_Q PQ_DQ
XDdgPZ_Q g_[
piBpiBH]d Hd^jeaa
bg[d`g[HPZ aCYOgPZ
OFGBdK^^d^d fiBaG]OiOd
HPGK[ gFGBOjKbKH
fifbn fifrprbnebnebncWWW
Odd gd
XGfb TDXfb
WFDFD]jK eVW\VWH
cmifrQp pifbnWer___p
pfi fi
cmiBpiBHdY piB
W[dcmiBdWFGBW[Ff fif
cDSpm cm
Tdpifbner fiBAGCfr
IeVWpWo AVW\VWo
XGfrprbH XGfr_prbnWerprpHrbH
l aGSpOKE
eWp`W\VhW\ A
[dHDK fiBHDK
piBHd iBTiBf
XDO RRYOg
aiY WdcmiB
$ HFLDr
fiBWPG ld
XDPbq[[ H
WPZI HdWPZJ_O
SPf piBTD
$ T
Q`g]K $
XGBeV YV
c\S R[]Ok[SYOCVkBcSS
W[a Wd
pifbJ piBfifbneb
aiH[FDFGBeV eSWEpWo
pifbHYr__prr_ WFUGfrQh_
HFDPG T
g iBpiBpiBXD[
XGBfi R`ZDOKqicSmiBpi
HPZ T[G^PZ
RoOgdfifrm Rkfr_
$ AV
TP HFLDrTP
agP^PUoLLL TPUhLWhL
AVZ AVWo
R[ fiBiBR[
Td GoO
fif W[dcmiBdWFGBW[Ff
PUhWhLLLLLWhWhLLFWh fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLWh
a W
cX gdc
T]d^hiXGBHPUhLL gHPUhLLWLLLmhWh^LWhWhWhL
$ OhKEV
Wd eT
Od^jRPfSSrfSC piBaGSVoOgdgFGBgDRPSC
pfiB fiB
rM aiaKN
Hg[VPUhLW`LLLWhLLLWhLWhhLhW WPUhLLLLLWhW
WdpiB WFGBr
cmiBe d
pifr_ f[ifbnebHYr_prr
XD RkBXGBHFGB
gPG^DKckkkWW WDKkWkO[
bWPFY gP
R`DbMSp WdagPG^dR`YOG]
RRlCTOkkfr_prr_ HFLGfrprbYner__
M $
$ M
aiHFDF XGX
H[dfiBgFD jXDD
aCYO n
fiU fi
AVWoWoW\VW fBiBAV
OhK OKql
eVW\VWi eVWoWpW
cSm qpnQ
gDKc qDecW
HPUhWhLLWhLWhLWhLL Hg[VPUhLW`LLLWhLLLWhLWhhLhWhL
TPFqF YdW[q
bg[d`g[HPZ WPFqdfiBgPZIA
gnTG^PZ WFGBfiBXDPZ
cSLVaGG cVG
fi pfi
cV VGGG
RRVRVoOkkfrp fifrIKpS
TdpiBaK aH
H`GBfifr__prbn gFGBTFGBpifbnWWWWW
MgFDpGISB gFGB
GoOg W
pifr_ f[ifbnebHYr_prr
TNFGfbnebN fifbHYbH
A eVlWQ
MgFDpGISB gFGB
H[ $
fifr piBTdfifrprrprprrprr
iH cSSmif
O $
$ H
cmnABfiRBXD W[
g cmiBpiBHdYW
XD RkBXGBHFGB
gnTG^ XDdg
pifbnWer___p cmifrQp
fifbner pifrprir_
fifrp piBTdfifrprrprprrprrp
RRlCYOK $
ET eVWoW\VW\VWoW\V
WPFqdfiBgPZIAI HNQZIA
$ Tdg
aDGSYOkR R`
] R
RkP gd
cV VGGG
agdfifbnWebHYbner_ XD[DGfKbnReg
AVWoW\VWpWoW\ mA
AVWpWpW\ eVWboWo_\
pi X
AVW\VWpWoWpWoWoWpWoW AVZW
H fiTH
HPZ_ T[G^PZ_
[dH T
AVWoWoX\cmV[C AVWpW
cSVGG BVGGG
foc cmiBfi
T\Z T]d^j
mXDP W[dW[[P
R_kCBXDFGDBa`Gj HFDPFq[[dT[PGj
XGfbnWeb HGfbBYi
eVWoWoWpWpWpWpW Ag_WoV
fiTH R[]OiT]hCYOg
eVWboWo_\VWo AV
mVWWoq\ eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW\
$ T[
pifbnebne cmUKHYbnWerprr\prl
eVW\VWoW\ edmpWoW\
W[dcmiBdWFGBW[Ff fif
XGBfi R`ZDOKqicSmiBpi
cdh HdcSS
W _lX
cmiBAVkoW piBAVW
eVW\VQ eVWoWoWpWpWp
TDK [dHDK
]cSmiBBOh R[SYO
cSSV ADpc
aGSpOKE l
RRTOCTOg $
R[[N fiBXGBfiBR`
eWp`W\Vh AVW\VWpWo
fiBiBR R
P aGSD]OFI
AVWp eVW\VQ
fiB]pBHFGf]p HFGfr_p
pifbnerprr fifr^
R[SYOGSTO H[]d^hk`lC
fiBHFDP XDGKBE
ak`TOKNpOKEE cmiBd^d^d^h
aXF OhCYOF
rifrrbnWHeb XGfr__prbnebH
AVW\VWpWoWpWoWoWpWoW AVZW
fiBcmi gXG
XG fiB
RRp R`DbMSp
g[FGBpiBgPoK g]d^jK
RkBXDDK eVW\VWH
HDKH WF
XWDB XD[
TT gFD
RRlCTOkkfr_prr HFLGfrprbYner_
fiB]pBHFGf]p HFGfr_p
Oj gFSDPP
f[jf XGf
fiBXGfbn H`GBfifr__prbn
H[DKHK gDgK
gdTdTdA eVcW\
WdRXO fiBaG]O
OhiOd^ fiB\O
md fiBRoOigPG
R`DbMS RR
]k cmiBcVG
$ cmiBaiW
edmpW eVW\VW
$ WFD
RRD XGBG
cSSmiBa RGFDdWFDdaCl
cSSmiBocSSVGP cSVP
XDDFGJBgPP gDKH
gP H[PC
fifbner pifrprir_
