17566
bbaaabbbb baaaaabaab
aabbbbab bbaabba
aababaa baaabaa
baab babb
baaab babbab
ba bbab
baa abba
bbababb bbaabbb
bba bbaa
baba bba
baaaaa bbbaabbab
abba aabaaab
bbaa abbbaaa
abb aab
abbabaa bbbbaa
aaaa baba
abbab aaaab
abbaaaba babab
abbbbaba abbba
bbabb bbaaaab
a aaa
ababaaaaba aabbabaaab
aabaaaba abbaabbba
ababa aab
abbabb aaaaba
abbbaba bbab
abbabbab bbababb
aababa bbaaaa
aaaabbbb bbbb
babab bbbaaab
b aa
aababaaa abbbbb
bb ab
ababbaa aababab
abbbaa ababaa
ababbba bbbbaba
babaaaaa abbaabb
bbba bbbba
abbb ba
bbaaabba aabbbbba
baabb aaaa
ababbaa bababbb
ababbb bababb
abbaaaabbb baabbaaaa
babaabbaa bbb
bbabab bab
b babbb
abaabaab bbbabaaba
bbbbba babbaaab
babbb baaab
abaaab bbbbba
baabbb bbbabb
bababba aaaabab
bbaab aabba
aa baa
aabbabb abbabaa
aaabaabaaa abababaabb
aaaa abaa
abbaa aabaa
abbabbba babbbabb
bbaabaa baaaabbb
bbaaab abbab
baba bbb
babb abb
abb bab
aabbaaba ababaaab
baba bba
aba abbba
abb aa
bbbbba babaaba
bbba bbbbbb
aaa abaa
abbaababa aaaaabaa
aaabbb aaaaa
aa baa
babaaa abbbba
abbaba baababab
aabaab bbab
aabaabb bbabb
baaab aaaa
abbbaa bbaabb
aab bbabaa
abbb ab
abbab babaa
aaaabaa abbba
baaabbba aabaaabb
bbbaa aab
bababa babaaba
aabbaaaaaa baababbabb
abaa bbba
abaaaba aaababaa
bbabbbb bbbbbaa
bbbba abaabaa
baba bbba
babb baaba
abbbaa bbbbba
aaaa abba
bbbaab aaab
aaaaa baaba
aaaaba aaabbbb
aabbababa babaaaaba
ab aa
bbbaba ababa
abbab aaba
abbabbb ababbba
bbaab abbabaa
aababb ababb
abbbbbba bababbaa
abaab aabba
abbaa ababa
aabaa aaa
bbb aba
bbaabb abbba
babbb ab
bab abaa
baabab aaab
bbbabaaa aaabbaab
babab bbbbbb
bbabbaa aabbbb
baaaaabbbabb bbaaaaabaaaaaba
bbaaab aaabaa
aababb bbaaa
baaa aaabb
abbaa aaab
aaa bbbbabab
a aaaab
bbba babaa
abaa bbbbba
aabbbbb aababab
abbabbaba ababbbba
bbbbaa aabab
ababab bab
aba bb
aabbbabbab babbabbab
bababbb aaaabab
baabab bbbbbaa
aaba bba
aaba b
baaabb babbbb
baaa bbbb
babba bbab
baaabaaab bbaaaab
aabbbaa aababa
aaabba abb
aaaabab abbabab
baab aaba
b bbbabbb
bbaaab babab
aaaabbb abbb
aabaaaab bbabaa
bbabb abaa
baab babb
ababbbba bbaa
abbb abbaa
baabab bbabab
bbb bab
bbbaa bbbba
aabbbababa bbaaabba
babbaaba bbbabbbb
aabbabaa babbabbb
bbaaabba babaa
ababbb abbbbabb
abbaab bbaaa
abb baa
abbaababa aaaa
bbaaaaa abbab
bbbaaabaa baabaaaa
abbbaa aaabba
bbbb aaabb
aaa babaaa
b ba
ababb abbbb
bbaaaa bbba
aabbbba abb
aabba baabaa
aaaaaaa baa
baaaaa baabaa
bababbab aaaaaababa
aabb babbba
aaabbaa aabaa
bbab baaa
aab abaaa
bbbbb abbaba
bb bbbb
aaba bbb
bbaaaaaa bbbbb
aaaabbba bbbabbab
bbaa abab
babaa abbaab
aabaaaa baaaa
abb bbbbab
ababbab aaaaa
baa abb
bbbbaaaa baaaab
bb aaabab
aaab bbabb
bb a
abbbbab babbaa
aba aaaaa
bbabbb babbabaa
bbabab bbabbb
bbbbbbb babbb
bbaababb baaabbba
baababa bbabaa
bbbbabbb aabaab
abbaaaa baabbab
bbbbabb aaaba
baa aabaa
bbab baabb
aab baa
abaa bbaa
bababbbabbb aaaabaaabbb
abaab ababba
baaab bbbbb
aaa bbb
abbaaaba aaaabab
abbaaa abbbab
bba aababa
abbba bab
aababa bbbb
bbbabbaaaaa abbbbabbaaa
aaab babbba
baabbaabbbb bbabaaabbba
aab bbbabb
abbbb baaabb
baababbab abbbaaabb
bbbaa aabab
baaab abbbaaba
bbaa ba
bbab abba
bbabaab bbbbbaab
abaab aabbb
abaabbaa bbababbbb
aaaabb bbbbab
aaaba abbaaa
ababaab babbaaa
baba bbbba
ababbb bbbbaa
abaaaa baabba
bbabbab baaababa
baabaab bbbabaa
bbbbabaa babbaaba
bbabbabaa bbabbbbbb
bbb bb
bbbbaba bbbbbaa
bbaaab abbbabb
abbbaaa babbb
b aaaabba
bab baa
aabbaaa aaaaaaaa
aaaaa abaabb
bbbaaab baabbbb
baaababba abaaaaaba
bbbaa bbaaba
baabaa baaabbba
ab aa
baaaaa bbaabb
abbbb ababb
bababa bbbabb
babaabb babbbaab
bbaabba ababba
aaabb baaaba
baabbaa aabbaab
ababaaaa a
ab bbbab
bbaaa bbabaa
bbbabbaa bbbabbba
aa aaab
bbabababbb bbabba
baaa aab
ababb aaaba
baaaaa bbbaba
bbbaa aabba
aaabab bbabbb
baa aa
baabba aabab
aabbbaba baaaabba
baa abb
abb bbaba
baaabaaaaba bbbbbabaaa
baaa abb
bbabaa bbbbbbbb
aabaaa ababaaba
aabaabba aabbbb
baabbb aabba
abaa baabba
baabbbaba bbaaabbabababa
abb bab
bbabbbabaaba bbbaaaaa
bbbabbb baaaab
babba abbb
abbabbbba ababbaba
abbab abaaab
bba bbaa
ababbaaba bbbbbabb
aaa ab
bbabaaabaa ababbaaaab
abbb baabb
bbabba baabab
aababaaa abaaabbb
aaaabbbbbb bbbaaabaa
baaabbaa babbbabb
abbb bbbab
aab bbbab
aabbbba bbaaaba
abaaaaa bbbabbb
aaabbbbb aaabab
abaa bab
abbab abb
abba aaa
babbb babb
babab baababb
bbab abba
aaaaa baab
abbabaa aabaaa
bab aba
bbaa baabaa
babbabb bababaa
abaa bbb
baabab ababaa
aaaba abbbaa
aba aaa
baab baba
abaaab baabab
baab baaa
babb ab
bbaaab baaaba
babaa babbaab
bba abab
babbbbba aab
bbaa baaa
bbbaba baaabb
baa ab
bbbabba bbbaabb
bbbabbbab abaabaaab
aab bb
a bbb
aa abba
bbaabab babbaaa
bb a
abbaab bbbbba
aabbbbb aaabaa
aaa bbbb
babbbbaaa bbababbb
aa bb
baabbab babbaaa
aaaaab bbbaa
abbaab aba
babaaaba ababbaaa
aaaaaaaa abbabbaba
bbbbabbb aaaaabab
aabaa aabab
abbbba babbaa
abaaabbaa abbabb
aab ab
bbaab bba
babbaaa ababaab
abbbabaa aababa
abab ba
baaaba bbbbb
bbabaa bbbbb
abbba abab
aaaabaab baabbabbaa
aaaaabb bab
ababa bbaba
aaba babab
bb aaa
baaaab bbbaab
aaba bb
abbbbaba bbababb
aab bbbbbb
bbbbab bbbbaa
bba b
aababaabb aabbababa
bbaba baabb
bbabba ababbaa
babbbb bbbaa
aabbaaba bbbbba
abba bab
baaa aaab
aaaaa aaabb
aa ba
aaa bba
bbabbabbbab aababbbbbba
ababbaaba ababab
bababbaaabbbaaa bbabaaabbabbaaab
abbbbaab babbaaa
ababaa bbba
aaaababa bbabababba
bbbabaaaaab aaababbbbbaa
babbbaab bbbabbab
ba bbb
aabba aabab
aaa aaababb
aab b
baaab baaaa
aaaaabbabb bbaababa
bbbbbaa baaabab
abaaaa aaab
aabaab baaaab
baaababa baaabbab
bbabbbabbaaabb baaabaaababa
baabaab ababbb
baba abbababa
babbb aabaaa
aaaaaa bababba
b aaa
aabaaaba ababaaba
abbabbbb ababbaaa
baaba aaaaa
bbbbab bbba
baabb bbabab
aab b
bbabba bbaaab
baba baaa
aaaabbaa ababaaa
babab aaaabb
bbab aaaaa
abaa abbb
aababb aaaaaba
bbb abbaaab
bbbabbaaa babbbbba
abababa babbaab
ab bbaa
aaabbaab aabbabbb
baaaaabbb bbabaaa
baabbababab ababbaaabaa
ab bb
ababab babb
abbaab baaba
aaa bbaaa
aabaaa baab
aabbab babbba
aabbaab aabbaa
bbbbaa aaaabb
baa babb
aabaaba baaababa
aabbbb babbbb
abbbbab ababbab
aabbb baaaab
ab aa
abaaaa ababbb
abbbabbabaab babbbbaaba
baaabbb abbbbab
aaa baa
babaa aaaab
bbaaa bbab
baabbbb bbbaa
babba baaa
bbbba bbababa
aababbab aababbb
bababbbb babbbbaa
aaabab babaaab
abababbba abbbbaaaab
aaaabbbbab aabbbaaabb
baaaab aabbbbb
bbbbbbaa bbbaaabb
babb bab
babab aaa
aaaabaaabb bbb
bb bbaa
babbaa bb
aabaab aaaba
bbaa bbbb
babaabaab aabbb
aabaaba bbaaab
aaabbaa aaaaaa
bbbabaa abababb
abbaab abaaba
bbaa a
aaba abaa
aababaa babbabb
bbbba babbaa
aab aabb
bbbbb ab
abbbb aaaaaab
aabbababbaaaaaaab abbaabaabbbababaaaa
babb baab
abba bbbbb
bababb aaaaaa
bbbbabaa babaaabbb
bbba baa
baabaabbbbb babaababbaab
bbab aaa
baaaaaab a
ababbabaa bbabbabba
aaab aaa
aabaaaaa aaabaaba
baaaaaba ababaaa
ababaaababb ababbbbbbbaa
abaaba abbb
baa bbbba
baa babab
babaaabbb bbabbaaaa
baaa bbaba
bbbaabab a
bbab aabbb
abbaab babbbb
ba aaaa
aaabb aab
aabab baab
abbbb aabbba
baabaaabab babbabba
babbb aaabbb
baabbaab babbabaa
bbbabba abaab
bbabbaba bbabbbbb
bababa ababbaab
baaa abab
bbbbba abbaa
aaabbb baabaa
aaa baab
bbabaa aba
baa abbba
aaabb bbaba
baaa aaa
ba abbb
bbbabbabbbbb bbabbbabbaabb
baba baab
aaaababa babbbaba
bbaa bbabab
aaaaaa aaaabab
aaaba b
aabbaaaa bbaaaabaa
babbababb abaabbbb
bbaaba baaabbb
abbbb b
ab aabba
bbbaa aaaba
abbaa aaaaaaa
aabb abaaa
baaaaa baabaa
abaaaabaab abbaabaab
bbaab aba
bbbba bbbabaab
ababaa aababab
bbbabab aabbaaaa
aababa bbaabab
abbbaab bbaaaa
abbabab baaaabaa
aaa ab
babab baabaa
aaaabbab bbbabaaa
aaabbb baaaa
bab abb
bbabbba aaabab
bbbbbaaa aabbbbba
bbaabb bbabba
baaabab aaaba
bbabaa b
abaabbb babb
babaabbab aabbbaab
babaabb ababbbab
aaaabaab baaabbaab
aaababb aababa
aaabbb abaaba
bababba abbbbb
abababaa bababbaa
aaaab abbaa
babb b
aaba baabaa
bbaaaba aaab
abbbbaa baabaa
abbaa abbbb
aabaab aabbbb
bbaaaaa bbbabbb
aba baab
bbababb ababa
baababb bbabbba
baaab babaa
baaaaaa baaabab
abaaaabaaa aababbbab
abaaa aaabbb
bbb bbaa
aaaaaba abbababa
baabaab abbab
baaabb a
baaa abbbbaa
abbb aabb
aaaba bba
babbabb abbab
bba abbba
abba aaabba
aaaaaaba aaaabbba
aaaaaa baabbb
a ab
bbbb baaa
aabaaa aabbba
bbbaabba aaabbbbb
aa baaa
abab abaa
aaab abbb
aaaabab abbbaab
aab abbab
baba aabb
aabbab ababbab
aab a
aaab aab
bbaaab bbabbaa
ab aabb
aaaaaaaabab babbabbbaab
babab bbbabb
abaaaaab aaaaabaabb
aaaaabbaba abaaabbabb
babbbabab babbaabaa
baaaa aaaba
bbaa abbba
ababaabb abbabaab
abbab aabba
aabaab aaabb
aabb bbbabb
aaaab abba
abbbaaa baabbaa
babbabaa aaaabaaaba
abaabaabaa bbbbbabab
abbbbb bbaa
baabb bbbbab
bbbb aabb
abbbaba bbbbab
ba aab
babaa bbabb
bbbababa aaababba
aabaaab babaaabb
abb aabbb
abaaaaa bbbabbb
ababb bbbaaa
bbaa aaa
aaaabaa abbabbbb
baabaaa baabaab
bbbbba ababb
aabbaaaa aabababb
baaaabb bbaabba
abbbabbaa baaaabbaa
baababbab bbbaaaaaa
b bb
aba bab
bbaba abbbaa
aa ba
abaabb baabbaa
bbaa bbbabb
aabaa a
bbbaba babbb
abaa b
bbbab abaaba
aaaaaa bababa
bb bba
abaaaaba aaababbbb
b abbbb
bbaaabaa aaaabbab
ababbb ba
aaaaab abaab
abaabbabbab abbbbabbaaa
a aabb
abaa abbb
abbbbb aabbabb
abab baa
abbb aabaa
abbaba babaaba
aaab bbaaba
bbbba abbb
bb ba
bbaa baaab
abbaaa baaaaa
aaaaaaba bbbaaaaba
baaaaa bab
bbaabba baaaab
baababbb aabbabaa
baababb baaa
aaaba baaabb
bbababbb abbbaabbaa
bab babbaba
bbaaabbab abbabaab
abaaabbb abbabbba
abaaa bb
aababaaaa aaabababab
aabbb bbabb
bbaabaaabaa bbbaabbbaab
abaabbbabaa aaaabaabbbb
aabaa babab
aaaa a
bbbbbb aaaaba
baaba aaabbaa
baaabab bbbbbb
aabbaaaa bbbbba
bbbbaab bbbaaba
bbabba aaaba
aaaaab abbbaa
baaaaaa ababbbbab
babaabaab aabababa
ababb abbba
aabaaa bbaaba
aaabbb baababb
bb ababaaa
ab aab
bbabbbb aabbbbb
baaaaaa baababbb
ab ba
aabbba baabb
bababbaaaab aabaabaaaab
aaa ababbaa
abaaaa aaababba
bb aab
abbaaaba bababab
babbbbb aaabab
baaaabaa bbbbbaaa
bababb abaaa
bbbbaab bbaabba
bbaabb baaaabaa
bababba abbaab
bbbaaa babba
aabbaabbaaaaab aaabbbbbbaaaa
bbaaab bbaaba
babbaba babbabb
babbbb babababb
baabbbab baabab
baaabbaaba bbaaabbaa
bab ababb
aaaab babab
baab abbbbaaab
ab ba
aaab aba
abaaaaa bbaababa
baaaaa aabab
abbaba baa
aaabba baaaaba
baba baab
baab bbba
bbbabaaaaa aaabbabb
baaba aaa
baabbaaa aaaabbab
ab bbbb
aabaaaa aaaabb
baababa aabaaa
a abbabb
abb bab
baaababa abbbbaa
aaa aaba
aabba aaaab
aaaba abbab
aabbb aaabaa
bbabbabbbb abbbaabaaa
ababab ababa
abba bbb
baa aabaa
abaab babaa
aabbab bbbbbb
babbb aba
ababaa aabba
bba bbba
abaabab bbbbbaba
ba a
baaabaaaa babbabbba
abaabbbb baaabaa
abababbab ababbbbb
babab abbaba
ababbbb baaabbb
abbabb bbbaab
bbbbaaa abababa
baabb baaaba
aaaaaabaa aabbbbbab
baaaa baba
baaab abbbabb
aabababa bbbabbbab
babb baabbb
abababb aabbaa
bababb baaaaa
abbaa bab
bbbbabbbb bbbbaa
bbaa aaba
baaaaa ababbb
bbbaa aba
abaababa babbbabb
abaa bbba
abaa bbaaa
babbbb bbba
baaabaab aaaaaaaa
aabbba babbaaaaa
aa aaaa
abbaaab baaaab
ba aabb
babbb aabbb
bbaaaabbba abaababba
bbaaaaaa aabababbb
bbbaba aabbb
bbbb a
aba bbaaab
babba babaaa
b bbaa
babaa bbaba
aabbbaba baaabba
bbaaaa aba
bbb baaa
aba babba
babbbab baaba
babab abbaaa
baaa babbb
aaabb aaaaba
abbb babbab
bbaabbab babbbbbb
aabbbb aabaaab
abbbbaaaa babaaabbb
babaab bb
bababbbb abbab
baabaaabbaaa abbaabbba
bab aba
bbbab aaababba
aabaaabab abbabaabb
bbaababa bbbaabab
bbabb aaaba
abaaabbbbab abaaababba
bbabba abbaaab
abaaabbaabaabb abababbbbbb
aaaaabbb abaaa
bababbbb aaaaabb
aabbb bbbabab
bababab aabab
aaabbba aabbaa
bbaba abbba
abaaab ababbb
bbaaa abaaa
bababb aba
babb baababb
bbbbaabb bbbbabaa
aab bb
abababb bababbb
abb aabb
bbbbab aaba
ababa bbbb
baa aaabb
aaaa aaaaaa
aaabba abab
baabaabb babaa
aaabaabb abbbabba
baaabba abaaabb
babbaa baabaab
bbbab aab
bbab bbbab
abbbbbba baabab
ababbaab baaaaabba
aabab bbbbbaa
aabbaab abbbaaba
bbaabaabb aabaabbaa
baaab baaa
bbbaa abbabbb
aabbaab bbbaa
ab a
aabaaab aaabaab
abaaab babbbbb
babbabba babababa
b bab
a babbba
bbab aa
bbaa aaba
bbbbbbba aabbbbaa
bbaa aaaabaa
babab babaa
bbaba ababb
baabbba aaabbab
bbbaab baababa
aaaa bba
baaa aa
abaa aabaab
bbbab bbaba
aabbbaab ababba
abb bbabb
ababba aabbba
baabaa baabbab
aabbba baaab
bbaa abbbb
aaa bba
abaaa ababab
aaababbb bbbaabab
aabbbab ababbba
abbb ab
baba bbaa
bbbaa bbbabb
bbab aaab
babbb baaab
aabab bbaabb
abaaabbbaa aaabaabbaaab
baababa aaaabaabb
aab baab
baa bbba
aababa baba
bbbbb bbbba
bbbaba bbbbab
abbaa abbb
bbbbb bbaaba
a aaabb
aabaaabb bbbabbbb
bbabbabb baabbaaa
aaaaa bab
aababba ababaab
aaab aabababaa
abaa b
aabbaabb abbbabba
bbaa aabbb
aaa a
baabba abbaab
aaaaab abbab
abbbbb baaabb
bbbb aabbb
aabbb bbbab
bbbabaabb aabaabaab
ba abb
babab aaabbb
bbaabaa abaaaa
ba aab
aabbb bbabba
bbb abbbba
aaa abbb
baa bbb
aaaabab baaaaba
bbabab baaba
aabbbb abb
aaaa abaa
aaaab abbaa
aaba babb
bbaab abab
bba abaabbbb
aaaa abab
bbaaaaa aaaabaaa
aabbab bbabbb
ba ab
babb bab
babbba baaabb
b babab
ababab baabbaab
babbababbbaaba babaabbabaabba
aabab babbaab
abba aaba
bbaaa bbaabbab
abaabab bbb
babbb aaaaa
babaaa aababb
babb bbbbbaa
babaaabbaabbaaba bbabbaabbabbaabbab
ab abaa
bba aabbb
bbaaabb bbabbbb
aabab aabaab
bbabaab aababbabb
baa baaba
aaabaab aaab
aaab ab
aab bba
bababbaab bbabaaa
abbbaaba aabababb
bbab bbbaa
a baabba
ababb aaaaa
bbbbaabba bbbababb
aabab aaabb
ba babbaaa
baab aab
aaaaab aaaaba
bba babb
bbbaba baabaa
bbabb baabb
bbbaaab aabbbbbb
bbaaabbaa aaabaabaa
bbaba aabab
aabaaab bbbbab
babaababaaa abbbabaabba
abbbbba bbaaaa
baaabb bbbabb
aaaaabbba aaaaabbaa
abbab bbbab
babaaaaab abaabaaab
bbaa baa
babbb baabb
bbbaaaaa abbbaaaba
aabbaa abaa
aba aab
aabbbaba abaa
aabbb babb
aaabba babbb
aabbba abababb
bbbaababbb bbbaaabb
baa babb
bab abba
bbbbbbaabbbaa aaaabbabbabaaa
aaaaaaaa baaabbba
ab a
ababa abaaab
bb bbbbaba
bab aab
abbbaa babab
ababb baab
aaaaa abbaa
abbaaaabb bbbaaaaa
aa baabba
abbaab aaaab
bbabba aaabab
aabba a
bbaa bbabaaa
bbabaa abbbbb
abaababb babbabab
abbab babaabb
aabbabb aaaaaabaa
baaaab babaa
abbbaa ababbab
baaba aababba
babaaa bbbbabb
baabba aaabaa
bbababbb baabababba
babaaa aabaab
bbaabbabbba bbabbbbaa
bbabab bbaaa
aaabbaa abbbbaa
aaa b
ababaabaa baaababb
ab abaabb
aaaaaab aaaabab
baba bbab
bbaaaaa ababa
aabaa aabbbb
aaaa bbab
abbaa babbb
aabbaa bbaaaa
bbbbabaaab bbbaabbabbaa
babaaaa ababbaa
bbabb bbbaab
bbaaaaa abaababa
baa aaab
aaabaa bbbaaa
abbaaaa aabbbbba
bb abb
abbbbaa baaaaaaa
babbbb babaaabb
babba babaaaba
babbab bb
bab baaaa
abba aaab
bbbbba abbbabaaa
baabbbaab aaaababbb
aba baaa
aba abb
bbaabbbb aabbbbba
abaabbbab aaaaaabaa
bb aa
baaa baab
bbbbba abbb
abababb aaabbaa
ababaa abaab
baabb aaba
abba aaba
abb abaaab
abba bb
bbbabbba ababbbaa
abaababa bbaaabbb
baaaabab abaabaaa
babbbbabb baabaabbaa
ba baabb
abbbba aaabbb
aaaabbaaa babbbbb
bb b
baaaaa bbaa
bbaab bbaa
baaaaa abaa
baaaba abaaaba
aabb abbb
ababa aabbb
abba bbbb
bb baba
abbbaaa baaaa
bbaaaabb bbaaaba
abaabaa aaabbbb
abbabaa aabaab
aaaa ab
ababba aabab
aaaabababa aaaaaababb
aabba abbba
b ab
bbabaabb abbababbb
baaaab bbbaaa
baba aabbaaa
babba abbab
aababb aabbabb
abababbaab aabbabaaaa
aaabbb baab
abaa abbbba
aaab abbab
baaabaab bbbbbbaa
aaa bababbb
aabb bbbba
aaa abb
ababb bbab
baab aaba
bbbbbaaa abaabaaa
babbbba babaaaa
abbabaaa aaababbb
baaaa bbabb
bbb baba
abbbba abb
bbbba aaabbb
aaa bba
aaa bbbabaa
aab bbbaa
aaab aba
a ba
bbaabaa aaaabab
baa aaa
bbaaaba aabbaba
babb baaab
bbbbb bbaaa
aabaabba abbbabbb
baa b
ababaa a
ababb aaaa
abbbabb bbbabab
babbb baabbaa
babaaa bbaab
aaaba abaa
aab bb
bbbbba babaa
aaab aab
aabaabb aabbaa
bbbbbb aabab
ababbb abababa
abaaa bbbab
a aaab
bbbaabbabbaaba bbbbbbbbbbabab
bbbab aaaa
bbbaab baba
bbbba ab
abbab babab
bbababba aaababab
aaaa b
aabbbb abbaa
bababbaaa babaabaaa
baaaaabba abaaaabaa
baaabb ababab
bbbbb aaab
ab abbaa
bbaaaab aaaababb
bbbaa bbb
aaabbba aababaa
bbabbbbb aaab
bbaa babaa
aaaa bbba
baaaaab babbbab
abbab abba
abbbaabb aaababa
aaabab ababba
aabab ababb
baaaaaabab ababbbbab
aab babb
aaaba baaba
bbbbb ababb
aaaabaaa aaaabba
baaaab bbbbab
bbaaaaa bbbabba
abbaa bbaba
babbbab aaab
abaa bbaab
bbab abbaab
abaa baab
ba ab
ababba bbbabb
bbbaaaab aababab
bbaabb abaa
bba aaabbaab
bbba bba
bbaaaa bbb
bbabaaba bbbba
abbab abaab
bbaba baab
abbbab ababaaabb
bbbbabaaaab bbbaabbaba
bbbabb baababb
abbaa bbaaa
a baba
abb abbbb
aaabbaa bbbabaaa
aabbbbbb bbbbabaaaaaaa
abaabbabab aabbbabba
aababaaa aaabaaab
babbaa bbaab
ababb bbbba
abbaa babbb
aabaabaab baabbb
abbaabaa baababaa
ab aa
aaaaabb b
aa ba
bababbb abbbbab
abbabaaabbb bbbbbbaababb
ab aababb
aaab ab
abab baaaba
aabbaba babbbaa
bbaa bab
bbb abb
bbba abbbbb
ab babba
baaaaab ababba
b a
bbba bbb
babaab aaaa
bbbabbaa bbaaab
bababaa bababa
aab aabbbb
aabba aabbb
baaba bbaabaa
babbaaaa ababbaaab
aabaabb abbbaa
aabbbab babbabbab
aaaaaaaa abbbaaaba
aaabb abbbb
baaabb aabbbba
aabaaaaba bbababb
bbba ba
a abb
bbbabb bbbbaa
a ababb
bababb bbaabb
bbabbbaa aaabbabb
abaab baaaa
bbab abab
abbabb abaaba
aa ab
bbaab bbbaba
bbbbbb abbbabab
ababb aaabb
ab bb
aaaaaa aaaba
abaabab abbba
bababaa abbabba
aaaabaaaabb babbbabaabbaa
bbba baa
aabaabbab baababbbb
abbaaaababb aaabaaabb
bbbbb abbb
aabba bbaabaa
aaaa aaa
bbbbaaab aabbaabb
bababaaabaaabba aababbbaabbaab
bbabb bbbbaab
babbabbabaa baabaaabbab
bbbabab bbabaa
abbbbbba baaaaaba
bbbbab aaabbb
aaaab babbbbb
aabba bababa
abba aaaa
babbab aaaab
abbbaba ababbbb
bbaa abbb
aab bbbab
ab bab
bbb aabb
aaabb aababbb
bbbaaa bbbaabb
ababbb bba
ababbabb bbabbabba
ababaa bbaaabb
baaba aaabbb
abbba aaba
aabba ababbb
bbbabaa bbbabba
aaabba baaab
babbbab aaabbba
a b
babbbaab abbaaaa
ba babab
aaba bbaabb
bbbabbbb aabbbb
bbb aaba
abaaaaa baaabbb
abbabb abaaa
bbbb baa
aabb bb
ba aaaa
aaba abaabb
abaa aaa
abbbabb aabaaba
ababbaab bbbaaaba
bbbbabbbaba abaababa
aaabaab bbbaa
aaabbb ababbaaa
aa bb
baba abaababab
abab bab
aaaaabb aabb
bbaabbab baaababa
aabaa bbbab
abbbabb abaaba
baababa abbbaaa
aaa bbaaaaaa
aabaa bbbbb
aabbba bababbb
bbab aaaa
abbaaaaab bbbbbbaaa
abbabb aabaa
bbb abbaa
bbbbbb abbbbba
baaabba bbabaaa
bba bbbba
aab abab
aaaaa abab
aababbbbbb ababbaaaa
babaaa abaa
bbaba bbbaa
abbb aaab
aababb bbaaba
aaaabba babba
bbbbaab baaba
b bba
bbabb bbbb
aabab aaaaa
abbaa aaaab
aaab bbbaa
aaaaaaabaabbaa aaabbbbabbbaba
baaab aaaabba
bbabba aaabaaa
bbaaa ab
bab aabba
baaaabb aaabba
aabbbab baabbab
ababaa aaaaa
abbbb abbaa
bbab bba
ab bbaaa
aabba bbbaba
abaaab baabab
bbbbaaa baaaabaa
baab abbaa
baaaa babab
abaaaaa baaaaba
aaababb aabbaaa
aabbbba bbbbbb
aabbbb babaabb
aabab baaa
aabbabbbaa aaabaaba
aabbaaaba bbbabbaa
bbab abbb
ababaab a
ababbab abaabb
abbabbb aabbba
bbbbaaa aaaaaaa
aabab ababa
bbbaaa babaab
aaabaa aaaabb
aa aaabab
aabbaba bababbb
abaabab babaabb
aaa bbb
baaaaaaa ababaaba
aaaaabab abaaababaabb
bbbaab aabbaa
babab bbb
abbbb baaaa
aabbabab abaabbaaba
bbbabba babbbbb
bababaab ababb
a baaaaabab
aabaab bba
aaaaa baa
babbba baaba
abbbabbb bbbbabb
aabbabbb aabaabbb
abaabaa bbbbbb
ababbaa abbabb
abbabb aaaaba
aaaaaabb bbabab
bbbbbb aaaaa
baaaa bbaab
abbabb bbbaba
aababa bbabab
bbaaab aab
aa aabb
aaba baab
aabbb aaaaba
babaabaa baaaaaaa
abbaa bbabba
bbabbbb bbaa
bbaabb abbabb
abaaaba abaaaaa
aabaab babbb
abab abaa
aaaba abb
abbabbbb baaaabab
bbaaab aabab
baaa bbbbaba
bbabba babbabba
aabbbb aabbaa
ababbbba babaabba
abaa aaa
baabaa bbb
baababa aaaaaabb
a aabbaabaa
abab bb
bbaabbbaab bbaabbbb
baaabb abaabba
bababa bbbabb
bbabb baaabaa
abbbbbba baabbab
abbbbbabab abbbabaa
aaaa abba
aabbb abbaabb
bbaa baaaaa
bbaabaa aabaab
bbbba bbba
aababbbbbbab babbbbabbaba
bbbab bbbaab
bbaa b
bbabaaaaaa baabbabb
baaaaa abbab
aabbaa aababb
bbaa abbaa
abbaaa bbbaab
baabb aaaba
aaab abaaab
aabba abbb
baaaab ababbbaa
babaaaa aababbaa
baaaa bab
ababa bbabbbba
abbba bababa
abbaba baaabb
abbabb aabb
bbabbab abaaa
babb baaba
babb aaa
baaaabab aabaab
aaba babaa
aaab bb
babbabab abbbbbbba
abbbaa bbbba
bbbb aaabb
aaabbaa babaaba
baaa babb
abbaaa baabba
ababa bbbabab
ab aab
bbaababa bbabbab
abaab bbb
aaaa abba
bb bbabbbba
bbbaaabaaa bbbbabbbaa
bbabba baaab
b bbaa
abab babaaba
aa aaaa
aba abbab
aaaaba bbbbab
aaabba abbaaa
baaaa bbba
bb a
bbab bbaaba
bbabbb bbab
aaabbaaa aababb
a aba
abbbaaa aaabbbbb
ababbabb baaabbaa
ababb aaba
babbbaaa babbaab
ababb abaabb
bbbab baaab
baaababaaabb aabaabaabaab
abbaba bababb
aaaaa abba
ababaab bbbaabb
babaa baa
baaaa babbaba
aaa babb
bbbaa bbabb
bbab bab
abbaaabb abaabaab
babbb bbbbba
aaaa ba
aabbaba babaabba
aabaa bbabaa
bbabb aaaa
aababaaab babbabaaa
ab aaba
bbba abaaa
ababa babbb
bbbabbaba abaaaa
bbabba abba
baabb aaba
baba babaa
bbab aabb
baabaa bbaaaa
aaaba aaaaaba
abbbaaa bbbbaa
ababbb aaabbb
aaaaba bbaabab
ababbba abbbbbb
bbaaabbaaaaaaaabb baaaabbabaaaaaaab
bbb a
ab abbbab
babaaa bb
bbababaa baabbaa
abbaa bababb
bab aba
